sample_id,avg_coef,all_coefs
0.0,0.7090180246238068,"{0: 0.692, 1: 0.723, 2: 0.682, 3: 0.723, 4: 0.701, 5: 0.732}"
1.0,0.7298851472771645,"{0: 0.71, 1: 0.707, 2: 0.748, 3: 0.727, 4: 0.748, 5: 0.739}"
2.0,0.7011690302647055,"{0: 0.664, 1: 0.714, 2: 0.72, 3: 0.707, 4: 0.687, 5: 0.716}"
3.0,0.5823616708358776,"{0: 0.606, 1: 0.516, 2: 0.587, 3: 0.595, 4: 0.573, 5: 0.618}"
4.0,0.7080709043812853,"{0: 0.674, 1: 0.731, 2: 0.736, 3: 0.689, 4: 0.682, 5: 0.737}"
5.0,0.7250661973341032,"{0: 0.739, 1: 0.747, 2: 0.754, 3: 0.749, 4: 0.627, 5: 0.735}"
6.0,0.6558393599487735,"{0: 0.694, 1: 0.687, 2: 0.708, 3: 0.595, 4: 0.573, 5: 0.679}"
7.0,0.697536257392087,"{0: 0.65, 1: 0.71, 2: 0.714, 3: 0.705, 4: 0.697, 5: 0.709}"
8.0,0.6397663089510169,"{0: 0.657, 1: 0.589, 2: 0.68, 3: 0.632, 4: 0.616, 5: 0.664}"
9.0,0.5849553292032562,"{0: 0.604, 1: 0.639, 2: 0.639, 3: 0.574, 4: 0.472, 5: 0.581}"
10.0,0.7140102084298191,"{0: 0.686, 1: 0.737, 2: 0.733, 3: 0.745, 4: 0.667, 5: 0.716}"
11.0,0.6297597929407569,"{0: 0.648, 1: 0.613, 2: 0.658, 3: 0.579, 4: 0.617, 5: 0.664}"
12.0,0.7389891760918408,"{0: 0.735, 1: 0.786, 2: 0.781, 3: 0.686, 4: 0.674, 5: 0.773}"
13.0,0.6367786106683513,"{0: 0.689, 1: 0.665, 2: 0.709, 3: 0.587, 4: 0.487, 5: 0.684}"
14.0,0.7178464731257974,"{0: 0.755, 1: 0.697, 2: 0.755, 3: 0.736, 4: 0.617, 5: 0.748}"
15.0,0.6704528271544489,"{0: 0.652, 1: 0.668, 2: 0.7, 3: 0.655, 4: 0.651, 5: 0.697}"
16.0,0.7114559137937978,"{0: 0.669, 1: 0.737, 2: 0.732, 3: 0.702, 4: 0.721, 5: 0.708}"
17.0,0.657314999524405,"{0: 0.674, 1: 0.572, 2: 0.701, 3: 0.692, 4: 0.619, 5: 0.686}"
18.0,0.7460781214017221,"{0: 0.729, 1: 0.788, 2: 0.782, 3: 0.698, 4: 0.733, 5: 0.747}"
19.0,0.7034678977831413,"{0: 0.66, 1: 0.735, 2: 0.713, 3: 0.722, 4: 0.7, 5: 0.689}"
20.0,0.6528463090326951,"{0: 0.651, 1: 0.698, 2: 0.696, 3: 0.63, 4: 0.618, 5: 0.625}"
21.0,0.5914369708426587,"{0: 0.603, 1: 0.636, 2: 0.642, 3: 0.597, 4: 0.424, 5: 0.645}"
22.0,0.7237432391882394,"{0: 0.744, 1: 0.722, 2: 0.757, 3: 0.717, 4: 0.67, 5: 0.732}"
23.0,0.660228112569584,"{0: 0.698, 1: 0.668, 2: 0.701, 3: 0.669, 4: 0.562, 5: 0.663}"
24.0,0.8008172391017331,"{0: 0.784, 1: 0.847, 2: 0.829, 3: 0.733, 4: 0.821, 5: 0.792}"
25.0,0.7901665098255011,"{0: 0.744, 1: 0.829, 2: 0.814, 3: 0.753, 4: 0.793, 5: 0.808}"
26.0,0.6486964347489249,"{0: 0.676, 1: 0.667, 2: 0.691, 3: 0.674, 4: 0.506, 5: 0.678}"
27.0,0.684499541000196,"{0: 0.661, 1: 0.71, 2: 0.695, 3: 0.668, 4: 0.663, 5: 0.71}"
28.0,0.6199984457680553,"{0: 0.684, 1: 0.659, 2: 0.674, 3: 0.51, 4: 0.522, 5: 0.67}"
29.0,0.6578688299463246,"{0: 0.684, 1: 0.701, 2: 0.705, 3: 0.629, 4: 0.566, 5: 0.662}"
30.0,0.690928728041461,"{0: 0.72, 1: 0.73, 2: 0.74, 3: 0.659, 4: 0.599, 5: 0.697}"
31.0,0.6806528048942866,"{0: 0.715, 1: 0.712, 2: 0.728, 3: 0.634, 4: 0.607, 5: 0.688}"
32.0,0.5777384136838898,"{0: 0.646, 1: 0.581, 2: 0.64, 3: 0.492, 4: 0.497, 5: 0.61}"
33.0,0.6460867615310303,"{0: 0.666, 1: 0.655, 2: 0.689, 3: 0.662, 4: 0.519, 5: 0.685}"
34.0,0.6103190231960071,"{0: 0.648, 1: 0.672, 2: 0.668, 3: 0.532, 4: 0.491, 5: 0.652}"
35.0,0.7067400430405527,"{0: 0.712, 1: 0.704, 2: 0.732, 3: 0.751, 4: 0.6, 5: 0.742}"
36.0,0.7339711049094002,"{0: 0.671, 1: 0.763, 2: 0.739, 3: 0.749, 4: 0.723, 5: 0.758}"
37.0,0.6246429019678955,"{0: 0.668, 1: 0.614, 2: 0.678, 3: 0.622, 4: 0.511, 5: 0.655}"
38.0,0.6530323598725866,"{0: 0.684, 1: 0.583, 2: 0.693, 3: 0.677, 4: 0.595, 5: 0.687}"
39.0,0.7008409256624657,"{0: 0.656, 1: 0.731, 2: 0.678, 3: 0.738, 4: 0.664, 5: 0.738}"
40.0,0.5501582106294837,"{0: 0.622, 1: 0.485, 2: 0.623, 3: 0.509, 4: 0.462, 5: 0.599}"
41.0,0.7065302033228531,"{0: 0.725, 1: 0.744, 2: 0.712, 3: 0.705, 4: 0.637, 5: 0.716}"
42.0,0.5845008610107779,"{0: 0.638, 1: 0.625, 2: 0.637, 3: 0.506, 4: 0.479, 5: 0.623}"
43.0,0.6008384482671928,"{0: 0.667, 1: 0.59, 2: 0.672, 3: 0.538, 4: 0.484, 5: 0.656}"
44.0,0.711161889119511,"{0: 0.726, 1: 0.744, 2: 0.747, 3: 0.711, 4: 0.635, 5: 0.704}"
45.0,0.7307453423749158,"{0: 0.702, 1: 0.744, 2: 0.757, 3: 0.733, 4: 0.698, 5: 0.751}"
46.0,0.7282320209741684,"{0: 0.744, 1: 0.747, 2: 0.749, 3: 0.746, 4: 0.621, 5: 0.763}"
