sample id,sentence,domain,gold_label,agg_human_pred,agg_human_confidence,inp,predicted,logit_false,logit_true,sm_false,sm_true,entropy,gold_label,check,
5,"I know that Meg's attracted to Harry, but they don't know who.",out,0,0,1,cola sentence: I know that Meg's attracted to Harr,TRUE,-4.587928772,-3.833606005,0.3198801219,0.6801198781,0.9042510471,FALSE,FALSE,0
96,John made Bill mad at himself.,out,1,1,1,cola sentence: John made Bill mad at himself.,TRUE,-5.056757927,-2.701391697,0.08664018,0.91335982,0.4251546152,TRUE,TRUE,1
179,"Suddenly, there arrived two inspectors from the INS.",in,1,1,1,"cola sentence: Suddenly, there arrived two inspect",TRUE,-5.663291931,-2.617866993,0.04541540344,0.9545845966,0.2665930382,TRUE,TRUE,1
3,"She was bathing, but I couldn't make out who.",out,0,0,1,"cola sentence: She was bathing, but I couldn't mak",TRUE,-4.19894886,-3.37966156,0.3059149672,0.6940850328,0.8884015765,FALSE,FALSE,0
42,The only people being added to our group who were at Harvard were students.,out,1,1,1,cola sentence: The only people being added to our,TRUE,-6.505738735,-3.228593826,0.0363636302,0.9636363698,0.22536361,TRUE,TRUE,1
125,The books lifted onto the table.,in,0,0,1,cola sentence: The books lifted onto the table.,FALSE,-1.725118279,-3.707944632,0.8789821306,0.1210178694,0.5322796395,FALSE,TRUE,1
4,"John was tall, but I don't know on what occasions.",out,0,0,1,"cola sentence: John was tall, but I don't know on",TRUE,-4.445899963,-3.205608845,0.2243853164,0.7756146836,0.7680945026,FALSE,FALSE,0
54,I was already aware of fact.,out,0,0,1,cola sentence: I was already aware of fact.,FALSE,-2.483055592,-3.480418682,0.730539815,0.269460185,0.8406889688,FALSE,TRUE,1
53,The bird sing.,out,0,0,1,cola sentence: The bird sing.,FALSE,-0.8615626693,-3.020526886,0.8965034829,0.1034965171,0.4799823001,FALSE,TRUE,1
30,I know the person whose mother died.,out,1,1,1,cola sentence: I know the person whose mother died,TRUE,-7.029324532,-3.176280499,0.02077433008,0.9792256699,0.1457663881,TRUE,TRUE,1
13,What did you leave before they started playing?,out,0,0,1,cola sentence: What did you leave before they star,TRUE,-4.623667717,-2.276686192,0.08730599611,0.9126940039,0.4274130767,FALSE,FALSE,0
168,They realised that never had Sir Thomas been so offended.,in,1,1,0.6,cola sentence: They realised that never had Sir Th,TRUE,-5.529876709,-3.294593096,0.09662645157,0.9033735484,0.4582095534,TRUE,TRUE,1
127,Susan whispered the news.,in,1,1,1,cola sentence: Susan whispered the news.,TRUE,-6.57583046,-2.646333933,0.0192747476,0.9807252524,0.137348869,TRUE,TRUE,1
49,I noticed the.,out,0,0,1,cola sentence: I noticed the.,FALSE,-2.638741016,-3.486628771,0.7001238631,0.2998761369,0.8811394372,FALSE,TRUE,1
139,That Fred was unpopular nominated Bill.,in,0,0,1,cola sentence: That Fred was unpopular nominated B,FALSE,-1.157442093,-4.128579617,0.9512530518,0.04874694817,0.2810500481,FALSE,TRUE,1
27,"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",out,0,0,1,cola sentence: Because Steve's of a spider's eye h,FALSE,-4.118797302,-5.658362389,0.8234014927,0.1765985073,0.6725790223,FALSE,TRUE,1
18,The book was seen by Mary.,out,1,1,1,cola sentence: The book was seen by Mary.,TRUE,-3.92692852,-3.838540554,0.4779173832,0.5220826168,0.9985925049,TRUE,TRUE,1
86,It was hated for John to leave.,out,0,0,1,cola sentence: It was hated for John to leave.,TRUE,-5.158185005,-3.38578701,0.1452443683,0.8547556317,0.5978102493,FALSE,FALSE,0
93,I gave Pete the book to impress.,out,0,0,0.8,cola sentence: I gave Pete the book to impress.,FALSE,-2.998675346,-4.838481903,0.8629258276,0.1370741724,0.5765247426,FALSE,TRUE,1
126,Lora buttered at the toast.,in,0,0,0.6,cola sentence: Lora buttered at the toast.,FALSE,-1.045525312,-3.776686192,0.9388405277,0.06115947234,0.3320304994,FALSE,TRUE,1
189,The Peter we all like was at the party,in,1,1,1,cola sentence: The Peter we all like was at the pa,TRUE,-6.303371906,-3.10493803,0.03922470137,0.9607752986,0.2387261118,TRUE,TRUE,1
191,It's Anson that I like,in,1,1,1,cola sentence: It's Anson that I like,TRUE,-6.625364304,-4.041986465,0.07021588625,0.9297841137,0.3667287801,TRUE,TRUE,1
