model_1,model_2,contradiction_KL,contradiction_JSD,contradiction_MSE,neutral_KL,neutral_JSD,neutral_MSE,entailment_KL,entailment_JSD,entailment_MSE
davinci,lstm,0.8648975,0.48411094534794846,0.1718023744618976,0.8648975,0.48411094534794846,0.1718023744618976,0.8648975,0.48411094534794846,0.1718023744618976
davinci,random,0.97325426,0.523183446156015,0.1946125495558039,0.97325426,0.523183446156015,0.1946125495558039,0.97325426,0.523183446156015,0.1946125495558039
davinci,roberta,2.0996873,0.39419988563570757,0.2476330036021485,2.0996873,0.39419988563570757,0.2476330036021485,2.0996873,0.39419988563570757,0.2476330036021485
davinci,tfidf,1.0629485,0.4879948336311503,0.2096369388866007,1.0629485,0.4879948336311503,0.2096369388866007,1.0629485,0.4879948336311503,0.2096369388866007
davinci,human,0.7032387,0.3847424731588026,0.14773555631218813,0.7032387,0.3847424731588026,0.14773555631218813,0.7032387,0.3847424731588026,0.14773555631218813
lstm,davinci,3.542959,0.48411094534794846,0.1718023744618976,3.542959,0.48411094534794846,0.1718023744618976,3.542959,0.48411094534794846,0.1718023744618976
lstm,random,0.09194417,0.13574433694428825,0.019430269367908443,0.09194417,0.13574433694428825,0.019430269367908443,0.09194417,0.13574433694428825,0.019430269367908443
lstm,roberta,1.8121786,0.40576804852834053,0.10213977943550469,1.8121786,0.40576804852834053,0.10213977943550469,1.8121786,0.40576804852834053,0.10213977943550469
lstm,tfidf,0.28218183,0.20746850824528604,0.04586734224775966,0.28218183,0.20746850824528604,0.04586734224775966,0.28218183,0.20746850824528604,0.04586734224775966
lstm,human,0.54382306,0.28994260454774845,0.055535929458664944,0.54382306,0.28994260454774845,0.055535929458664944,0.54382306,0.28994260454774845,0.055535929458664944
random,davinci,4.1776853,0.523183446156015,0.1946125495558039,4.1776853,0.523183446156015,0.1946125495558039,4.1776853,0.523183446156015,0.1946125495558039
random,lstm,0.068711676,0.13574433694428825,0.019430269367908443,0.068711676,0.13574433694428825,0.019430269367908443,0.068711676,0.13574433694428825,0.019430269367908443
random,roberta,2.8265119,0.5118530579667879,0.1931866638976827,2.8265119,0.5118530579667879,0.1931866638976827,2.8265119,0.5118530579667879,0.1931866638976827
random,tfidf,0.3584964,0.2292188792227247,0.05574315969824637,0.3584964,0.2292188792227247,0.05574315969824637,0.3584964,0.2292188792227247,0.05574315969824637
random,human,0.9047905,0.36770190729784313,0.1016635209965683,0.9047905,0.36770190729784313,0.1016635209965683,0.9047905,0.36770190729784313,0.1016635209965683
roberta,davinci,2.571118,0.39419988563570757,0.2476330036021485,2.571118,0.39419988563570757,0.2476330036021485,2.571118,0.39419988563570757,0.2476330036021485
roberta,lstm,0.5545622,0.40576804852834053,0.10213977943550469,0.5545622,0.40576804852834053,0.10213977943550469,0.5545622,0.40576804852834053,0.10213977943550469
roberta,random,0.9452357,0.5118530579667879,0.1931866638976827,0.9452357,0.5118530579667879,0.1931866638976827,0.9452357,0.5118530579667879,0.1931866638976827
roberta,tfidf,0.7880198,0.4314974595591864,0.16204223346787938,0.7880198,0.4314974595591864,0.16204223346787938,0.7880198,0.4314974595591864,0.16204223346787938
roberta,human,0.35719886,0.27422687459885065,0.07766565029475309,0.35719886,0.27422687459885065,0.07766565029475309,0.35719886,0.27422687459885065,0.07766565029475309
tfidf,davinci,3.8591425,0.4879948336311503,0.2096369388866007,3.8591425,0.4879948336311503,0.2096369388866007,3.8591425,0.4879948336311503,0.2096369388866007
tfidf,lstm,0.21477278,0.20746850824528604,0.04586734224775966,0.21477278,0.20746850824528604,0.04586734224775966,0.21477278,0.20746850824528604,0.04586734224775966
tfidf,random,0.26726747,0.2292188792227247,0.05574315969824637,0.26726747,0.2292188792227247,0.05574315969824637,0.26726747,0.2292188792227247,0.05574315969824637
tfidf,roberta,2.3092368,0.4314974595591864,0.16204223346787938,2.3092368,0.4314974595591864,0.16204223346787938,2.3092368,0.4314974595591864,0.16204223346787938
tfidf,human,0.87692034,0.34786525953175007,0.10680956298856303,0.87692034,0.34786525953175007,0.10680956298856303,0.87692034,0.34786525953175007,0.10680956298856303
human,davinci,2.1897483,0.3847424731588026,0.14773555631218813,2.1897483,0.3847424731588026,0.14773555631218813,2.1897483,0.3847424731588026,0.14773555631218813
human,lstm,0.3084911,0.28994260454774845,0.055535929458664944,0.3084911,0.28994260454774845,0.055535929458664944,0.3084911,0.28994260454774845,0.055535929458664944
human,random,0.5137279,0.36770190729784313,0.1016635209965683,0.5137279,0.36770190729784313,0.1016635209965683,0.5137279,0.36770190729784313,0.1016635209965683
human,roberta,1.0494921,0.27422687459885065,0.07766565029475309,1.0494921,0.27422687459885065,0.07766565029475309,1.0494921,0.27422687459885065,0.07766565029475309
human,tfidf,0.5586159,0.34786525953175007,0.10680956298856303,0.5586159,0.34786525953175007,0.10680956298856303,0.5586159,0.34786525953175007,0.10680956298856303
