sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label_1,label_2,label_3,pred_label,softmax_entropy
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.759822475,0.839139344,78.75,6,19,101,0.00709723,0.625340641,0.367562085,contradiction,1.004935752
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.179086983,0.886270492,94.15,5,22,118,0.93779844,0.000572242,0.061629318,entailment,0.340815503
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.137177933,0.951844262,81.29,3,14,76,0.964939177,0.000751983,0.034308832,entailment,0.224410074
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.982104903,0.865778689,83.32,3,10,58,0.001043179,0.96976757,0.029189175,contradiction,0.202101251
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871834,0.56557377,93.14,4,24,118,0.015124793,0.00190405,0.982971132,neutral,0.13302214
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.408478626,0.788934426,79.77,4,17,93,0.002344135,0.975035667,0.02262024,contradiction,0.179690402
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262,0.289959016,87.21,4,19,95,0.019085201,0.404753536,0.576161325,neutral,1.095470414
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.761473099,0.973360656,86.2,4,21,113,0.985294104,0.000872493,0.013833431,entailment,0.115357238
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515876,0.75,103.12,2,21,99,0.011928237,0.064355992,0.923715711,neutral,0.436668309
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383,0.963114754,96.18,4,18,83,0.941182077,0.00054944,0.058268502,entailment,0.327227972
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186926,0.776639344,86.2,6,21,111,0.052608669,0.016194215,0.931197107,neutral,0.415605879
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146,0.425204918,78.75,6,19,108,0.000182695,0.991213024,0.008604329,contradiction,0.073921794
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076,0.754098361,92.12,6,26,134,0.02312067,0.100577496,0.876301825,neutral,0.62586463
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779,0.700819672,84.17,5,25,130,0.000130629,0.999204576,0.000664793,contradiction,0.009849261
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355,0.470286885,99.06,3,29,134,0.001033843,0.98777163,0.01119452,contradiction,0.100339302
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.615013945,0.819672131,83.15,6,27,140,0.000920907,0.000455488,0.99862361,neutral,0.016327434
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.982748625,0.978483607,88.74,3,16,76,0.987488508,0.001006615,0.011504864,entailment,0.102068865
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.884108359,0.854508197,90.77,2,12,58,0.00325276,0.559339881,0.437407285,contradiction,1.017526865
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.077208612,0.87602459,90.26,3,13,67,0.000180301,0.000170966,0.99964869,neutral,0.00488861
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.038430752,0.491803279,82.31,3,12,64,0.002235967,0.070275769,0.927488208,neutral,0.389626252
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229379,0.329918033,84.17,5,25,130,0.997554243,0.000349638,0.002096196,entailment,0.026190738
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.936766875,0.860655738,85.69,6,22,104,0.976346493,0.004078823,0.019574687,entailment,0.17717793
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.123446943,0.740778689,79.77,4,17,91,0.824463546,0.015894018,0.159642488,entailment,0.747150029
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234,0.619877049,88.23,6,17,78,0.69316262,0.040185697,0.26665163,entailment,1.061344042
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663279,0.359631148,90.26,3,13,73,0.000177635,0.998098075,0.00172426,contradiction,0.020782736
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.622331021,0.820696721,87.55,6,35,179,0.000204669,0.000271629,0.999523759,neutral,0.006412826
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480584,0.658811475,94.66,3,21,102,0.791036725,0.025120869,0.18384245,entailment,0.850243529
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.468014695,0.798155738,98.72,0,13,59,0.01403383,0.036544532,0.949421585,neutral,0.331940323
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.05166875,0.488729508,94.15,5,22,113,0.574901998,0.231691539,0.193406418,entailment,1.406358337
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.189694607,0.887295082,98.21,0,14,64,0.953070462,0.002373582,0.044556011,entailment,0.286763425
30,4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,-0.985463268,0.715163934,87.72,4,18,103,0.010427403,0.69043982,0.299132764,contradiction,0.958460839
31,2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,-0.900907429,0.698770492,90.77,2,12,68,0.011626842,0.421405286,0.566967905,neutral,1.064247508
32,3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,1.396437653,0.213114754,86.2,4,21,99,0.000833888,0.993553758,0.005612318,contradiction,0.059763114
33,2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,0.264525074,0.43954918,102.61,5,22,111,0.910461605,0.0032458,0.086292684,entailment,0.455058157
34,4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,-0.067481152,0.516393443,77.74,5,21,115,0.024466349,0.590176165,0.385357469,contradiction,1.110113541
35,4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,0.818074909,0.318647541,88.23,4,17,79,0.024942612,0.630288363,0.344769031,contradiction,1.082212578
36,3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,-2.89137865,0.93954918,74.35,4,11,62,0.961259067,0.000810384,0.037930585,entailment,0.242167536
37,31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,-0.001275131,0.50102459,77.74,5,21,114,0.17806834,0.200233892,0.621697783,neutral,1.334198962
38,2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,-0.560624191,0.62807377,59.3,8,24,132,0.097557716,0.021255717,0.881186545,neutral,0.606456138
39,3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,-1.578888021,0.81454918,80.96,8,24,107,0.223618209,0.280922621,0.49545908,neutral,1.499776355
40,430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,0.408824907,0.406762295,63.36,7,16,96,0.001203606,0.990844429,0.007951912,contradiction,0.08028152
41,2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,0.413382406,0.405737705,71.31,6,17,100,0.8339926,0.02380898,0.142198414,entailment,0.746953178
42,2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,0.056082019,0.487704918,74.86,2,10,63,0.000263122,0.999254048,0.000482776,contradiction,0.009523181
43,4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,-0.178193432,0.542008197,87.21,4,19,99,0.002181443,0.99449712,0.003321355,contradiction,0.054550111
44,168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,-1.117772761,0.739754098,88.23,4,17,85,0.673268139,0.002495547,0.324236304,entailment,0.93268915
45,2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,-1.963803558,0.863729508,84.68,6,24,120,0.970149457,0.001530524,0.028320052,entailment,0.20235173
