sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label_1,label_2,label_3,pred,softmax_entropy,confidence
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,2.0349023543531075e-05,0.9999420642852783,3.750834002858028e-05,contradiction,0.0009520649318621149,0.9999420642852783
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.9692604541778564,0.0004265416937414557,0.030312923714518547,entailment,0.20133018528348248,0.9692604541778564
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9959405660629272,0.00023766518279444426,0.0038217678666114807,entailment,0.03940051732321906,0.9959405660629272
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.0009571422706358135,0.26397091150283813,0.7350719571113586,neutral,0.8432355140258527,0.7350719571113586
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.000110777655208949,8.092139614745975e-05,0.9998083710670471,neutral,0.0028321341969748683,0.9998083710670471
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.0007261745049618185,0.0023816637694835663,0.9968921542167664,neutral,0.032802174159055675,0.9968921542167664
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,3.839525015791878e-05,0.9997358918190002,0.0002256794978165999,contradiction,0.003677892405655799,0.9997358918190002
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9929775595664978,0.0003357490641064942,0.006686719600111246,entailment,0.06227838693117666,0.9929775595664978
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.00011930325854336843,7.3171679105144e-05,0.9998075366020203,neutral,0.002837803180156473,0.9998075366020203
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9997064471244812,3.956976070185192e-05,0.0002539537672419101,entailment,0.00403512726844554,0.9997064471244812
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186925978517,0.7766393442622951,86.2,6.0,21,111,0.00011497823288664222,7.515802280977368e-05,0.9998099207878113,neutral,0.002808571361978884,0.9998099207878113
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146263317,0.4252049180327868,78.75,6.0,19,108,2.1003192159696482e-05,0.9999444484710693,3.4522894566180184e-05,contradiction,0.0009181756276194288,0.9999444484710693
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076001311,0.7540983606557377,92.12,6.0,26,134,0.00010093778109876439,0.0019819424487650394,0.997917115688324,neutral,0.02213730437936591,0.997917115688324
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779346956,0.7008196721311475,84.17,5.0,25,130,2.0140620108577423e-05,0.9999436140060425,3.624468081397936e-05,contradiction,0.0009302056192504043,0.9999436140060425
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355265525,0.4702868852459016,99.06,3.0,29,134,5.243013220024295e-05,0.999657154083252,0.00029045590781606734,contradiction,0.004652792531241838,0.999657154083252
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.61501394452806,0.819672131147541,83.15,6.0,27,140,0.0004889524425379932,3.787527384702116e-05,0.9994731545448303,neutral,0.006693686044534139,0.9994731545448303
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98274862480943,0.9784836065573772,88.74,3.0,16,76,0.999474823474884,3.958206798415631e-05,0.0004856597224716097,entailment,0.006682472711254534,0.999474823474884
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.88410835880238,0.8545081967213115,90.77,2.0,12,58,0.00020753787248395383,0.0015788874588906765,0.9982136487960815,neutral,0.019808560405861743,0.9982136487960815
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.07720861227919,0.8760245901639344,90.26,3.0,13,67,0.00011928554158657789,0.00020922291150782257,0.999671459197998,neutral,0.0045858061561419245,0.999671459197998
