model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE,DISAGREE_PCT,DISAGREE_KL,DISAGREE_JSD,DISAGREE_MSE
davinci,lstm,0.9896097,0.5159074265289278,0.202278602021687,0.39,0.5962252,0.42487064221289034,0.10833882114259567,0.61,1.2399453,0.5738399256391337,0.2620584625811087
davinci,roberta,1.7993313,0.38420269865800005,0.22592721447154251,0.59,0.24299727,0.15619846372133678,0.02008388569770204,0.41,4.0286746,0.7108033595132206,0.5207838746070436
davinci,tf-idf,1.073438,0.48659646230992315,0.2094839936256672,0.46,0.44667062,0.3510164484385402,0.07873181958272912,0.54,1.5978761,0.6000409637125089,0.31888887394730936
davinci,random,0.9700522,0.5222682369142022,0.1942158515557464,0.33,1.0209043,0.5375724958589758,0.2046129401111021,0.67,0.94462603,0.5146161074418153,0.18901730727806854
lstm,davinci,4.2731915,0.5159074265289278,0.202278602021687,0.39,3.0891895,0.42487064221289034,0.10833882114259567,0.61,5.0266466,0.5738399256391337,0.2620584625811087
lstm,roberta,2.415047,0.47918133840419214,0.18173757344925323,0.44,1.6409047,0.38642770538792953,0.09248356588637974,0.56,3.0343604,0.5533842448172023,0.25314077949955194
lstm,tf-idf,0.4828562,0.2737969109389184,0.08188300562815402,0.23,0.22618957,0.180833324130783,0.030734772418402126,0.77,0.5609722,0.3020901764892205,0.09744985921373069
lstm,random,0.08760004,0.13154288927463637,0.018354890248907157,0.23,0.07688811,0.12117240086127587,0.015747050963231132,0.77,0.09086018,0.13469912487870261,0.01914858046628682
roberta,davinci,2.6419024,0.38420269865800005,0.22592721447154251,0.59,0.44739848,0.15619846372133678,0.02008388569770204,0.41,5.7853804,0.7108033595132206,0.5207838746070436
roberta,lstm,0.8801545,0.47918133840419214,0.18173757344925323,0.44,0.50885904,0.38642770538792953,0.09248356588637974,0.56,1.1771909,0.5533842448172023,0.25314077949955194
roberta,tf-idf,0.72615033,0.41026245550241836,0.15034684417570396,0.58,0.37472898,0.3131966281374398,0.06592880787465391,0.42,1.2070429,0.5430893771597574,0.26586626227187776
roberta,random,0.88053334,0.4906914528364968,0.17959191147453543,0.22,0.8915946,0.49339579700596364,0.18402797730949397,0.78,0.8773731,0.48991878307379194,0.17832446409311872
tf-idf,davinci,3.9232798,0.48659646230992315,0.2094839936256672,0.46,2.3227909,0.3510164484385402,0.07873181958272912,0.54,5.262464,0.6000409637125089,0.31888887394730936
tf-idf,lstm,0.3642871,0.2737969109389184,0.08188300562815402,0.23,0.15596075,0.180833324130783,0.030734772418402126,0.77,0.42769077,0.3020901764892205,0.09744985921373069
tf-idf,roberta,1.9221882,0.41026245550241836,0.15034684417570396,0.58,1.1924232,0.3131966281374398,0.06592880787465391,0.42,2.920814,0.5430893771597574,0.26586626227187776
tf-idf,random,0.26837802,0.2323020283412316,0.05637057819274377,0.26,0.20320287,0.20296499671260107,0.04325562623757253,0.74,0.2907516,0.24237294964658238,0.060872725878847324
random,davinci,4.3090873,0.5222682369142022,0.1942158515557464,0.33,4.701891,0.5375724958589758,0.2046129401111021,0.67,4.112685,0.5146161074418153,0.18901730727806854
random,lstm,0.0646821,0.13154288927463637,0.018354890248907157,0.23,0.05453304,0.12117240086127587,0.015747050963231132,0.77,0.06777094,0.13469912487870261,0.01914858046628682
random,roberta,2.489099,0.4906914528364968,0.17959191147453543,0.22,2.271249,0.49339579700596364,0.18402797730949397,0.78,2.5513415,0.48991878307379194,0.17832446409311872
random,tf-idf,0.34808844,0.2323020283412316,0.05637057819274377,0.26,0.22188924,0.20296499671260107,0.04325562623757253,0.74,0.39141056,0.24237294964658238,0.060872725878847324
