sample_id,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs
0.0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,contradiction,"A little boy is opening gifts surrounded by a group of children and adults.

Can we infer that the boy is being punished? Answer as yes, no or maybe.

Answer:",0.9294169638714869,"{
  "" Maybe"": -2.671405,
  "" No"": -0.07319781,
  ""No"": -6.86068
}"
1.0,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,"People playing cricket in the park, pine trees in the back.

Can we infer that people are playing sports in the park, near the pine trees? Answer as yes, no or maybe.

Answer:",0.748391142425737,"{
  "" Maybe"": -1.3964084,
  "" Yes"": -0.28982952,
  ""Yes"": -5.700432
}"
2.0,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,entailment,"Some people hanging out on a large backyard deck.

Can we infer that people hanging out on deck? Answer as yes, no or maybe.

Answer:",0.995143733975063,"{
  "" Maybe"": -6.180027,
  "" Yes"": -0.004868096,
  ""Yes"": -5.989258
}"
3.0,A group of dancers are performing.,The audience is silent.,neutral,neutral,"A group of dancers are performing.

Can we infer that the audience is silent? Answer as yes, no or maybe.

Answer:",0.9993058910751289,"{
  "" Maybe"": -0.00069434993,
  "" maybe"": -8.1875925,
  ""Maybe"": -7.9591236
}"
4.0,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,"A large brown and white dog is carrying a stick through a white and snowy area.

Can we infer that a puppy is playing fetch with a stick? Answer as yes, no or maybe.

Answer:",0.9990661025239423,"{
  "" Maybe"": -0.00093433383,
  "" maybe"": -8.2133875,
  ""Maybe"": -7.372579
}"
5.0,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,"A little girl in pink stands in a yellow hallway.

Can we infer that the girl is standing outside her apartment? Answer as yes, no or maybe.

Answer:",0.9991202238301885,"{
  "" Maybe"": -0.0008801634,
  "" maybe"": -8.077898,
  ""Maybe"": -7.575436
}"
6.0,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,neutral,contradiction,"A young boy in a sweatshirt is doodling on a piece of paper.

Can we infer that the class pictures are on display? Answer as yes, no or maybe.

Answer:",0.9990855915264619,"{
  "" Maybe"": -0.0009148268,
  "" maybe"": -8.191365,
  ""Maybe"": -7.5923896
}"
7.0,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,entailment,"A young girl in a white dress watches bubbles while a woman and girl toddler observe.

Can we infer that a girl is watching bubbles? Answer as yes, no or maybe.

Answer:",0.9895595711175172,"{
  "" Maybe"": -4.8313494,
  "" Yes"": -0.0104953125,
  ""Yes"": -6.2809935
}"
8.0,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,"a toddler playing with a toy car next to a dog.

Can we infer that a toddler plays with toy cars while his dog sleeps? Answer as yes, no or maybe.

Answer:",0.9991661182727709,"{
  "" Maybe"": -0.0008342296,
  "" maybe"": -8.342986,
  ""Maybe"": -7.5498743
}"
9.0,A man in and a woman are holding their towels at the beach.,People are at the beach,neutral,entailment,"A man in and a woman are holding their towels at the beach.

Can we infer that people are at the beach? Answer as yes, no or maybe.

Answer:",0.9399153386877512,"{
  "" Maybe"": -0.061965473,
  "" Yes"": -2.8280404,
  "" maybe"": -8.03828
}"
10.0,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,neutral,"Man and woman crossing the street at dusk.

Can we infer that a husband and a wife are enjoying a leisurely stroll in the evening? Answer as yes, no or maybe.

Answer:",0.9994254002457037,"{
  "" Maybe"": -0.0005747649,
  "" maybe"": -9.341892,
  ""Maybe"": -7.654822
}"
11.0,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,neutral,contradiction,"A woman singing into a microphone while a man plays drums in the background.

Can we infer that they are playing a PlayStation? Answer as yes, no or maybe.

Answer:",0.6850387314880824,"{
  "" Maybe"": -0.3782799,
  "" No"": -1.1656086,
  "" maybe"": -6.4296904
}"
12.0,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,neutral,"Two men in front of a projector screen, one at a microphone.

Can we infer that three men about to present their best idea yet in front of their company? Answer as yes, no or maybe.

Answer:",0.9995746499669854,"{
  "" Maybe"": -0.00042544052,
  "" maybe"": -9.010709,
  ""Maybe"": -8.147668
}"
13.0,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,neutral,contradiction,"A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.

Can we infer that a snowboarder flies through the air? Answer as yes, no or maybe.

Answer:",0.9988544459485746,"{
  "" Maybe"": -0.0011462107,
  "" maybe"": -7.639553,
  ""Maybe"": -7.397541
}"
14.0,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,neutral,contradiction,"A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.

Can we infer that two boys puch each other on swings? Answer as yes, no or maybe.

Answer:",0.9653941890390846,"{
  "" Maybe"": -0.035218775,
  "" No"": -3.4347947,
  "" maybe"": -6.7261477
}"
15.0,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,neutral,"A group of people in dark clothing are crossing a crosswalk.

Can we infer that a group of people in dark clothing are crossing a crosswalk to get to the store? Answer as yes, no or maybe.

Answer:",0.9993623376930776,"{
  "" Maybe"": -0.0006378657,
  "" maybe"": -8.549371,
  ""Maybe"": -7.8243904
}"
16.0,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,entailment,"A girl is holding a camera and making a hand gesture.

Can we infer that a girl holds a camera? Answer as yes, no or maybe.

Answer:",0.7735952693290498,"{
  "" Maybe"": -1.4975147,
  "" Yes"": -0.25670645,
  ""Yes"": -6.2449455
}"
17.0,A man posing with a antique sewing machine.,He is a sewer.,neutral,neutral,"A man posing with a antique sewing machine.

Can we infer that he is a sewer? Answer as yes, no or maybe.

Answer:",0.9988869306217738,"{
  "" Maybe"": -0.0011136893,
  "" maybe"": -7.815475,
  ""Maybe"": -7.451518
}"
18.0,Five people standing by a gate.,Five fat people standing by a gate.,neutral,neutral,"Five people standing by a gate.

Can we infer that five fat people standing by a gate? Answer as yes, no or maybe.

Answer:",0.5719536055901443,"{
  "" Maybe"": -0.5586974,
  "" No"": -0.8532167,
  "" maybe"": -6.972214
}"
19.0,Man sweeping trash outside a large statue.,A man is on vacation.,neutral,contradiction,"Man sweeping trash outside a large statue.

Can we infer that a man is on vacation? Answer as yes, no or maybe.

Answer:",0.9979889828101431,"{
  "" Maybe"": -0.002013042,
  "" No"": -6.7269635,
  ""Maybe"": -7.6339593
}"
20.0,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,entailment,"A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.

Can we infer that there is one man in this picture? Answer as yes, no or maybe.

Answer:",0.9951583958342473,"{
  "" Yes"": -0.0048533627,
  "" yes"": -7.4523964,
  ""Yes"": -5.5263624
}"
21.0,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,neutral,entailment,"Two men and a woman are inspecting the front tire of a bicycle.

Can we infer that there are a group of people near a bike? Answer as yes, no or maybe.

Answer:",0.9976243790643908,"{
  "" Maybe"": -0.0023784472,
  "" No"": -6.347633,
  ""Maybe"": -8.000942
}"
22.0,This path leads up to the apple market entrance.,This road goes up to apple market entrance,neutral,entailment,"This path leads up to the apple market entrance.

Can we infer that this road goes up to apple market entrance? Answer as yes, no or maybe.

Answer:",0.794219879301127,"{
  "" Maybe"": -0.23039493,
  "" Yes"": -1.5857321,
  ""Yes"": -7.6333656
}"
23.0,A single runner is watched by onlookers in a race.,A man is running in a race.,neutral,entailment,"A single runner is watched by onlookers in a race.

Can we infer that a man is running in a race? Answer as yes, no or maybe.

Answer:",0.9995303035419343,"{
  "" Maybe"": -0.0004698068,
  "" maybe"": -8.458555,
  ""Maybe"": -8.437136
}"
24.0,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,contradiction,"Two rodeo clowns are on the dirt.

Can we infer that two circus clowns were riding bicycles? Answer as yes, no or maybe.

Answer:",0.7266930828369038,"{
  "" Maybe"": -1.3053409,
  "" No"": -0.31925106,
  ""No"": -7.013118
}"
25.0,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,neutral,"A boy does a skateboarding trick in the air while holding the board with his left hand.

Can we infer that a sad boy does a skateboarding trick in the air while holding the board with his left hand? Answer as yes, no or maybe.

Answer:",0.8699272861190039,"{
  "" Maybe"": -0.13934565,
  "" No"": -2.0593972,
  "" maybe"": -6.8965454
}"
