sample_id,sst_phrase_id,sst_sentence_id,content,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,pred_label,gold_label,pred_confidence,gold_confidence,uncertainty
0,13788,65,"a pleasant enough movie , held together by skilled ensemble actors .",1,0.8928928928928929,61.33,8.0,10,68,1,1,0.9042452,0.9042452,0.5089124003156047
1,13813,22,"a thoughtful , provocative , insistently humanizing film .",1,0.955955955955956,6.17,14.0,6,58,1,1,0.87218714,0.87218714,0.6163156947664169
3,14371,8,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.4214214214214214,69.11,8.0,19,108,1,1,0.71753687,0.71753687,1.0396002979788785
4,14493,79,"the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",1,0.9049049049049048,66.07,12.0,22,128,1,1,0.732151,0.732151,0.9749737753248828
5,14548,40,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,0.8088088088088088,48.81,10.0,41,220,1,1,0.7632074,0.7632074,0.9463317846501907
6,14633,23,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,0.8528528528528528,54.9,10.0,33,188,1,1,0.5048353,0.5048353,1.2983107899754114
9,18675,226,an unabashedly schmaltzy and thoroughly enjoyable true story .,1,0.934934934934935,37.98,12.0,8,62,1,1,0.89755553,0.89755553,0.5419414104398308
10,18959,386,"if no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",1,0.6266266266266266,65.05,9.0,24,131,1,1,0.50607187,0.50607187,1.3739401606923316
11,19365,291,this is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,1,0.8998998998998999,61.67,9.0,19,103,1,1,0.5560084,0.5560084,1.3035127492160588
13,24441,933,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,1,0.918918918918919,27.83,15.0,18,120,1,1,0.7552539,0.7552539,0.9706626002243794
14,24480,970,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history .",1,0.94994994994995,53.55,10.0,26,150,1,1,0.96501595,0.96501595,0.24329117245511425
15,24617,998,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",1,0.951951951951952,62.68,10.0,17,100,1,1,0.88131815,0.88131815,0.5997634825081022
16,24626,1038,an excellent romp that boasts both a heart and a mind .,1,0.95995995995996,94.15,3.0,11,55,1,1,0.96256095,0.96256095,0.25743143552423486
17,24638,764,an incredibly clever and superbly paced caper filled with scams within scams within scams .,1,0.8348348348348348,65.73,8.0,14,91,1,1,0.8705764,0.8705764,0.6409025925077403
19,25019,650,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",1,0.9039039039039038,61.67,12.0,18,113,1,1,0.47247246,0.47247246,1.4635916208993982
20,25083,975,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",1,0.8158158158158159,41.7,13.0,22,137,1,1,0.62301016,0.62301016,1.2404400038212833
21,25110,952,"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",1,0.9109109109109108,64.2,9.0,31,186,1,1,0.7492773,0.7492773,0.9876461449710581
23,25257,1097,"even when foreign directors ... borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .",1,0.7907907907907908,53.37,8.0,19,129,1,1,0.6371811,0.6371811,1.124979709138513
24,25296,761,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made christmas card .,0,0.2502502502502503,56.59,11.0,24,137,0,0,0.53512913,0.53512913,1.4384278073557555
25,25372,758,"from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score , haynes gets just about everything right .",1,0.934934934934935,57.61,11.0,22,138,1,1,0.7338151,0.7338151,0.9675203052104651
26,25454,563,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1,0.9129129129129128,36.28,15.0,20,132,1,1,0.6266536,0.6266536,1.1793820351813655
27,25812,908,"its direction , its script , and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",1,0.4264264264264264,47.46,17.0,32,185,1,1,0.58300626,0.58300626,1.2483899018574165
28,26302,522,one scarcely needs the subtitles to enjoy this colorful action farce .,1,0.7977977977977978,60.31,8.0,11,70,1,1,0.6751857,0.6751857,1.0914846260304487
29,26419,475,"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum .",1,0.9209209209209208,24.78,15.0,21,136,1,1,0.8697222,0.8697222,0.6317283499801146
30,26559,585,several degrees shy of the gross-out contests one expects from current teen fare .,0,0.2882882882882883,66.74,12.0,14,82,0,0,0.66953546,0.66953546,1.2313978439695201
35,26771,596,"the best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1,0.8408408408408409,80.96,8.0,24,126,1,1,0.8791521,0.8791521,0.6025107763686474
36,26811,510,"the film delivers not just the full assault of reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",1,0.7937937937937938,57.95,10.0,30,168,1,1,0.51206404,0.51206404,1.398626550397179
37,26929,990,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1,0.905905905905906,31.21,15.0,23,151,1,1,0.8586557,0.8586557,0.6788255839405811
38,27092,490,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,1,0.6996996996996997,31.89,12.0,16,106,1,1,0.5651093,0.5651093,1.1988604462527854
39,27137,566,vividly conveys both the pitfalls and the pleasures of over-the-top love .,1,0.8338338338338338,68.77,5.0,13,74,1,1,0.5955734,0.5955734,1.2877345448779522
41,27306,544,"you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",0,0.1501501501501501,69.45,10.0,28,129,0,0,0.41857257,0.41857257,1.5440743420236667
43,143103,9048,"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",-1,0.8908908908908909,72.16,11.0,19,98,-1,-1,0.45360005,0.45360005,1.3581141451772851
44,143545,8695,"after seeing swept away , i feel sorry for madonna .",-1,0.8168168168168168,79.26,5.0,9,52,-1,-1,0.96447027,0.96447027,0.24738500448058984
47,143936,8229,aspires for the piquant but only really achieves a sort of ridiculous sourness .,-1,0.8638638638638638,66.74,7.0,13,80,-1,-1,0.87150323,0.87150323,0.632919114859026
49,144655,8557,"credit must be given to harland williams , michael rosenbaum and barry watson , who inject far more good-natured spirit and talent into this project than it deserves",1,0.5175175175175175,53.55,13.0,27,165,1,1,0.85931706,0.85931706,0.6754889485311918
50,144659,8871,creepy but ultimately unsatisfying thriller .,-1,0.8288288288288288,-1.29,15.0,5,45,-1,-1,0.59331876,0.59331876,1.3032792827675126
52,146095,8804,i loved looking at this movie .,1,0.9569569569569568,99.23,3.0,6,31,1,1,0.9655383,0.9655383,0.24200607509220462
53,146138,8671,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,-1,0.8748748748748749,64.71,8.0,15,86,-1,-1,0.6585104,0.6585104,1.1930528501071247
54,146415,8683,"it 's a flashy , star-splashed reduction .",0,0.2032032032032032,73.85,9.0,7,42,0,0,0.59728694,0.59728694,1.3751708685419057
56,146495,8797,it 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,-1,0.4764764764764764,76.56,8.0,21,107,-1,-1,0.86809546,0.86809546,0.658272840244884
