sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,entailment,0.4196234949697167,neutral,0.4827390592870494,neutral,0.7623617649078369,contradiction,0.8160973352349222,contradiction,0.935590769670521,contradiction,0.8382804503582395
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,neutral,0.3789314105366744,neutral,0.5957040529415606,entailment,0.93353670835495,entailment,0.9001068286660795,entailment,0.7310358777992743,entailment,0.8853633572159673
2,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,contradiction,0.4153859405481654,entailment,0.504205788462152,entailment,0.9373283386230468,entailment,0.9761168129479396,entailment,0.9949186668737672,entailment,0.9508700102354144
3,A group of dancers are performing.,The audience is silent.,neutral,contradiction,0.3618866212723818,contradiction,0.8861769467734905,contradiction,0.989513337612152,neutral,0.636805640402527,neutral,0.9993030302363396,neutral,0.8648925281473899
4,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,0.3776845974737745,neutral,0.7922851432389809,neutral,0.983799695968628,neutral,0.9769715614242296,neutral,0.9990665189048086,neutral,0.5649948822927329
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,contradiction,0.3791272259160728,neutral,0.3725748224791144,contradiction,0.8481274247169495,contradiction,0.5769181023457439,neutral,0.9991195083604524,neutral,0.7881269191402251
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,contradiction,0.433035912747264,neutral,0.4467343358754767,contradiction,0.6917175650596619,neutral,0.7706969278520771,neutral,0.9990945325832452,neutral,0.6908904810644831
7,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,contradiction,0.4157654365857648,entailment,0.5455633219529233,entailment,0.9873722791671752,entailment,0.9735850535397108,entailment,0.9912875681284332,entailment,0.9723643807574208
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,entailment,0.3722826388508659,contradiction,0.6570734732660176,neutral,0.7463839054107666,neutral,0.9218872617904452,neutral,0.9991682651233657,neutral,0.7492323439099283
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,contradiction,0.4336268829723138,entailment,0.549809933520116,entailment,0.9417433142662048,entailment,0.9664324146509412,neutral,0.9405866712950384,entailment,0.962128966223132
10,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,entailment,0.3518893161722761,neutral,0.7280607252254306,neutral,0.966587483882904,neutral,0.8397766144048637,neutral,0.9994123465359728,neutral,0.7758444216990789
11,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,neutral,0.3805542964700781,contradiction,0.9429438917750238,contradiction,0.9964852333068848,contradiction,0.9900725245422756,neutral,0.7598706177475927,neutral,0.5578300921187308
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,entailment,0.3899258621208017,neutral,0.7208061808730675,neutral,0.9238505363464355,contradiction,0.6011217194828403,neutral,0.9995785812418398,neutral,0.7533265097236438
13,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,neutral,0.4006499789773942,entailment,0.4638484067416698,contradiction,0.999901294708252,contradiction,0.9976592074784838,neutral,0.9988643401502924,contradiction,0.7001023541453428
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.3375034397231642,entailment,0.5436117068568813,contradiction,0.9811890125274658,contradiction,0.9384673259123169,neutral,0.964091405387418,neutral,0.5087001023541453
15,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,contradiction,0.3733950353306456,entailment,0.4370024896997451,neutral,0.9987714886665344,neutral,0.996098728225114,neutral,0.9993701460913036,neutral,0.8188331627430911
16,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,contradiction,0.3828607571972213,entailment,0.6388914238425555,entailment,0.9882026314735411,entailment,0.9864750093758496,entailment,0.7946662609616286,entailment,0.977482088024565
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,entailment,0.3490103652053744,contradiction,0.8520685396218712,neutral,0.6207069754600525,neutral,0.7693063241933547,neutral,0.9988765608308188,neutral,0.8536335721596725
