sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,prob_0_no_cal,prob_1_no_cal,prob_2_no_cal,pred_label,confidence,prob_0_with_cal,prob_1_with_cal,prob_2_with_cal,entropy_with_cal
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,0.002023930661380291,0.9429366588592529,0.05503937602043152,contradiction,0.8340252712795055,0.0044426311206433025,0.8340252712795055,0.16153209759985118,0.6779417723156593
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.9258924722671509,0.0009161178604699671,0.07319138199090958,entailment,0.8965405214494213,0.8965405214494213,0.0019076354742143147,0.10155184307636426,0.4935836789545096
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9831142425537109,0.0003768097376450896,0.016509007662534714,entailment,0.97564396277864,0.97564396277864,0.0005711128169000471,0.023784924404459964,0.1691513684414923
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.002088247099891305,0.2527822256088257,0.7451295256614685,neutral,0.6787298641483587,0.004102861705703129,0.3171672741459381,0.6787298641483587,0.9374497136417415
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.005250540096312761,0.005114634055644274,0.9896348118782043,neutral,0.9776161579268979,0.009077146402337694,0.01330669567076462,0.9776161579268979,0.17642753090644905
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.03517507389187813,0.870911717414856,0.09391316771507263,contradiction,0.5475119356220612,0.05784673741112898,0.5475119356220612,0.3946413269668097,1.2430187103166253
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,0.015453945845365524,0.19405753910541534,0.7904885411262512,neutral,0.7832230148747681,0.021989584876194443,0.1947874002490375,0.7832230148747681,0.8568910772576008
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9818534255027771,0.00037653668550774455,0.017769990488886833,entailment,0.9723884700048044,0.9723884700048044,0.0006008600791710051,0.027010669916024695,0.18644396166762167
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.0076204645447432995,0.03691725432872772,0.9554622769355774,neutral,0.9318862996718003,0.012936924481766043,0.05517677584643375,0.9318862996718003,0.4066146203231129
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9750165939331055,0.0005184225155971944,0.02446497604250908,entailment,0.9651475381219694,0.9651475381219694,0.000876001517703037,0.03397646036032738,0.22407429445331248
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186925978517,0.7766393442622951,86.2,6.0,21,111,0.00397299462929368,0.15064333379268646,0.8453837037086487,neutral,0.857841007914701,0.007590670362677258,0.1345683217226216,0.857841007914701,0.6326052991737493
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146263317,0.4252049180327868,78.75,6.0,19,108,0.0006788898608647287,0.9949971437454224,0.004323972854763269,contradiction,0.9899577475130303,0.001410160398619623,0.9899577475130303,0.00863209208834979,0.08695129312158567
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076001311,0.7540983606557377,92.12,6.0,26,134,0.0025537502951920033,0.8374032378196716,0.16004300117492676,contradiction,0.6071998645212406,0.004499077415635232,0.6071998645212406,0.3883010580631238,1.0020464539759126
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779346956,0.7008196721311475,84.17,5.0,25,130,0.00026374045410193503,0.9992146492004395,0.0005216486169956625,contradiction,0.997852098801991,0.0006372672985407217,0.997852098801991,0.0015106338994684296,0.024016138714855504
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355265525,0.4702868852459016,99.06,3.0,29,134,0.0015845183515921235,0.9803596138954163,0.0180558729916811,contradiction,0.9341993895482965,0.003466112909190586,0.9341993895482965,0.06233449754251273,0.3696392629082478
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.61501394452806,0.819672131147541,83.15,6.0,27,140,0.0014032113831490278,0.0010153764160349965,0.9975813627243042,neutral,0.9961813597452631,0.002080959097620941,0.0017376811571163928,0.9961813597452631,0.03996903937226117
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98274862480943,0.9784836065573772,88.74,3.0,16,76,0.9893386960029602,0.00040026698843576014,0.010260950773954391,entailment,0.9859564910481292,0.9859564910481292,0.0005257480280685961,0.013517760923802453,0.10977649563290287
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.88410835880238,0.8545081967213115,90.77,2.0,12,58,0.1157904863357544,0.004979299381375313,0.8792302012443542,neutral,0.7703610159449693,0.07700263592156852,0.1526363481334619,0.7703610159449693,0.9887113305792176
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.07720861227919,0.8760245901639344,90.26,3.0,13,67,0.0009375076042488217,0.0011987840989604592,0.9978637099266052,neutral,0.9962178781641426,0.0012833515541301166,0.002498770281727169,0.9962178781641426,0.03937460698778274
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.0384307516550445,0.4918032786885246,82.31,3.0,12,64,0.0018389112083241343,0.33183449506759644,0.6663265824317932,neutral,0.6896068195143122,0.003185439582103014,0.30720774090358455,0.6896068195143122,0.9192432328020148
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229378915494,0.3299180327868852,84.17,5.0,25,130,0.9848985075950623,0.002743192482739687,0.012358413077890873,entailment,0.9657464650576395,0.9657464650576395,0.01275570521490459,0.021497829727456046,0.24791998925887238
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.93676687534496,0.860655737704918,85.69,6.0,22,104,0.9802582263946533,0.0005824707914143801,0.01915920339524746,entailment,0.9681080139943298,0.9681080139943298,0.0014555256974373878,0.030436460308233125,0.21232661073854012
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.1234469428653,0.7407786885245902,79.77,4.0,17,91,0.9484458565711975,0.0027229641564190388,0.04883120208978653,entailment,0.9324915311691312,0.9324915311691312,0.00552636205162884,0.061982106779239834,0.38414727262574155
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234344364,0.6198770491803278,88.23,6.0,17,78,0.39270898699760437,0.007192469201982021,0.6000985503196716,entailment,0.5129388334643761,0.5129388334643761,0.01050728651940257,0.4765538800162213,1.0726650632354986
