model_1,model_2,contradiction_KL,contradiction_JSD,contradiction_MSE,neutral_KL,neutral_JSD,neutral_MSE,entailment_KL,entailment_JSD,entailment_MSE
davinci,lstm,0.9896097,0.5159074265289278,0.202278602021687,0.9896097,0.5159074265289278,0.202278602021687,0.9896097,0.5159074265289278,0.202278602021687
davinci,roberta,1.7993313,0.38420269865800005,0.22592721447154251,1.7993313,0.38420269865800005,0.22592721447154251,1.7993313,0.38420269865800005,0.22592721447154251
davinci,tf-idf,1.073438,0.48659646230992315,0.2094839936256672,1.073438,0.48659646230992315,0.2094839936256672,1.073438,0.48659646230992315,0.2094839936256672
davinci,random,0.9700522,0.5222682369142022,0.1942158515557464,0.9700522,0.5222682369142022,0.1942158515557464,0.9700522,0.5222682369142022,0.1942158515557464
lstm,davinci,4.2731915,0.5159074265289278,0.202278602021687,4.2731915,0.5159074265289278,0.202278602021687,4.2731915,0.5159074265289278,0.202278602021687
lstm,roberta,2.415047,0.47918133840419214,0.18173757344925323,2.415047,0.47918133840419214,0.18173757344925323,2.415047,0.47918133840419214,0.18173757344925323
lstm,tf-idf,0.4828562,0.2737969109389184,0.08188300562815402,0.4828562,0.2737969109389184,0.08188300562815402,0.4828562,0.2737969109389184,0.08188300562815402
lstm,random,0.08760004,0.13154288927463637,0.018354890248907157,0.08760004,0.13154288927463637,0.018354890248907157,0.08760004,0.13154288927463637,0.018354890248907157
roberta,davinci,2.6419024,0.38420269865800005,0.22592721447154251,2.6419024,0.38420269865800005,0.22592721447154251,2.6419024,0.38420269865800005,0.22592721447154251
roberta,lstm,0.8801545,0.47918133840419214,0.18173757344925323,0.8801545,0.47918133840419214,0.18173757344925323,0.8801545,0.47918133840419214,0.18173757344925323
roberta,tf-idf,0.72615033,0.41026245550241836,0.15034684417570396,0.72615033,0.41026245550241836,0.15034684417570396,0.72615033,0.41026245550241836,0.15034684417570396
roberta,random,0.88053334,0.4906914528364968,0.17959191147453543,0.88053334,0.4906914528364968,0.17959191147453543,0.88053334,0.4906914528364968,0.17959191147453543
tf-idf,davinci,3.9232798,0.48659646230992315,0.2094839936256672,3.9232798,0.48659646230992315,0.2094839936256672,3.9232798,0.48659646230992315,0.2094839936256672
tf-idf,lstm,0.3642871,0.2737969109389184,0.08188300562815402,0.3642871,0.2737969109389184,0.08188300562815402,0.3642871,0.2737969109389184,0.08188300562815402
tf-idf,roberta,1.9221882,0.41026245550241836,0.15034684417570396,1.9221882,0.41026245550241836,0.15034684417570396,1.9221882,0.41026245550241836,0.15034684417570396
tf-idf,random,0.26837802,0.2323020283412316,0.05637057819274377,0.26837802,0.2323020283412316,0.05637057819274377,0.26837802,0.2323020283412316,0.05637057819274377
random,davinci,4.3090873,0.5222682369142022,0.1942158515557464,4.3090873,0.5222682369142022,0.1942158515557464,4.3090873,0.5222682369142022,0.1942158515557464
random,lstm,0.0646821,0.13154288927463637,0.018354890248907157,0.0646821,0.13154288927463637,0.018354890248907157,0.0646821,0.13154288927463637,0.018354890248907157
random,roberta,2.489099,0.4906914528364968,0.17959191147453543,2.489099,0.4906914528364968,0.17959191147453543,2.489099,0.4906914528364968,0.17959191147453543
random,tf-idf,0.34808844,0.2323020283412316,0.05637057819274377,0.34808844,0.2323020283412316,0.05637057819274377,0.34808844,0.2323020283412316,0.05637057819274377
