sample_id,pid,qid,aid,gold_label,agg_human_score,agg_human_pred,pred_conf,gold_conf,entropy,pred_label
0,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,0,0,1,0.75,1,0.985415244102478,0.0145847296342253,0.1098451911909247,0
1,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,0,1,0,0.0,0,0.9882899045944212,0.9882899045944212,0.0919278756794302,0
2,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,0,2,0,0.0,0,0.7204172074794769,0.279582767188549,0.8548816882078841,1
3,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,0,3,1,0.75,1,0.9887066781520844,0.0112933432101272,0.0892501755044361,0
4,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,0,4,0,0.0,0,0.9690682232379914,0.9690682232379914,0.1990433121092833,0
5,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,1,0,0,0.0,0,0.9882949829101564,0.9882949829101564,0.0918953573350306,0
6,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,1,1,0,0.0,0,0.9830162227153778,0.9830162227153778,0.124152602434375,0
7,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,1,2,0,0.0,0,0.9852785587310792,0.9852785587310792,0.1106752425971949,0
8,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,1,3,1,1.0,1,0.7035893142223358,0.7035893142223358,0.8768589974375116,1
9,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,2,0,1,0.75,1,0.8689924001693725,0.1310075987130403,0.5601950676188059,0
10,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,2,1,0,0.25,0,0.8669607162475585,0.8669607162475585,0.5657149548239188,0
11,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,2,2,0,0.0,0,0.7721880972385406,0.7721880972385406,0.7741774149521895,0
12,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,2,3,0,0.0,0,0.938198071718216,0.938198071718216,0.3345567593651017,0
13,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,3,0,0,0.5,0,0.9439403235912324,0.9439403235912324,0.3116004258669468,0
14,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,3,1,0,0.0,0,0.986053466796875,0.986053466796875,0.1059453753558032,0
15,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,3,2,1,1.0,1,0.6828270584344864,0.6828270584344864,0.9012806018174618,1
16,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,3,3,0,0.0,0,0.8272959649562835,0.8272959649562835,0.6638532559840516,0
17,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,3,4,0,0.0,0,0.9628125488758088,0.9628125488758088,0.2292446816287626,0
18,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,4,0,1,0.5,0,0.7041172236204147,0.7041172236204147,0.8761996478061047,1
19,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,4,1,0,0.0,0,0.9890147805213928,0.9890147805213928,0.0872559136022615,0
20,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,4,2,0,0.0,0,0.9769997477531434,0.9769997477531434,0.1579697321768768,0
21,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,4,3,0,0.0,0,0.9770280957221984,0.9770280957221984,0.15781658625904,0
22,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,4,4,1,1.0,1,0.8456983804702759,0.1543016269803047,0.6205012482449482,0
23,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,5,0,0,0.0,0,0.9799481570720672,0.9799481570720672,0.1417314788277821,0
24,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,5,1,0,0.0,0,0.9890373229980468,0.9890373229980468,0.0871095966152597,0
25,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,5,2,0,0.0,0,0.9718984842300415,0.9718984842300415,0.1847798060443701,0
26,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,5,3,1,1.0,1,0.8618399441242218,0.8618399441242218,0.5793998435225929,1
27,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,6,0,0,0.0,0,0.982506674528122,0.982506674528122,0.1271248607302631,0
28,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,6,1,0,0.0,0,0.982224029302597,0.982224029302597,0.1287641946890924,0
29,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,6,2,0,0.0,0,0.9874911725521088,0.9874911725521088,0.0970002069407713,0
30,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,6,3,1,1.0,1,0.5182946413755417,0.5182946413755417,0.999034061935257,1
31,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,7,0,0,0.0,0,0.9817503929138184,0.9817503929138184,0.1314963599148843,0
32,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,7,1,0,0.0,0,0.9922590374946594,0.9922590374946594,0.0654138522444384,0
33,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,7,2,0,0.0,0,0.989501529932022,0.989501529932022,0.0840797788998117,0
34,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,7,3,1,1.0,1,0.7306960791349411,0.7306960791349411,0.8404640259583515,1
35,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,8,0,0,0.0,0,0.9804383397102356,0.9804383397102356,0.1389722672889791,0
36,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,8,1,0,0.0,0,0.9854094445705414,0.9854094445705414,0.1098805473167772,0
37,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,8,2,0,0.0,0,0.9848937809467316,0.9848937809467316,0.1130013094185105,0
38,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,8,3,1,1.0,1,0.6370159149169922,0.6370159149169922,0.945132353819772,1
39,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,9,0,0,0.0,0,0.9813718795776368,0.9813718795776368,0.1336669394591507,0
40,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,9,1,0,0.0,0,0.9847009479999542,0.9847009479999542,0.11416179890052,0
41,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,9,2,0,0.0,0,0.9858791947364808,0.9858791947364808,0.1070144280634288,0
42,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,9,3,0,0.75,1,0.5082532070577145,0.4917467892169952,0.999803451407199,1
43,News/CNN/cnn-3b5bbf3ba31e4775140f05a8b59db55b22ee3e63.txt,9,4,0,1.0,1,0.8789135038852691,0.8789135038852691,0.532475966463894,0
