sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,ternary_labels,sentence,pred_label,softmax_entropy
0,13788,65,"a pleasant enough movie , held together by skilled ensemble actors .",4,1,0.8928928928928929,61.33,8.0,10,68,2,a pleasant enough movie held together by skilled ensemble actors .,1,1.036273207606612
1,13813,22,"a thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14.0,6,58,2,a thoughtful provocative insistently humanizing film .,1,0.9181069378951664
2,14082,121,"hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.4084084084084084,92.12,4.0,14,66,1,hip hop has a history and it 's a metaphor for this love story .,0,1.3700004681176918
3,14371,8,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.4214214214214214,69.11,8.0,19,108,2,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.9606905301794012
4,14493,79,"the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.9049049049049048,66.07,12.0,22,128,2,the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing or rolling your eyes .,1,0.546882214025143
5,14548,40,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.8088088088088088,48.81,10.0,41,220,2,though it is by no means his best work laissez passer is a distinguished and distinctive effort by a bona fide master a fascinating film replete with rewards to be had by all willing to make the effort to reap them .,1,0.989072913042616
6,14633,23,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.8528528528528528,54.9,10.0,33,188,2,with a cast that includes some of the top actors working in independent film lovely amazing involves us because it is so incisive so bleakly amusing about how we go about our lives .,1,0.1520767339170064
7,14635,223,"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.4934934934934935,46.1,13.0,25,143,2,with the film 's striking ending one realizes that we have a long way to go before we fully understand all the sexual permutations involved .,1,0.9815884860510428
9,18675,226,an unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12.0,8,62,2,an unabashedly schmaltzy and thoroughly enjoyable true story .,1,0.4691392625204444
10,18959,386,"if no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.6266266266266266,65.05,9.0,24,131,2,if no one singles out any of these performances as award worthy it 's only because we would expect nothing less from this bunch .,1,1.4760665544623828
11,19365,291,this is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998998999,61.67,9.0,19,103,2,this is such a dazzlingly self assured directorial debut that it 's hard to know what to praise first .,1,1.3126089116201929
12,24277,556,"a bowel-curdling , heart-stopping recipe for terror .",4,1,0.7437437437437437,31.55,0.0,8,53,2,a bowel curdling heart stopping recipe for terror .,1,1.4003271148489105
15,24617,998,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",5,1,0.951951951951952,62.68,10.0,17,100,2,an endlessly fascinating landmark movie that is as bold as anything the cinema has seen in years .,1,0.7081457022076254
16,24626,1038,an excellent romp that boasts both a heart and a mind .,5,1,0.95995995995996,94.15,3.0,11,55,2,an excellent romp that boasts both a heart and a mind .,1,1.1982858522162527
18,24868,662,both deeply weird and charmingly dear .,4,1,0.8508508508508509,90.77,0.0,6,39,2,both deeply weird and charmingly dear .,1,1.386531870475252
21,25110,952,"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",5,1,0.9109109109109108,64.2,9.0,31,186,2,despite what anyone believes about the goal of its makers the show ... represents a spectacular piece of theater and there 's no denying the talent of the creative forces behind it .,1,1.112934474228709
25,25372,758,"from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score , haynes gets just about everything right .",4,1,0.934934934934935,57.61,11.0,22,138,2,from the big giant titles of the opening credits to elmer bernstein 's perfectly melodic score haynes gets just about everything right .,1,1.272608842717219
28,26302,522,one scarcely needs the subtitles to enjoy this colorful action farce .,4,1,0.7977977977977978,60.31,8.0,11,70,2,one scarcely needs the subtitles to enjoy this colorful action farce .,1,0.6454113326784223
29,26419,475,"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum .",5,1,0.9209209209209208,24.78,15.0,21,136,2,ranging from funny to shattering and featuring some of the year 's best acting personal velocity gathers plenty of dramatic momentum .,1,1.4901679279545772
30,26559,585,several degrees shy of the gross-out contests one expects from current teen fare .,3,0,0.2882882882882883,66.74,12.0,14,82,1,several degrees shy of the gross out contests one expects from current teen fare .,0,0.4018144180657367
34,26707,818,"the 3d images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",5,1,0.6686686686686687,30.54,17.0,35,209,2,the 3d images only enhance the film 's otherworldly quality giving it a strange combo of you are there closeness with the disorienting unreality of the seemingly broken down fourth wall of the movie screen .,1,1.0843414986095128
36,26811,510,"the film delivers not just the full assault of reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.7937937937937938,57.95,10.0,30,168,2,the film delivers not just the full assault of reno 's immense wit and insight but a time travel back to what it felt like during those unforgettably uncertain days .,1,0.9698580653836432
38,27092,490,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996996997,31.89,12.0,16,106,2,two generations within one family test boundaries in this intelligent and restrained coming of age drama .,1,0.6109337986773042
56,146495,8797,it 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,1,-1,0.4764764764764764,76.56,8.0,21,107,0,it 's hard not to feel you 've just watched a feature length video game with some really heavy back story .,-1,1.2635291046562425
57,146607,8396,all this turns out to be neither funny nor provocative - only dull .,2,-1,0.8468468468468469,84.68,6.0,12,68,0,all this turns out to be neither funny nor provocative only dull .,-1,1.4322811474139188
58,147211,7998,"literally nothing in the pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",3,0,0.2922922922922923,68.44,11.0,28,139,1,literally nothing in the pool is new but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .,0,1.3283552991678895
59,147390,8815,"maybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this .",2,-1,0.8688688688688688,81.97,8.0,23,108,0,maybe it 's asking too much but if a movie is truly going to inspire me i want a little more than this .,-1,1.1802558790303994
60,147407,7918,"meandering , sub-aquatic mess : it 's so bad it 's good , but only if you slide in on a freebie .",1,-1,0.7337337337337337,69.11,9.0,20,97,0,meandering sub aquatic mess it 's so bad it 's good but only if you slide in on a freebie .,-1,0.4412047224800764
61,147497,8284,morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,3,0,0.3603603603603603,57.61,9.0,23,126,1,morrissette 's script and direction show a fair amount of intelligence and wit but it does n't signify a whole lot either .,0,1.3709051828525556
66,149110,8826,"the irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",1,-1,0.91991991991992,31.89,14.0,14,100,0,the irwins emerge unscathed but the fictional footage is unconvincing and criminally badly acted .,-1,0.2232070169895241
68,149771,8980,the problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,2,-1,0.915915915915916,75.54,10.0,21,108,0,the problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,-1,1.338426259237114
70,149900,9066,"the stupidest , most insulting movie of 2002 's first quarter .",1,-1,0.968968968968969,69.79,10.0,10,63,0,the stupidest most insulting movie of 2002 's first quarter .,-1,1.3658155282829216
72,150181,8384,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,2,-1,0.914914914914915,52.53,10.0,28,158,0,this film 's relationship to actual tension is the same as what christmas tree flocking in a spray can is to actual snow a poor if durable imitation .,-1,1.2066665667927974
73,150208,8192,this ill-fitting tuxedo is strictly off-the-rack .,3,0,0.1841841841841842,48.47,8.0,9,50,1,this ill fitting tuxedo is strictly off the rack .,0,1.359284401125081
74,150282,8687,this one does .,3,0,0.8028028028028028,119.19,1.0,3,15,1,this one does .,0,0.5915030268001733
