sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,gold_label,pred_confidence,gold_confidence,entropy,predicted
14371,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.421421421421421,69.11,8,19,108,2,0.611909472915542,0.117659333557463,1.30706967689152,0
13813,22,"A thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14,6,58,2,0.979941714150555,0.979941714150555,0.15566749701994,2
14633,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.852852852852853,54.9,10,33,188,2,0.997795676034709,0.997795676034709,0.022957995715392,2
14548,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.808808808808809,48.81,10,41,220,2,0.973642154743899,0.973642154743899,0.192415375069712,2
13788,65,"A pleasant enough movie , held together by skilled ensemble actors .",4,1,0.892892892892893,61.33,8,10,68,2,0.991473825939175,0.991473825939175,0.072439033317466,2
14493,79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.904904904904905,66.07,12,22,128,2,0.638778531713684,0.638778531713684,1.22298792578629,2
223837,80,I loved it !,5,1,0.988988988988989,119.19,1,3,12,2,0.981741085626991,0.981741085626991,0.134219749490979,2
14082,121,"Hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.408408408408408,92.12,4,14,66,1,0.838410825115555,0.156179318606764,0.672282011123727,2
14635,223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.493493493493493,46.1,13,25,143,2,0.898278096090972,0.898278096090972,0.552078406984994,2
18675,226,An unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12,8,62,2,0.996969405378708,0.996969405378708,0.03023487478239,2
227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',3,0,0.373373373373373,62.68,9,17,109,1,0.927386433729006,0.062632239512286,0.417539593811559,2
19365,291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998999,61.67,9,19,103,2,0.934444177632978,0.934444177632978,0.389328377975365,2
18959,386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.626626626626627,65.05,9,24,131,2,0.448656176623965,0.221003144394418,1.52797894283853,0
18575,415,"A deceivingly simple film , one that grows in power in retrospect .",4,1,0.886886886886887,60.31,8,11,67,2,0.671313779210557,0.671313779210557,1.19497400402077,2
230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",4,1,0.863863863863864,87.05,12,18,115,2,0.76257062618897,0.093357436744136,1.02029404650572,0
26419,475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",5,1,0.920920920920921,24.78,15,21,136,2,0.963608766005934,0.963608766005934,0.227316250314978,2
27092,490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996997,31.89,12,16,106,2,0.942087560773927,0.942087560773927,0.326507316979719,2
222459,496,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",4,1,0.507507507507508,64.04,10,25,139,2,0.428689741738016,0.428689741738016,1.54765279657035,2
26811,510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.793793793793794,57.95,10,30,168,2,0.933318052661481,0.933318052661481,0.367646103606044,2
27204,511,What might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.393393393393393,59.3,8,12,82,2,0.747682008043885,0.747682008043885,0.995424774600994,2
