snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,c,n,e,pred,entropy,pred_label,,
1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.759822475,0.839139344,78.75,6,19,101,0.438016082,0.482838918,0.079145001,1,1.318439928,neutral,,
3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.179086983,0.886270492,94.15,5,22,118,0.100154467,0.595840734,0.304004799,1,1.299806521,neutral,,
4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.137177933,0.951844262,81.29,3,14,76,0.221419071,0.274377151,0.504203778,2,1.491657008,entailment,,
507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.982104903,0.865778689,83.32,3,10,58,0.885944947,0.092930801,0.021124252,0,0.590878745,contradiction,,
3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871834,0.56557377,93.14,4,24,118,0.185055702,0.792391693,0.022552605,1,0.83981243,neutral,,
3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.408478626,0.788934426,79.77,4,17,93,0.29673519,0.372877972,0.330386839,1,1.578675092,neutral,,
6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262,0.289959016,87.21,4,19,95,0.186169404,0.446551656,0.367278941,1,1.501640734,neutral,,
3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.761473099,0.973360656,86.2,4,21,113,0.212405575,0.24170202,0.545892406,2,1.446657752,entailment,,
358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515876,0.75,103.12,2,21,99,0.65703402,0.161028941,0.181937039,0,1.269674677,contradiction,,"contra, neeutral,entail"
4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383,0.963114754,96.18,4,18,83,0.216995511,0.232912118,0.550092371,2,1.442249048,entailment,,
2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186926,0.776639344,86.2,6,21,111,0.258232054,0.728096039,0.013671907,1,0.922381446,neutral,,
5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146,0.425204918,78.75,6,19,108,0.942897255,0.026958786,0.030143959,0,0.3728094,contradiction,,
4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076,0.754098361,92.12,6,26,134,0.177075844,0.720702166,0.10222199,1,1.119140487,neutral,,
