sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,prob_0_no_cal,prob_1_no_cal,prob_2_no_cal,pred_label,prob_0_with_cal,prob_1_with_cal,prob_2_with_cal,entropy_with_cal
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.759822475,0.839139344,78.75,6,19,101,0.00709723,0.625340641,0.367562085,neutral,0.01488849,0.436588699,0.548522812,1.087604034
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.179086983,0.886270492,94.15,5,22,118,0.93779844,0.000572242,0.061629318,entailment,0.916311782,0.002419924,0.081268294,0.430854233
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.137177933,0.951844262,81.29,3,14,76,0.964939177,0.000751983,0.034308832,entailment,0.941097118,0.003566508,0.055336374,0.342489871
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.982104903,0.865778689,83.32,3,10,58,0.001043179,0.96976757,0.029189175,contradiction,0.001407946,0.964486211,0.034105843,0.229877479
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871834,0.56557377,93.14,4,24,118,0.015124793,0.00190405,0.982971132,neutral,0.015145353,0.003077621,0.981777026,0.143282128
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.408478626,0.788934426,79.77,4,17,93,0.002344135,0.975035667,0.02262024,contradiction,0.013481108,0.839567161,0.14695173,0.702119552
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262,0.289959016,87.21,4,19,95,0.019085201,0.404753536,0.576161325,neutral,0.019996255,0.466429158,0.513574587,1.119786579
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.761473099,0.973360656,86.2,4,21,113,0.985294104,0.000872493,0.013833431,entailment,0.983123978,0.001306524,0.015569498,0.130153834
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515876,0.75,103.12,2,21,99,0.011928237,0.064355992,0.923715711,neutral,0.027556622,0.163186652,0.809256726,0.816673526
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383,0.963114754,96.18,4,18,83,0.941182077,0.00054944,0.058268502,entailment,0.928621582,0.00071509,0.070663328,0.37682225
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186926,0.776639344,86.2,6,21,111,0.052608669,0.016194215,0.931197107,neutral,0.038547597,0.050820402,0.910632001,0.522505137
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146,0.425204918,78.75,6,19,108,0.000182695,0.991213024,0.008604329,contradiction,0.001042466,0.964555086,0.034402448,0.227787648
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076,0.754098361,92.12,6,26,134,0.02312067,0.100577496,0.876301825,neutral,0.012093802,0.068762071,0.919144127,0.454410307
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779,0.700819672,84.17,5,25,130,0.000130629,0.999204576,0.000664793,contradiction,0.008595965,0.985060615,0.00634342,0.126688044
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355,0.470286885,99.06,3,29,134,0.001033843,0.98777163,0.01119452,contradiction,0.00313915,0.972700847,0.024160002,0.1947142
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.615013945,0.819672131,83.15,6,27,140,0.000920907,0.000455488,0.99862361,neutral,0.002291975,0.001188754,0.996519271,0.03666198
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.982748625,0.978483607,88.74,3,16,76,0.987488508,0.001006615,0.011504864,entailment,0.981325686,0.001981286,0.016693029,0.143044688
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.884108359,0.854508197,90.77,2,12,58,0.00325276,0.559339881,0.437407285,contradiction,0.005418536,0.598178272,0.396403192,1.013433321
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.077208612,0.87602459,90.26,3,13,67,0.000180301,0.000170966,0.99964869,neutral,0.003945577,0.00329477,0.992759653,0.069082679
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.038430752,0.491803279,82.31,3,12,64,0.002235967,0.070275769,0.927488208,neutral,0.00200934,0.086071359,0.911919301,0.443855337
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229379,0.329918033,84.17,5,25,130,0.997554243,0.000349638,0.002096196,entailment,0.992266384,0.002615342,0.005118274,0.072501165
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.936766875,0.860655738,85.69,6,22,104,0.976346493,0.004078823,0.019574687,entailment,0.962543137,0.01108163,0.026375233,0.263326135
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.123446943,0.740778689,79.77,4,17,91,0.824463546,0.015894018,0.159642488,entailment,0.752337701,0.039858786,0.207803513,0.965202254
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234,0.619877049,88.23,6,17,78,0.69316262,0.040185697,0.26665163,entailment,0.572973675,0.147617817,0.279408507,1.381781726
