"sstb_id","zuco_id","content","control_id","sstb_label","mean_of_fixations","max_of_fixations","min_of_fixations","median_of_fixations","mean_of_trts","max_of_trts","min_of_trts","median_of_trts","mean_of_omissionRates","max_of_omissionRates","min_of_omissionRates","median_of_omissionRates","mean_of_pupilSizes","max_of_pupilSizes","min_of_pupilSizes","median_of_pupilSizes","mean_of_trts_per_fix","max_of_trts_per_fix","min_of_trts_per_fix","median_of_trts_per_fix","mean_of_trts_per_word","max_of_trts_per_word","min_of_trts_per_word","median_of_trts_per_word","zab_item_accuracy","zdm_item_accuracy","zgw_item_accuracy","zjm_item_accuracy","zjn_item_accuracy","zjs_item_accuracy","zkb_item_accuracy","zkh_item_accuracy","zkw_item_accuracy","zmg_item_accuracy","zph_item_accuracy","average_item_accuracy","item_difficulty_1PL_model","item_difficulty_4PL_model","number_of_words","number_of_characters"
"38","383","Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days","","1","17.454545454545","24","9","18","2107.4545454545","3364","905","2084","0.2969696969697","0.53333333333333","0.066666666666667","0.26666666666667","863.04280618372","1773.2142857143","359.44444444444","923.2380952381","118.26108487472","141.16666666667","98.5","123.33333333333","140.49696969697","224.26666666667","60.333333333333","138.93333333333","","","","","","","","","","","","","","","15","111"
"81","359","Gollum's `performance' is incredible!","","1","5.3636363636364","10","0","5","728.63636363636","1210","0","702","0.20454545454545","1","0","0","781.90340909091","1730.8333333333","0","798","127.5158008658","192.66666666667","0","132.16666666667","182.15909090909","302.5","0","175.5","","","","","","","","","","","","","","","4","37"
"86","206","It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured.","","1","17.727272727273","36","11","15","1874.3636363636","4277","1007","1533","0.33766233766234","0.52380952380952","0.14285714285714","0.33333333333333","816.12168740351","1214.34375","240.68888888889","841.78125","104.81916702482","119.33333333333","88.823529411765","106.08333333333","89.255411255411","203.66666666667","47.952380952381","73","","","","","","","","","","","","","","","21","120"
"94","255","The movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.","","1","19.727272727273","27","14","19","2297.2727272727","2980","1615","2153","0.36796536796537","0.61904761904762","0.23809523809524","0.33333333333333","734.12141273079","1060.5555555556","236.24479166667","750.76851851852","117.00761219519","134.5625","103.42105263158","114.61538461538","109.39393939394","141.90476190476","76.904761904762","102.52380952381","","","","","","","","","","","","","","","21","122"
"105","189","... a roller-coaster ride of a movie","25","1","7.3636363636364","18","4","6","1010.6363636364","2556","539","860","0.45454545454545","0.57142857142857","0.28571428571429","0.42857142857143","760.84823232323","1143.5","259.25","754.1","136.53358585859","177.8","99.555555555556","134.75","144.37662337662","365.14285714286","77","122.85714285714","1","0","1","1","1","1","1","0","0","1","0","0.63636363636364","-1.56538558","0.36599898338318","7","36"
"139","396","A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.","","1","16.909090909091","28","7","18","2021.4545454545","3647","823","2105","0.46181818181818","0.76","0.2","0.4","809.05256238859","1596.1875","354.6","774.93333333333","116.63357210229","141.36363636364","82.3","118.71428571429","80.858181818182","145.88","32.92","84.2","","","","","","","","","","","","","","","25","116"
"155","93","It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.","","1","18.454545454545","25","11","18","2159.6363636364","3206","1237","2039","0.42424242424242","0.5","0.27777777777778","0.44444444444444","765.44329693875","1196.0555555556","236.8","779.37878787879","117.00801474211","139.39130434783","97.095238095238","115.35294117647","119.9797979798","178.11111111111","68.722222222222","113.27777777778","","","","","","","","","","","","","","","18","93"
"219","299","It won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.","","0","20.272727272727","28","13","21","2300.0909090909","3578","1350","2263","0.42307692307692","0.53846153846154","0.34615384615385","0.42307692307692","838.67798157725","1576.8333333333","360.35897435897","815.97058823529","112.99053123441","149.05555555556","90.529411764706","108.89473684211","88.465034965035","137.61538461538","51.923076923077","87.038461538462","","","","","","","","","","","","","","","26","135"
"252","347","Remarkably accessible and affecting.","","1","8.3636363636364","21","4","7","1224.6363636364","3492","608","977","0.15909090909091","0.25","0","0.25","869.63472222222","1743.1041666667","357.33333333333","878.08333333333","147.30833333333","170.71428571429","110.26666666667","152","306.15909090909","873","152","244.25","","","","","","","","","","","","","","","4","36"
"262","50","I like the new footage and still love the old stuff.","","1","11.636363636364","21","5","10","1481.2727272727","2724","629","1328","0.37190082644628","0.63636363636364","0.090909090909091","0.36363636363636","837.31900252525","1288.2777777778","277.83333333333","915.85714285714","125.79467746501","135.09090909091","103.5","126","134.66115702479","247.63636363636","57.181818181818","120.72727272727","","","","","","","","","","","","","","","11","52"
"290","381","It's solid and affecting and exactly as thought-provoking as it should be.","41","1","13.454545454545","31","4","12","1625.6363636364","4331","489","1386","0.46969696969697","0.91666666666667","0.25","0.33333333333333","943.20140392015","1702.28125","359.3","969.62291666667","117.60704254201","152.75","88.75","115.5","135.4696969697","360.91666666667","40.75","115.5","1","1","1","0","0","0","1","1","1","1","1","0.72727272727273","-1.256895781","0.20086397230625","12","74"
"342","178","This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.","","1","36.181818181818","61","18","36","4287.6363636364","7520","1885","3931","0.22895622895623","0.40740740740741","0.037037037037037","0.22222222222222","805.56638694242","1076.2058823529","288.44545454545","825.28333333333","117.30492533853","137.25","101.75","111.42105263158","158.80134680135","278.51851851852","69.814814814815","145.59259259259","","","","","","","","","","","","","","","27","165"
"344","336","Girls gone wild and gone civil again","","0","10.181818181818","17","6","9","1281.1818181818","2249","746","1095","0.19480519480519","0.42857142857143","0.14285714285714","0.14285714285714","850.7303030303","1770","341.5","826.91666666667","125.91608271408","151.2","108.75","121.66666666667","183.02597402597","321.28571428571","106.57142857143","156.42857142857","","","","","","","","","","","","","","","7","36"
"349","162","... always remains movingly genuine.","21","1","10.181818181818","15","5","11","1388.0909090909","1960","644","1395","0.21818181818182","0.4","0.2","0.2","797.72487373737","1117.875","265.79166666667","824.95833333333","138.42551236642","172.85714285714","107.30769230769","136.81818181818","277.61818181818","392","128.8","279","1","1","1","1","0","1","1","1","0","1","1","0.81818181818182","-4.062618732","0.64718240499496","5","36"
