snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters
2498700986.jpg#4r1n,A woman in a dress at a crosswalk.,Women walking to work,neutral,-2.16245051734779,0.8718209562563581,90.77,2.0,12,56
2229737667.jpg#4r1e,Man in uniform waiting on a wall.,"Near a wall, a man in uniform is waiting.",entailment,-1.09185196677322,0.7232960325534079,88.74,3.0,16,75
7017792809.jpg#1r1c,"A basketball player wearing white dribbles the ball, while being guarded by another player in a black uniform.",People don't play ball.,contradiction,-2.95357123604121,0.9338758901322483,68.77,6.0,22,134
6275746867.jpg#3r1c,A person in SCUBA gear poses in front of a vast expanse of water.,A person is diving under water.,contradiction,0.157354613666549,0.46795523906408953,69.79,4.0,20,97
3139393607.jpg#4r1n,The snowboarder is ready to jump.,The snowboarder is competing in a snowboarding competition.,neutral,-2.11320476270836,0.866734486266531,47.45,9.0,14,93
241347243.jpg#3r1n,Football players stand at the line of scrimmage.,The players are in uniform,neutral,-0.732475412393246,0.6561546286876907,81.8,3.0,13,75
4852920753.jpg#4r1c,A man looks over a food selection at a counter.,The man is looking at pet kittens.,contradiction,-2.36541324171749,0.8911495422177009,96.69,2.0,17,82
4937650592.jpg#3r1n,A motocross biker rides mid-turn in the middle of a race.,A motocross racer turns his gsxr during a race.,neutral,-0.753196593685485,0.6602238046795524,78.25,4.0,20,105
374104006.jpg#0r1e,A man with a beer in his hand and people behind him.,A man holds a beer.,entailment,-3.91879177133645,0.9725330620549338,105.15,0.0,17,72
3506096155.jpg#1r1e,a motorcycle rider is slightly airborne on a motocross circuit,The motorcyclist is riding.,entailment,-2.50959278481154,0.9033570701932858,31.89,12.0,14,90
218442982.jpg#0r1e,A man standing in a suit wearing glasses while holding a piece of paper inside a tent.,The man is inside.,entailment,-1.67979839661947,0.814852492370295,86.2,4.0,21,105
7471071992.jpg#0r1c,Concertgoers enjoy standing in front of the stage at a musical performance.,Concertgoers are at the back of the crowd.,contradiction,-0.114059020776601,0.5269582909460834,61.33,7.0,20,118
3052435954.jpg#1r1c,A just married Asian couple are wearing wedding attire and leaning against a lamp post on a boardwalk.,An Asian couple are wearing funeral attire.,contradiction,-2.00992023076129,0.8555442522889115,67.25,7.0,25,146
4369593809.jpg#0r1e,Two men are pushing a small boat with fishing poles out into the water from the beach.,Two men push a boat out into the water.,entailment,-3.7370172161808,0.9674465920651069,92.12,4.0,26,126
3671957239.jpg#3r1n,A street with many vendors selling products including melon.,A woman sell melons at a street stall.,neutral,-0.826647146363344,0.6744659206510681,71.31,6.0,17,99
3261666285.jpg#4r1n,Guy in black uniform dribbling basketball away from guy in white uniform,Basketball player in black moments away from winning 3-point shot,neutral,-2.4721711823017,0.9003051881993896,57.61,11.0,22,138
4078158395.jpg#2r1n,A man with white shorts plays in a skateboard.,Tony Hawk riding his skateboard.,neutral,-2.48453611078327,0.901322482197355,98.21,3.0,14,79
7436121372.jpg#2r1c,a beautiful sailboat out in the ocean.,The sailboat is parked in a garage.,contradiction,-3.27173802859197,0.9501525940996948,89.75,3.0,14,74
4692725862.jpg#0r1e,Two young child are swimming side by side with kickboards in a pool.,Children swimming.,entailment,-3.84256078626595,0.970498474059003,81.63,6.0,15,87
2248974479.jpg#1r1c,An older man with glasses lies on the floor playing with a toddler and her toy firetruck.,The guy who is wearing glasses is a monkey and is playing with a toddler monkey.,contradiction,-1.64987302412235,0.8107833163784334,80.11,7.0,33,170
2166278644.jpg#4r1c,A person is shoveling snow.,It rained today.,contradiction,-0.303037709928915,0.5676500508646999,75.88,2.0,8,44
1160441615.jpg#2r1e,Three women walk through a plant covered atrium hallway.,People stroll through the atrium.,entailment,-2.83601907796632,0.9267548321464903,81.29,3.0,14,90
4444360528.jpg#1r1n,A boy is standing in a swimsuit on the beach underneath a pier.,A boy is at the beach in June.,neutral,-2.41189467529689,0.8952187182095626,94.66,5.0,21,94
7754645524.jpg#4r1e,A group of people have gathered in a grassy field on a sunny day.,Some people are in a field,entailment,-4.00055545558886,0.9745676500508647,95.17,4.0,20,92
