sample_id,sst_phrase_id,sst_sentence_id,content,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,pred_label,gold_label,pred_confidence,gold_confidence,uncertainty
2,14082,121,"hip-hop has a history , and it 's a metaphor for this love story .",0,0.4084084084084084,92.12,4.0,14,66,1,0,0.7144263,0.26172993,0.9812688562944143
7,14635,223,"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",1,0.4934934934934935,46.1,13.0,25,143,0,1,0.4912089,0.4110189,1.3589730265356939
8,18575,415,"a deceivingly simple film , one that grows in power in retrospect .",1,0.8868868868868869,60.31,8.0,11,67,0,1,0.43423522,0.23558597,1.5417869727671913
12,24277,556,"a bowel-curdling , heart-stopping recipe for terror .",1,0.7437437437437437,31.55,0.0,8,53,-1,1,0.71796095,0.06714725,1.0815411051055137
18,24868,662,both deeply weird and charmingly dear .,1,0.8508508508508509,90.77,0.0,6,39,0,1,0.4677984,0.16263868,1.469613937384661
22,25152,676,do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,-1,0.937937937937938,62.01,9.0,32,147,0,-1,0.79646546,0.16368021,0.874156857458501
31,26591,655,skip work to see it at the first opportunity .,1,0.907907907907908,79.26,5.0,9,46,0,1,0.9316478,0.032310206,0.42794907367350005
32,26620,512,"sound the trumpets : for the first time since desperately seeking susan , madonna does n't suck as an actress .",1,0.8158158158158159,70.13,11.0,19,111,-1,1,0.5688786,0.12438167,1.3599571112639308
33,26650,1074,"still , it gets the job done -- a sleepy afternoon rental .",-1,0.2442442442442442,95.17,7.0,10,59,0,-1,0.576348,0.08949634,1.29825472363123
34,26707,818,"the 3d images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",1,0.6686686686686687,30.54,17.0,35,209,0,1,0.49507508,0.2022595,1.4903559049919701
40,27204,511,what might have been a predictably heartwarming tale is suffused with complexity .,1,0.3933933933933934,59.3,8.0,12,82,0,1,0.43617988,0.38056195,1.5011607150324262
