sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracyX,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,c,n,e,confidence,gold_conf,entropy,pred_label
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.759822475,0.8391393443,78.75,6,19,101,0.8866203718000001,0.111263637,0.002115991222,0.8866203718000001,0.111263637,0.5252041716,contradiction
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.179086983,0.8862704918000001,94.15,5,22,118,0.001483395152,0.08488949726,0.9136271076000001,0.9136271076000001,0.9136271076000001,0.43506534490000004,entailment
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.1371779330000003,0.9518442623000001,81.29,3,14,76,0.00074230492,0.027136238110000002,0.9721214570000001,0.9721214570000001,0.9721214570000001,0.1885781815,entailment
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.9821049030000002,0.8657786885,83.32,3,10,58,0.01897971586,0.9752365551000001,0.0057837290339999995,0.9752365551000001,0.01897971586,0.1868275905,neutral
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871834,0.5655737705,93.14,4,24,118,0.001707405114,0.9951125041,0.0031800908020000003,0.9951125041,0.001707405114,0.049116064529999996,neutral
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.408478626,0.7889344262000001,79.77,4,17,93,0.3288558748,0.603338395,0.06780573022999999,0.603338395,0.3288558748,1.230702525,neutral
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.9623492625,0.2899590164,87.21,4,19,95,0.8547268459999999,0.1377946775,0.007478476521,0.8547268459999999,0.1377946775,0.640397395,contradiction
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.761473099,0.9733606557,86.2,4,21,113,0.0004400746557,0.01615856594,0.9834013594,0.9834013594,0.9834013594,0.12482236890000001,entailment
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515876,0.75,103.12,2,21,99,0.012327813370000001,0.9823285356,0.005343651037,0.9823285356,0.012327813370000001,0.1437838323,neutral
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383,0.9631147540999999,96.18,4,18,83,0.0006277440817,0.024752763089999998,0.9746194928,0.9746194928,0.9746194928,0.1749126728,entailment
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186926,0.7766393443,86.2,6,21,111,0.239511915,0.7336354656999999,0.026852619249999998,0.7336354656999999,0.239511915,0.9618070832,neutral
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.3273211463,0.425204918,78.75,6,19,108,0.9997309324,0.0001620590601,0.00010700856740000001,0.9997309324,0.0001620590601,0.0038400886719999997,contradiction
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076,0.7540983606999999,92.12,6,26,134,0.6533723984,0.3440032803,0.002624321354,0.6533723984,0.3440032803,0.9532809562000001,contradiction
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.9113347793000001,0.7008196721,84.17,5,25,130,0.9997234754000001,0.00016371013159999998,0.00011281443459999998,0.9997234754000001,0.00016371013159999998,0.003937218684,contradiction
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.1311913553,0.47028688520000006,99.06,3,29,134,0.6499213046,0.3353537669,0.01472492855,0.6499213046,0.3353537669,1.022241482,contradiction
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.615013945,0.8196721311,83.15,6,27,140,0.001198293098,0.9974174845,0.001384222354,0.9974174845,0.001198293098,0.02849572244,neutral
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.982748625,0.9784836066,88.74,3,16,76,0.0004088370045,0.0140669321,0.9855242309000001,0.9855242309000001,0.9855242309000001,0.111867589,entailment
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.884108359,0.8545081967,90.77,2,12,58,0.1726122218,0.8169931445,0.01039463371,0.8169931445,0.1726122218,0.7441858842,neutral
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.0772086119999997,0.8760245902,90.26,3,13,67,0.001551459264,0.9971912626,0.001257278101,0.9971912626,0.001551459264,0.03063939773,neutral
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.038430751660000005,0.49180327869999996,82.31,3,12,64,0.024956936780000005,0.9739511773999999,0.001091885798,0.9739511773999999,0.024956936780000005,0.1807108567,neutral
