sample_id,content,pred_label,confidence
0,"A pleasant enough movie , held together by skilled ensemble actors .",0.0,0
1,"A thoughtful , provocative , insistently humanizing film .",1.0,0
2,"Hip-hop has a history , and it 's a metaphor for this love story .",0.0,0
3,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,-1.0,0
4,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",0.0,0
5,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1.0,0
6,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1.0,0
7,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",-1.0,0
8,"A deceivingly simple film , one that grows in power in retrospect .",1.0,0
9,An unabashedly schmaltzy and thoroughly enjoyable true story .,1.0,0
10,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",0.0,0
11,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,1.0,0
12,"A bowel-curdling , heart-stopping recipe for terror .",-1.0,0
13,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,1.0,0
14,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",1.0,0
15,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",1.0,0
16,An excellent romp that boasts both a heart and a mind .,1.0,0
17,An incredibly clever and superbly paced caper filled with scams within scams within scams .,1.0,0
18,Both deeply weird and charmingly dear .,1.0,0
19,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",1.0,0
20,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",-1.0,0
21,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",1.0,0
