sample_id,sst_phrase_id,sst_sentence_id,content,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,confidence,pred_label,gold_label,gold_confidence,uncertainty
0,13788,65,"a pleasant enough movie , held together by skilled ensemble actors .",1,0.8928928928928929,61.33,8.0,10,68,0.9042452,1,1,0.9042452,0.5089124003156047
1,13813,22,"a thoughtful , provocative , insistently humanizing film .",1,0.955955955955956,6.17,14.0,6,58,0.87218714,1,1,0.87218714,0.6163156947664169
2,14082,121,"hip-hop has a history , and it 's a metaphor for this love story .",0,0.4084084084084084,92.12,4.0,14,66,0.7144263,1,0,0.26172993,0.9812688562944143
3,14371,8,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.4214214214214214,69.11,8.0,19,108,0.71753687,1,1,0.71753687,1.0396002979788785
4,14493,79,"the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",1,0.9049049049049048,66.07,12.0,22,128,0.732151,1,1,0.732151,0.9749737753248828
5,14548,40,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,0.8088088088088088,48.81,10.0,41,220,0.7632074,1,1,0.7632074,0.9463317846501907
6,14633,23,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,0.8528528528528528,54.9,10.0,33,188,0.5048353,1,1,0.5048353,1.2983107899754114
7,14635,223,"with the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",1,0.4934934934934935,46.1,13.0,25,143,0.4912089,0,1,0.4110189,1.3589730265356939
8,18575,415,"a deceivingly simple film , one that grows in power in retrospect .",1,0.8868868868868869,60.31,8.0,11,67,0.43423522,0,1,0.23558597,1.5417869727671913
9,18675,226,an unabashedly schmaltzy and thoroughly enjoyable true story .,1,0.934934934934935,37.98,12.0,8,62,0.89755553,1,1,0.89755553,0.5419414104398308
10,18959,386,"if no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",1,0.6266266266266266,65.05,9.0,24,131,0.50607187,1,1,0.50607187,1.3739401606923316
11,19365,291,this is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,1,0.8998998998998999,61.67,9.0,19,103,0.5560084,1,1,0.5560084,1.3035127492160588
12,24277,556,"a bowel-curdling , heart-stopping recipe for terror .",1,0.7437437437437437,31.55,0.0,8,53,0.71796095,-1,1,0.06714725,1.0815411051055137
13,24441,933,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,1,0.918918918918919,27.83,15.0,18,120,0.7552539,1,1,0.7552539,0.9706626002243794
14,24480,970,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history .",1,0.94994994994995,53.55,10.0,26,150,0.96501595,1,1,0.96501595,0.24329117245511425
15,24617,998,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",1,0.951951951951952,62.68,10.0,17,100,0.88131815,1,1,0.88131815,0.5997634825081022
16,24626,1038,an excellent romp that boasts both a heart and a mind .,1,0.95995995995996,94.15,3.0,11,55,0.96256095,1,1,0.96256095,0.25743143552423486
