"","phrase_id","three_way_labels","five_way_labels","sentence_id","content"
"4","13788","1","4","65","A pleasant enough movie , held together by skilled ensemble actors ."
"1","13813","1","5","22","A thoughtful , provocative , insistently humanizing film ."
"7","14082","0","3","121","Hip-hop has a history , and it 's a metaphor for this love story ."
"0","14371","1","4","8","Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions ."
"5","14493","1","5","79","The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes ."
"3","14548","1","4","40","Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
"2","14633","1","5","23","With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
"8","14635","1","5","223","With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved ."
"13","18575","1","4","415","A deceivingly simple film , one that grows in power in retrospect ."
"9","18675","1","4","226","An unabashedly schmaltzy and thoroughly enjoyable true story ."
"12","18959","1","5","386","If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch ."
"11","19365","1","4","291","This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first ."
"23","24277","1","4","556","A bowel-curdling , heart-stopping recipe for terror ."
"42","24441","1","5","933","A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film ."
"44","24480","1","5","970","A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history ."
"47","24617","1","5","998","An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years ."
"48","24626","1","5","1038","An excellent romp that boasts both a heart and a mind ."
"38","24638","1","4","764","An incredibly clever and superbly paced caper filled with scams within scams within scams ."
"31","24868","1","4","662","Both deeply weird and charmingly dear ."
"29","25019","1","5","650","Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder ."
"45","25083","1","5","975","Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver ."
"43","25110","1","5","952","Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it ."
"33","25152","-1","1","676","Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?"
"50","25257","1","4","1097","Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting ."
"37","25296","0","3","761","Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card ."
"36","25372","1","4","758","From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right ."
"24","25454","1","5","563","Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill"
"41","25812","1","4","908","Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for ."
"21","26302","1","4","522","One scarcely needs the subtitles to enjoy this colorful action farce ."
"15","26419","1","5","475","Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum ."
"27","26559","0","3","585","Several degrees shy of the gross-out contests one expects from current teen fare ."
"30","26591","1","4","655","Skip work to see it at the first opportunity ."
"20","26620","1","4","512","Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress ."
"49","26650","-1","2","1074","Still , it gets the job done -- a sleepy afternoon rental ."
"40","26707","1","5","818","The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen ."
"28","26771","1","4","596","The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates ."
"18","26811","1","5","510","The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days ."
"46","26929","1","5","990","The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining ."
"16","27092","1","5","490","Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama ."
"25","27137","1","4","566","Vividly conveys both the pitfalls and the pleasures of over-the-top love ."
"19","27204","1","4","511","What might have been a predictably heartwarming tale is suffused with complexity ."
"22","27306","0","3","544","You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all ."
"35","32271","-1","2","725","has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill ."
"97","143103","-1","2","9048","A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience ."
