sample_id,paragraph,question,answer-option,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
1196,"<b>Sent 1: </b>(OPRAH.com) -- Chris Rock is an Emmy-winning comedian, devoted husband and loving father --but it's time to get to know a new side of this funnyman.<br><b>Sent 2: </b>Meet Chris Rock, hair expert.<br><b>Sent 3: </b>It's a detour he took after an innocent carpool ride left Rock with an idea he just couldn't shake.<br><b>Sent 4: </b>""I was with my daughter one day, and we're in the car and she's with one of her friends in the back seat, a little white friend,"" he says.<br><b>Sent 5: </b>""She was just kind of raving about her friend's hair a little too much for my comfort [saying]: 'You've got great hair.<br><b>Sent 6: </b>Oh, your hair's so good.'"" Not wanting to make her comments a big deal, Rock says he tried to play his them off.<br><b>Sent 7: </b>""[I said]: ""Oh, baby, your hair's beautiful.<br><b>Sent 8: </b>Come on,'"" he says.<br><b>Sent 9: </b>""If I would have really reacted, then she would have a complex about her hair.""<br><b>Sent 10: </b>Still, Rock couldn't let it go.<br><b>Sent 11: </b>""It sparked something in me,"" he says.<br><b>Sent 12: </b>Oprah.com: Oprah's hair throughout the years!<br><b>Sent 13: </b>What Rock discovered is a $9 billion industry that affects the daily activities, wallets, self-esteem -- and even the sex lives -- of black women.<br><b>Sent 14: </b>Because women spend so much time and money on their hair, Rock says men are forced to adopt a hands-off policy.<br><b>Sent 15: </b>""You cannot touch a black woman's hair.<br><b>Sent 16: </b>You are conditioned not to even go there,"" he says.<br><b>Sent 17: </b>""When I was a dating guy, I dated women from different races.<br><b>Sent 18: </b>Anytime I was with an Asian or a Puerto Rican girl or a white girl, my hands would constantly be in their hair.<br>",What is the $9 million industry that affects the lives of black women?,Hair products,1.0,0.0,1.0,1.0,0.5052511155605316,0.4947488844394684
1076,"<b>Sent 1: </b>The National Security Act of 1947 created the position of Director of Central Intelligence (DCI).<br><b>Sent 2: </b>Independent from the departments of Defense, State, Justice, and other policy departments, the DCI heads the U.S.intelligence community and provides intelligence to federal entities.<br><b>Sent 3: </b>The sole element of the intelligence community independent from a cabinet agency is the CIA.<br><b>Sent 4: </b>As an independent agency, it collects, analyzes, and disseminates intelligence from all sources.<br><b>Sent 5: </b>The CIA's number one customer is the president of the United States, who also has the authority to direct it to conduct covert operations.<br><b>Sent 6: </b>Although covert actions represent a very small fraction of the Agency's entire budget, these operations have at times been controversial and over time have dominated the public's perception of the CIA.<br><b>Sent 7: </b>The DCI is confirmed by the Senate but is not technically a member of the president's cabinet.<br><b>Sent 8: </b>The director's power under federal law over the loose, confederated ""intelligence community"" is limited.<br><b>Sent 9: </b>He or she states the community's priorities and coordinates development of intelligence agency budget requests for submission to Congress.<br><b>Sent 10: </b>This responsibility gives many the false impression that the DCI has line authority over the heads of these agencies and has the power to shift resources within these budgets as the need arises.<br><b>Sent 11: </b>Neither is true.<br><b>Sent 12: </b>In fact, the DCI's real authority has been directly proportional to his personal closeness to the president, which has waxed and waned over the years, and to others in government, especially the secretary of defense.<br><b>Sent 13: </b>Intelligence agencies under the Department of Defense account for approximately 80 percent of all U.S. spending for intelligence, including some that supports a national customer base and some that supports specific Defense Department or military service needs.<br><b>Sent 14: </b>As they are housed in the Defense Department, these agencies are keenly attentive to the military's strategic and tactical requirements.<br>",Who is the DCI confirmed by and how much power does he or she have?,DCI is confirmed by the president,1.0,0.0,1.0,1.0,0.5140342950820923,0.4859657049179077
3953,"<b>Sent 1: </b>In 1863, Alexander II re-convened the Diet of Finland and initiated several reforms increasing Finland's autonomy from Russia including establishment of its own currency, the markka.<br><b>Sent 2: </b>Liberation of business led to increased foreign investment and industrial development.<br><b>Sent 3: </b>Finland also got its first railways, separately established under Finnish administration.<br><b>Sent 4: </b>Finally, the elevation of Finnish from a language of the common people to a national language equal to Swedish opened opportunities for a larger proportion of the society.<br><b>Sent 5: </b>Alexander II is still regarded as ""The Good Tsar"" in Finland.<br><b>Sent 6: </b>These reforms could be seen as results of a genuine belief that reforms were easier to test in an underpopulated, homogeneous country, than in the whole of Russia.<br><b>Sent 7: </b>They may also be seen as a reward for the loyalty of its relatively western-oriented population during the Crimean War and during the Polish uprising.<br><b>Sent 8: </b>Encouraging Finnish nationalism and language can also be seen as an attempt to dilute ties with Sweden.<br>",What are some reforms that increased Finland's autonomy from Russia?,The elevation of Finnish from a language of the common people to a national language equal to Swedish,1.0,0.0,0.5,1.0,0.9678481101989748,0.46784811019897476
1290,"<b>Sent 1: </b>The film opens with Sunita , a medical student , and her friends working on a project about the human brain .<br> <b>Sent 2: </b>She wants to investigate the curious case of Sanjay Singhania , a notable city businessman , who is reported to have anterograde amnesia .<br> <b>Sent 3: </b>Her professor denies access to Sanjay's records as it is currently under criminal investigation .<br> <b>Sent 4: </b>Sunita , nonetheless , decides to investigate the matter herself .<br> <b>Sent 5: </b>Sanjay is introduced as he brutally murders a man .<br> <b>Sent 6: </b>He takes a Polaroid picture of the man , and writes on it `` done '' .<br> <b>Sent 7: </b>It is revealed that Sanjay has anterograde amnesia where he loses his memory every 15 minutes .<br> <b>Sent 8: </b>Sanjay uses a system of photographs , notes , and tattoos on his body to recover his memory after each cycle .<br> <b>Sent 9: </b>It is revealed that Sanjay is ultimately out to avenge the death of his sweetheart Kalpana , and that he is systematically killing the people who were responsible for it .<br> <b>Sent 10: </b>His main target is `` Ghajini '' , a notable social personality in the city .<br> <b>Sent 11: </b>Police Inspector Arjun Yadav , on the case of the serial murders , tracks Sanjay down to his flat and attacks and disables him .<br> <b>Sent 12: </b>Yadav finds two diaries where Sanjay has chronicled the events of 2005 and 2006 .<br> <b>Sent 13: </b>The film flashes back to 2005 as Yadav reads the diary .<br> <b>Sent 14: </b>Sanjay Singhania is shown as the owner of the Air Voice mobile telephone company .<br> <b>Sent 15: </b>In the course of his business , Sanjay sends his men to meet Kalpana , a struggling model , about putting up a billboard above her apartment .<br> <b>Sent 16: </b>The owner of Kalpana's advertising firm misinterprets this as a romantic advance , and in view of a possible lucrative Air Voice ad campaign and other benefits , encourages Kalpana to accept the overture .<br>","Who denies Sunita access to Sanjay's records, who is reported to have anterograde amnesia, because they are under criminal investigation?",Her professor denies access to Sanjay's records,1.0,0.0,1.0,1.0,0.5337727755308151,0.46622722446918485
234,"<b>Sent 1: </b>In many parts of the world, trees lose their leaves in autumn.<br><b>Sent 2: </b>The leaves turn color.<br><b>Sent 3: </b>Then fall from the trees to the ground.<br><b>Sent 4: </b>As the leaves are falling, they have kinetic energy.<br><b>Sent 5: </b>While they are still attached to the trees they also have energy.<br><b>Sent 6: </b>When they are attached they are not in motion, so how can they have energy?<br><b>Sent 7: </b>Instead of kinetic energy, they have stored energy.<br><b>Sent 8: </b>This stored energy is called potential energy.<br><b>Sent 9: </b>An object has potential energy because of its position.<br><b>Sent 10: </b>For example, leaves on trees have potential energy because they could fall.<br><b>Sent 11: </b>They fall because of the pull of gravity.<br><b>Sent 12: </b>Potential energy can be transferred into motion.<br><b>Sent 13: </b>Motion can also be turned back into potential energy.<br><b>Sent 14: </b>Objects have potential energy due to their position.<br><b>Sent 15: </b>A leaf on a tree branch has potential energy.<br><b>Sent 16: </b>The leafs energy can be turned into motion as it falls.<br><b>Sent 17: </b>Once the leaf is on the ground, it has no more potential unless it is lifted back up.<br>",What happens to trees in autumn?,Trees lose their leaves and their leaves change color,1.0,0.0,0.5,1.0,0.9606630742549896,0.46066307425498965
3945,"<b>Sent 1: </b>In 1863, Alexander II re-convened the Diet of Finland and initiated several reforms increasing Finland's autonomy from Russia including establishment of its own currency, the markka.<br><b>Sent 2: </b>Liberation of business led to increased foreign investment and industrial development.<br><b>Sent 3: </b>Finland also got its first railways, separately established under Finnish administration.<br><b>Sent 4: </b>Finally, the elevation of Finnish from a language of the common people to a national language equal to Swedish opened opportunities for a larger proportion of the society.<br><b>Sent 5: </b>Alexander II is still regarded as ""The Good Tsar"" in Finland.<br><b>Sent 6: </b>These reforms could be seen as results of a genuine belief that reforms were easier to test in an underpopulated, homogeneous country, than in the whole of Russia.<br><b>Sent 7: </b>They may also be seen as a reward for the loyalty of its relatively western-oriented population during the Crimean War and during the Polish uprising.<br><b>Sent 8: </b>Encouraging Finnish nationalism and language can also be seen as an attempt to dilute ties with Sweden.<br>",What are the three ways in which Finnish reform can be seen?,The elevation of Finnish from a language of the common people to a national language equal to Swedish,1.0,0.0,0.5,1.0,0.960035455226898,0.46003545522689804
4458,"<b>Sent 1: </b>Renewable resources can be renewed as they are used.<br><b>Sent 2: </b>An example is timber, which comes from trees.<br><b>Sent 3: </b>New trees can be planted to replace those that are cut down.<br><b>Sent 4: </b>Sunlight is a renewable resource.<br><b>Sent 5: </b>It seems we will never run out of that!<br><b>Sent 6: </b>Just because a resource is renewable, it doesnt mean we should use it carelessly.<br><b>Sent 7: </b>If we  aren't careful, we can pollute resources.<br><b>Sent 8: </b>Then they may no longer be fit for use.<br><b>Sent 9: </b>Water is one example.<br><b>Sent 10: </b>If we pollute a water source it may not be usable for drinking, bathing, or any other type of use.<br><b>Sent 11: </b>We can also overuse resources that should be renewable.<br><b>Sent 12: </b>In this case, the resources may not be able to recover.<br><b>Sent 13: </b>For example, fish are renewable resources.<br><b>Sent 14: </b>Thats because they can reproduce and make more fish.<br><b>Sent 15: </b>But water pollution and overfishing can cause them to die out if their population becomes too low.<br><b>Sent 16: </b>Figure 2.16 shows another example.<br>",How can we overuse resources that should be renewable?,Cause them to die out if their population becomes too low,1.0,0.0,0.5,1.0,0.9594315886497498,0.45943158864974976
2254,"<b>Sent 1: </b>He read the telegram again.<br> <b>Sent 2: </b>In desperation he went back to the long distance booth, but found the line still out of order, and a wire had come giving the details of the damage done by the storm.<br> <b>Sent 3: </b>It would be several days before communication could be established.<br> <b>Sent 4: </b>There was no help coming from headquarters, and from the wording of the telegram there seemed to be a reason for their not giving clear details.<br> <b>Sent 5: </b>He must get a copy of the paper.<br> <b>Sent 6: </b>Reluctantly he went to the printing office and made known his errand.<br> <b>Sent 7: </b>Mr. Driggs was delighted to give him the paper--he had it some place, though he very seldom opened any of his exchanges.<br> <b>Sent 8: </b>He evidently bore Mr. Steadman no ill-will for his plain talk two weeks ago.<br> <b>Sent 9: </b>With some difficulty he found it, with its wrapper still intact.<br> <b>Sent 10: </b>It was a loose wrapper, which slipped off and on easily.<br> <b>Sent 11: </b>Mr. Steadman remarked carelessly that there was an editorial in it to which his attention had been drawn, on hearing which Mr. Driggs turned his head and winked at an imaginary accomplice.<br>",What was Steadman's state of mind when he went to Driggs?,Careless,0.0,1.0,1.0,0.0,0.5448190540075302,0.45518094599246983
875,"<b>Sent 1: </b>Timothy likes to play sports.<br><b>Sent 2: </b>He spends his time after school playing basketball and baseball.<br><b>Sent 3: </b>Sometimes Timothy pretends he is a famous baseball pitcher for his favorite team with his friends.<br><b>Sent 4: </b>He plays with his friends Mandy and Andrew.<br><b>Sent 5: </b>Timothy also plays pretend when he is alone.<br><b>Sent 6: </b>He has an imaginary friend named Sean.<br><b>Sent 7: </b>Sean is an elephant who watches television with Timothy.<br><b>Sent 8: </b>Mandy likes playing baseball but she also likes to paint.<br><b>Sent 9: </b>Mandy's favorite class at school is art.<br><b>Sent 10: </b>She likes making pictures of flowers.<br><b>Sent 11: </b>Her teacher says she is a good artist.<br><b>Sent 12: </b>She painted a picture of a tree for her teacher.<br><b>Sent 13: </b>There were red and yellow leaves on it.<br><b>Sent 14: </b>It had apples on it.<br><b>Sent 15: </b>When Andrew goes home after baseball, he likes to eat a snack.<br><b>Sent 16: </b>He eats carrots and bananas.<br><b>Sent 17: </b>If he is a good boy his mom, Mrs. Smith, sometimes gives him milk and cookies.<br><b>Sent 18: </b>Afterwards, Andrew finishes his homework.<br>",Timothy likes to spend his time after school doing what and with who?,Playing basketball and baseball,1.0,0.0,0.5,1.0,0.9547645270824432,0.4547645270824432
210,"<b>Sent 1: </b>In many parts of the world, trees lose their leaves in autumn.<br><b>Sent 2: </b>The leaves turn color.<br><b>Sent 3: </b>Then fall from the trees to the ground.<br><b>Sent 4: </b>As the leaves are falling, they have kinetic energy.<br><b>Sent 5: </b>While they are still attached to the trees they also have energy.<br><b>Sent 6: </b>When they are attached they are not in motion, so how can they have energy?<br><b>Sent 7: </b>Instead of kinetic energy, they have stored energy.<br><b>Sent 8: </b>This stored energy is called potential energy.<br><b>Sent 9: </b>An object has potential energy because of its position.<br><b>Sent 10: </b>For example, leaves on trees have potential energy because they could fall.<br><b>Sent 11: </b>They fall because of the pull of gravity.<br><b>Sent 12: </b>Potential energy can be transferred into motion.<br><b>Sent 13: </b>Motion can also be turned back into potential energy.<br><b>Sent 14: </b>Objects have potential energy due to their position.<br><b>Sent 15: </b>A leaf on a tree branch has potential energy.<br><b>Sent 16: </b>The leafs energy can be turned into motion as it falls.<br><b>Sent 17: </b>Once the leaf is on the ground, it has no more potential unless it is lifted back up.<br>",What is an example of potential energy?,Leaves on trees have potential energy because they can fall from gravity,1.0,0.0,0.5,1.0,0.9538889288902282,0.45388892889022825
