pred,gold_label,word,sentence_1,sentence_2
F,T,reading,He bought some reading material at the airport .,The teacher assigned new readings .
F,F,square,Square the wood with a file .,He squared his shoulders .
F,T,blaze,The horse had a blaze between its eyes .,They chipped off bark to mark the trail with blazes .
F,F,skip,Skip town .,He skipped a row in the text and so the sentence was incomprehensible .
T,T,trim,Trim the christmas tree .,Trim a shop window .
T,T,bury,Bury a bone .,They buried the stolen goods .
T,T,trial,He had a fair trial and the jury found him guilty .,Most of these complaints are settled before they go to trial .
T,T,infamy,A date which will live in infamy - Franklin D. Roosevelt in response to the Japanese attack on Pearl Harbour .,"Infamy , infamy - they 've all got it in for me ! - Kenneth Williams as Julius Caesar in Carry On Cleo ."
T,T,swim,We had to swim for 20 minutes to reach the shore .,A big fish was swimming in the tank .
F,F,square,You can compute the area of a square if you know the length of its sides .,A checkerboard has 64 squares .
F,F,adhere,Will this wallpaper adhere to the wall ?,The residents of this village adhered to Catholicism .
F,T,voice,After the fire a still small voice . — 1 Kings 19:12 .,A singer takes good care of his voice .
F,T,confront,You must confront your opponent .,John confronted it with emergency measures .
T,T,miss,I miss you ! Come home soon !,He misses his mother .
F,F,converge,The lines converge at this point .,Social forces converged to bring the Fascists back to power .
F,F,test,The test was standardized on a large sample of students .,When the test was stolen the professor had to make a new set of questions .
F,F,hollow,He built himself a cabin in a hollow high up in the Appalachians .,Hunger had caused the hollows in their cheeks .
T,F,deify,These young men deify financial success .,The people deified their King .
T,F,school,The school was founded in 1900 .,When the school day was done we would walk home together .
F,F,umbrella,"Quick , grab that umbrella before you get rained on !",An air umbrella over England .
T,T,name,Name your accomplices !,He named his demands .
T,T,escape,Their escape route .,They installed a second hatch as an escape .
F,F,stay,"Some of her friends decided it was time to go home , but she wanted to stay on until sunrise .",To stay a flat sheet in a steam boiler .
F,T,penetration,The penetration of upper management by women .,"Any penetration , however slight , is sufficient to complete the offense ."
F,T,extension,Files with the .txt extension usually contain text .,Most applications provide extensions for the files they create .
F,F,bench,Injuries have shortened the bench .,"She placed the workpiece on the bench , inspected it closely , and opened the cover ."
F,F,impulse,He bought it on an impulse .,Profound religious impulses .
T,F,emphasis,His emphasis on civil rights .,He used a yellow highlighter to indicate where to give emphasis in his speech .
T,T,piracy,Air piracy .,How shoud the international community respond to Somali piracy ?
F,F,determination,The determination of molecular structures .,His determination showed in his every movement .
T,T,handcart,He used a handcart to carry the rocks away .,"Vendors were selling sunglasses , bagged snacks , and sundry other items from handcarts in the square ."
T,T,enterprise,A micro-enterprise is defined as a business having 5 or fewer employees and a low seed capital .,A growing enterprise must have a bold leader .
T,T,balance,To balance a set of books .,"This final payment , or credit , balances the account ."
T,T,cream,The cream of England 's young men were killed in the Great War .,The cream of a collection of books or pictures .
F,F,extent,The full extent of the law .,The extent of his knowledge of the language is a few scattered words .
T,T,buy,I 'm going to buy my father something nice for his birthday .,She buys for the big department store .
F,F,instill,Instill medication into my eye .,Her presence instilled faith into the children .
F,F,allowance,He objected to the allowance of smoking in the dining room .,A child 's allowance should not be too generous .
T,T,marmalade,Thick cut marmalade .,Lime marmalade .
T,T,inexperience,I failed to get the job due to inexperience .,Procedural inexperience created difficulties .
T,T,oxygenate,Oxygenate blood .,"After we oxygenated the river , the fish returned ."
F,F,plus,He is a real plus to the team .,A water molecule is made up of two hydrogen atoms plus one of oxygen .
F,F,lid,He raised the piano lid .,His lids would stay open no longer .
T,T,absorption,"The absorption of light , heat , electricity , etc .",The absorption of photons by atoms or molecules .
T,T,garden,Our garden is overgrown with weeds .,"This house has a swimming pool , a tent , a swing set and a fountain in the garden ."
T,T,draw,Draw water from a well .,She drew water from the barrel .
T,T,share,They share a language .,To share a shelter with another .
T,T,line,That salesman must have practiced his fast line of talk .,` let me show you my etchings ' is a rather worn line .
T,T,religion,Islam is a major religion in parts of Asia and Africa .,Eckankar is a new religion but Zoroastrianism is an old religion .
F,F,pitch,It is hard to get this pitch off of my hand .,He was employed to see that his paper 's news pitches were not trespassed upon by rival vendors .
T,T,purse,He and his wife shared a common purse .,He made the contribution out of his own purse .
T,T,haul,Haul vegetables to the market .,Haul stones from the quarry in a truck .
F,T,tighten,Please tighten that screw a quarter-turn .,Tighten the wire .
F,F,point,A point is defined by its coordinates .,The point of the arrow was due north .
