sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label,pred_label,uncertainty,confidence
0,13788,65,"A pleasant enough movie , held together by skilled ensemble actors .",4,1,0.8928928928928929,61.33,8.0,10,68,2,-1,1.526855294218026,0.446581992017106
2,14082,121,"Hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.4084084084084084,92.12,4.0,14,66,1,-1,1.4518172752260323,0.5417453191012649
4,14493,79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.9049049049049048,66.07,12.0,22,128,2,-1,1.44851873959572,0.5143121678640099
8,18575,415,"A deceivingly simple film , one that grows in power in retrospect .",4,1,0.8868868868868869,60.31,8.0,11,67,2,-1,1.5146497308202445,0.4688405945390936
9,18675,226,An unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12.0,8,62,2,-1,1.458902245265009,0.4446526991050342
11,19365,291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998998999,61.67,9.0,19,103,2,-1,1.497731675488778,0.479247488418924
12,24277,556,"A bowel-curdling , heart-stopping recipe for terror .",4,1,0.7437437437437437,31.55,0.0,8,53,2,-1,1.4694409022956478,0.4967554908609481
13,24441,933,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,5,1,0.918918918918919,27.83,15.0,18,120,2,-1,1.4756491312752245,0.506452829907525
14,24480,970,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",5,1,0.94994994994995,53.55,10.0,26,150,2,-1,1.5721587312534613,0.3967962941719397
16,24626,1038,An excellent romp that boasts both a heart and a mind .,5,1,0.95995995995996,94.15,3.0,11,55,2,-1,1.3882376723689325,0.5075306397789799
18,24868,662,Both deeply weird and charmingly dear .,4,1,0.8508508508508509,90.77,0.0,6,39,2,-1,1.5412428490688006,0.4156023752664035
19,25019,650,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",5,1,0.9039039039039038,61.67,12.0,18,113,2,-1,1.5406748987190524,0.4335861649936648
21,25110,952,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",5,1,0.9109109109109108,64.2,9.0,31,186,2,0,1.5360968624920823,0.4278116671313065
22,25152,676,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,1,-1,0.937937937937938,62.01,9.0,32,147,0,1,1.5728916989806163,0.3900863663984457
24,25296,761,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,3,0,0.2502502502502503,56.59,11.0,24,137,1,1,1.545197236913244,0.396550833823506
28,26302,522,One scarcely needs the subtitles to enjoy this colorful action farce .,4,1,0.7977977977977978,60.31,8.0,11,70,2,-1,1.4212959519578872,0.4397666540211048
30,26559,585,Several degrees shy of the gross-out contests one expects from current teen fare .,3,0,0.2882882882882883,66.74,12.0,14,82,1,-1,1.4542334216252877,0.5242604949373539
31,26591,655,Skip work to see it at the first opportunity .,4,1,0.907907907907908,79.26,5.0,9,46,2,-1,1.3629041621180111,0.5944078213498689
32,26620,512,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",4,1,0.8158158158158159,70.13,11.0,19,111,2,-1,1.4424410075759455,0.4892938621019139
33,26650,1074,"Still , it gets the job done -- a sleepy afternoon rental .",2,-1,0.2442442442442442,95.17,7.0,10,59,0,1,1.5336230750213768,0.4507418083235379
36,26811,510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.7937937937937938,57.95,10.0,30,168,2,-1,1.5228885763445856,0.4259349975480637
37,26929,990,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,5,1,0.905905905905906,31.21,15.0,23,151,2,-1,1.3395871331926277,0.5667744904191422
38,27092,490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996996997,31.89,12.0,16,106,2,-1,1.484894508684181,0.4980445831214549
39,27137,566,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,4,1,0.8338338338338338,68.77,5.0,13,74,2,-1,1.4006230933375197,0.463667013591748
40,27204,511,What might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.3933933933933934,59.3,8.0,12,82,2,-1,1.4919738009596015,0.4806219719516518
41,27306,544,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",3,0,0.1501501501501501,69.45,10.0,28,129,1,1,1.4797524145389502,0.4276164940591768
42,32271,725,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,2,-1,0.6986986986986987,84.68,5.0,25,142,0,1,1.501283732623246,0.4451218109555222
45,143603,8767,"All ends well , sort of , but the frenzied comic moments never click .",2,-1,0.7007007007007007,84.68,7.0,12,70,0,1,1.523173580022075,0.4730688459640144
46,143704,8134,An Afterschool Special without the courage of its convictions .,2,-1,0.7137137137137137,53.88,12.0,9,63,0,1,1.4995841654896211,0.4753274065925381
47,143936,8229,Aspires for the piquant but only really achieves a sort of ridiculous sourness .,2,-1,0.8638638638638638,66.74,7.0,13,80,0,1,1.4741235447575862,0.4761733514464468
50,144659,8871,Creepy but ultimately unsatisfying thriller .,2,-1,0.8288288288288288,-1.29,15.0,5,45,0,1,1.5021108187335392,0.4518432568848568
52,146095,8804,I loved looking at this movie .,4,1,0.9569569569569568,99.23,3.0,6,31,2,-1,1.4870798780288372,0.4653143263050822
53,146138,8671,I was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,2,-1,0.8748748748748749,64.71,8.0,15,86,0,1,1.518385613705511,0.4385011220874044
54,146415,8683,"It 's a flashy , star-splashed reduction .",3,0,0.2032032032032032,73.85,9.0,7,42,1,-1,1.4492962802720066,0.4833924222942782
55,146434,8381,It 's a worse sign when you begin to envy her condition .,3,0,0.2132132132132132,84.68,3.0,12,57,1,-1,1.4396043705845174,0.4596002406574597
56,146495,8797,It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,1,-1,0.4764764764764764,76.56,8.0,21,107,0,1,1.3215012584133083,0.5900060502899634
57,146607,8396,All this turns out to be neither funny nor provocative - only dull .,2,-1,0.8468468468468469,84.68,6.0,12,68,0,1,1.5723445572299872,0.396074230197747
58,147211,7998,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",3,0,0.2922922922922923,68.44,11.0,28,139,1,-1,1.4470612722460166,0.545734481376665
59,147390,8815,"Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this .",2,-1,0.8688688688688688,81.97,8.0,23,108,0,1,1.4528110735540545,0.4737635530257768
61,147497,8284,Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,3,0,0.3603603603603603,57.61,9.0,23,126,1,-1,1.5512784375465696,0.4271875769021934
62,147947,8504,"Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",1,-1,0.8978978978978979,73.51,10.0,24,120,0,1,1.4330806035730863,0.4954993990620245
