sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,ternary_labels,sentence,pred_label,softmax_entropy
8,18575,415,"a deceivingly simple film , one that grows in power in retrospect .",4,1,0.8868868868868869,60.31,8.0,11,67,2,a deceivingly simple film one that grows in power in retrospect .,0,1.3818881669193053
13,24441,933,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,5,1,0.918918918918919,27.83,15.0,18,120,2,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,0,1.542465100359543
14,24480,970,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history .",5,1,0.94994994994995,53.55,10.0,26,150,2,a stunning piece of visual poetry that will hopefully be remembered as one of the most important stories to be told in australia 's film history .,-1,1.3174726669779184
17,24638,764,an incredibly clever and superbly paced caper filled with scams within scams within scams .,4,1,0.8348348348348348,65.73,8.0,14,91,2,an incredibly clever and superbly paced caper filled with scams within scams within scams .,0,1.4634292692769837
19,25019,650,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",5,1,0.9039039039039038,61.67,12.0,18,113,2,compelling as it is exotic fast runner has a plot that rivals shakespeare for intrigue treachery and murder .,0,1.488344223924828
20,25083,975,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",5,1,0.8158158158158159,41.7,13.0,22,137,2,dazzling and sugar sweet a blast of shallow magnificence that only sex scandal and a chorus line of dangerous damsels can deliver .,-1,1.2471213578246525
22,25152,676,do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,1,-1,0.937937937937938,62.01,9.0,32,147,0,do we really need a 77 minute film to tell us exactly why a romantic relationship between a 15 year old boy and a 40 year old woman does n't work ?,0,1.5221149092309
23,25257,1097,"even when foreign directors ... borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .",4,1,0.7907907907907908,53.37,8.0,19,129,2,even when foreign directors ... borrow stuff from hollywood they invariably shake up the formula and make it more interesting .,-1,0.7813971548023908
24,25296,761,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made christmas card .,3,0,0.2502502502502503,56.59,11.0,24,137,1,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom made christmas card .,1,1.122169168658113
26,25454,563,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",5,1,0.9129129129129128,36.28,15.0,20,132,2,greengrass has delivered an undoubted stylistic tour de force and has managed elements such as sound and cinematography with skill,0,0.4146122490557163
