sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.3333333333333333,neutral,0.9319464664552076,neutral,0.54,neutral,0.973951177425102,neutral,0.998068077868568,neutral,0.5015353121801432
20,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,contradiction,0.3333333333333333,entailment,0.5977637279413535,entailment,0.57,entailment,0.987425558480607,entailment,0.995233977103308,neutral,0.6264073694984647
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,neutral,0.3333333333333333,contradiction,0.4392694971570496,entailment,0.38,neutral,0.685270882318269,neutral,0.9995293493507806,entailment,0.6192425793244627
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.3333333333333333,neutral,0.4414516247272341,neutral,0.45,neutral,0.874641512823065,contradiction,0.9432991730340892,contradiction,0.6980552712384852
32,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.3333333333333333,entailment,0.6648163042327481,contradiction,0.53,contradiction,0.999171150807776,neutral,0.9977339949744696,neutral,0.7379733879222109
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,entailment,0.3333333333333333,neutral,0.8096989096906817,contradiction,0.46,neutral,0.541163235830135,contradiction,0.9831534974409968,neutral,0.6653019447287615
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.3333333333333333,entailment,0.4873475612660072,entailment,0.39,entailment,0.78995088747597,neutral,0.9993780145631876,neutral,0.5005117707267144
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,contradiction,0.3333333333333333,neutral,0.4327643727554425,contradiction,0.39,neutral,0.741396481138377,neutral,0.964053734251757,entailment,0.5568065506653019
42,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,contradiction,0.3333333333333333,entailment,0.4155646644101849,contradiction,0.57,contradiction,0.999734221322118,neutral,0.9952705735247196,neutral,0.4882292732855681
43,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,entailment,0.3333333333333333,entailment,0.6973276187501578,contradiction,0.56,contradiction,0.998077722965512,neutral,0.9989488604346312,contradiction,0.5414534288638689
45,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.3333333333333333,entailment,0.4746595830373818,entailment,0.56,entailment,0.946422729947762,entailment,0.9955808781809822,entailment,0.8628454452405322
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,neutral,0.3333333333333333,contradiction,0.5306918606222765,entailment,0.46,neutral,0.895158476871392,neutral,0.9995096228242089,neutral,0.7993858751279427
50,A picture of two little boys holding books.,A picture of children with books.,entailment,entailment,0.3333333333333333,entailment,0.4407331359874586,entailment,0.56,entailment,0.983341454493439,neutral,0.934278504978356,entailment,0.9672466734902764
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,contradiction,0.3333333333333333,neutral,0.4827965279908501,entailment,0.5,entailment,0.919464490693714,neutral,0.9968868271037462,neutral,0.6704196519959058
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,neutral,0.3333333333333333,entailment,0.716452402814808,contradiction,0.57,contradiction,0.942601953696052,neutral,0.942988160095134,contradiction,0.5721596724667349
53,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,contradiction,0.3333333333333333,contradiction,0.6412951128939768,contradiction,0.57,contradiction,0.999650557056595,contradiction,0.5383904384517353,neutral,0.617195496417605
