sample_id,sentence,domain,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
5,"I know that Meg's attracted to Harry, but they don't know who.",out,0.0,0.0,1.0,0.0,0.5048615249991417,0.4951384750008583
96,John made Bill mad at himself.,out,1.0,1.0,1.0,1.0,0.5254478579759598,0.47455214202404017
179,"Suddenly, there arrived two inspectors from the INS.",in,1.0,1.0,1.0,1.0,0.527168734818697,0.47283126518130303
3,"She was bathing, but I couldn't make out who.",out,0.0,0.0,1.0,0.0,0.554916478395462,0.445083521604538
42,The only people being added to our group who were at Harvard were students.,out,1.0,1.0,1.0,1.0,0.559518628641963,0.440481371358037
125,The books lifted onto the table.,in,0.0,0.0,1.0,0.0,0.5749261743575335,0.42507382564246654
4,"John was tall, but I don't know on what occasions.",out,0.0,0.0,1.0,0.0,0.5802423971891403,0.4197576028108597
54,I was already aware of fact.,out,0.0,0.0,1.0,0.0,0.5879393261671066,0.41206067383289335
53,The bird sing.,out,0.0,0.0,1.0,0.0,0.6043982166051864,0.39560178339481356
30,I know the person whose mother died.,out,1.0,1.0,1.0,1.0,0.6240539392828941,0.3759460607171059
13,What did you leave before they started playing?,out,0.0,0.0,1.0,0.0,0.6337805530428886,0.3662194469571114
168,They realised that never had Sir Thomas been so offended.,in,1.0,1.0,0.6,1.0,0.9529748427867888,0.3529748427867888
127,Susan whispered the news.,in,1.0,1.0,1.0,1.0,0.6543541784584522,0.34564582154154777
49,I noticed the.,out,0.0,0.0,1.0,0.0,0.6802465659379959,0.31975343406200407
139,That Fred was unpopular nominated Bill.,in,0.0,0.0,1.0,0.0,0.681392578035593,0.31860742196440694
27,"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",out,0.0,0.0,1.0,0.0,0.6911087590456009,0.3088912409543991
18,The book was seen by Mary.,out,1.0,1.0,1.0,1.0,0.7082078671455383,0.2917921328544617
86,It was hated for John to leave.,out,0.0,0.0,1.0,0.0,0.711892529129982,0.288107470870018
93,I gave Pete the book to impress.,out,0.0,0.0,0.8,0.0,0.5166621811687946,0.28333781883120546
126,Lora buttered at the toast.,in,0.0,0.0,0.6,0.0,0.8779575049877166,0.27795750498771665
189,The Peter we all like was at the party,in,1.0,1.0,1.0,1.0,0.7274690818786621,0.2725309181213379
191,It's Anson that I like,in,1.0,1.0,1.0,1.0,0.7277096769213677,0.2722903230786323
11,She talked to John or Mary but I don't know which one.,out,1.0,1.0,1.0,1.0,0.7288441026210785,0.27115589737892154
177,Henri wants to buy which books about cooking?,in,1.0,1.0,1.0,1.0,0.7346615383028984,0.2653384616971016
95,I gave a book to Bill to read.,out,1.0,1.0,1.0,1.0,0.7386043605208397,0.26139563947916034
87,to die is no fun.,out,1.0,1.0,1.0,1.0,0.738852014541626,0.26114798545837403
163,John thinks that Mary loves himself.,in,0.0,0.0,1.0,0.0,0.7444767528772354,0.25552324712276464
1,"She mailed John a letter, but I don't know to whom.",out,0.0,0.0,1.0,0.0,0.7464202752709389,0.2535797247290611
36,A letter was received that Jones would be upset by.,out,1.0,1.0,1.0,1.0,0.7627543711662292,0.23724562883377076
122,We pulled free.,in,1.0,1.0,1.0,1.0,0.765086171478033,0.23491382852196696
198,The bookcase ran,in,0.0,0.0,0.8,0.0,0.569444803595543,0.2305551964044571
32,"Mary arranged for, in St. Louis, John to rent a house cheap.",out,0.0,0.0,0.6,0.0,0.8297113978862762,0.22971139788627626
10,She talked to John or Mary but I don't know which.,out,1.0,1.0,1.0,1.0,0.7736991661787033,0.22630083382129673
116,Here's a knife with which for you to cut up the onions.,in,0.0,0.0,0.6,0.0,0.819026939868927,0.21902693986892707
174,I want to try and buy some whiskey.,in,1.0,1.0,1.0,1.0,0.7821468752622605,0.21785312473773955
92,I bought it to read.,out,1.0,1.0,1.0,1.0,0.7834564524888993,0.21654354751110072
78,Of whom are you thinking?,out,1.0,1.0,1.0,1.0,0.7864299312233924,0.21357006877660756
153,"Because she's so pleasant, as for Mary I really like her.",in,0.0,0.0,1.0,0.0,0.7905185520648956,0.20948144793510437
113,I know a man who Tom drives as drives.,in,0.0,0.0,1.0,0.0,0.7960725009441376,0.20392749905586238
39,"Which book's, author did you meet who you liked?",out,0.0,0.0,0.6,0.0,0.8035933065414429,0.20359330654144292
