sample_id,snli_id,sentence_1,sentence_2,label,Sample_ID,c,n,e,confidence,Prob_Gold,Entropy,pred_label,Match,Match_INT
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,1947351225.jpg#0,0.25207305,0.516510349,0.2314166,0.516510349,0.25207305,1.482066178,neutral,FALSE,0
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,3626964430.jpg#0,0.228864921,0.233113488,0.538021591,0.538021591,0.538021591,1.457774955,entailment,TRUE,1
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,4576144189.jpg#3,0.219746274,0.236214893,0.544038833,0.544038833,0.544038833,1.449928763,entailment,TRUE,1
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,507370108.jpg#3,0.56723315,0.218498499,0.214268352,0.56723315,0.218498499,1.419654613,contradiction,FALSE,0
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,3361210233.jpg#0,0.215608773,0.568484414,0.215906813,0.568484414,0.568484414,1.417939992,neutral,TRUE,1
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,3512127856.jpg#2,0.373312796,0.398414959,0.228272245,0.398414959,0.398414959,1.546125926,neutral,TRUE,1
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,6775386430.jpg#1,0.344047447,0.409944721,0.246007832,0.409944721,0.344047447,1.554721576,neutral,FALSE,0
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,3433982387.jpg#1,0.214329739,0.217552283,0.568117979,0.568117979,0.568117979,1.41843457,entailment,TRUE,1
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,358127240.jpg#4,0.310129748,0.461533709,0.228336543,0.461533709,0.461533709,1.525195578,neutral,TRUE,1
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,4919196839.jpg#0,0.216025247,0.225387104,0.55858765,0.55858765,0.55858765,1.431342186,entailment,TRUE,1
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,2550027486.jpg#3,0.262389258,0.511629157,0.225981586,0.511629157,0.511629157,1.486020923,neutral,TRUE,1
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,5635975939.jpg#3,0.328956512,0.4145116,0.256531888,0.4145116,0.328956512,1.557818183,neutral,FALSE,0
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,4900546628.jpg#2,0.232564681,0.542780797,0.224654522,0.542780797,0.542780797,1.451833188,neutral,TRUE,1
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,7786624414.jpg#2,0.572120128,0.214441605,0.213438267,0.572120128,0.572120128,1.41281788,contradiction,TRUE,1
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,2731171552.jpg#1,0.550610258,0.230407884,0.218981858,0.550610258,0.550610258,1.441776852,contradiction,TRUE,1
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,2895548671.jpg#2,0.214617922,0.570454186,0.214927892,0.570454186,0.570454186,1.4151754,neutral,TRUE,1
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,4937760948.jpg#4,0.214598851,0.217349255,0.568051894,0.568051894,0.568051894,1.418531494,entailment,TRUE,1
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,75204250.jpg#2,0.311589891,0.462205055,0.226205054,0.462205055,0.462205055,1.523848965,neutral,TRUE,1
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,2916012955.jpg#4,0.219287455,0.561037168,0.219675377,0.561037168,0.561037168,1.428186101,neutral,TRUE,1
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,2496713113.jpg#3,0.240148737,0.540013114,0.219838149,0.540013114,0.240148737,1.45471517,neutral,FALSE,0
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,4351734575.jpg#0,0.214700496,0.216906613,0.568392892,0.568392892,0.568392892,1.418059903,entailment,TRUE,1
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,7067778185.jpg#2,0.215276361,0.218210262,0.566513376,0.566513376,0.566513376,1.420669332,entailment,TRUE,1
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,4923755473.jpg#1,0.240561433,0.279918523,0.479520044,0.479520044,0.479520044,1.517120577,entailment,TRUE,1
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,956164675.jpg#2,0.282709511,0.333840663,0.383449826,0.383449826,0.383449826,1.573930015,entailment,TRUE,1
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,3590653633.jpg#4,0.570978849,0.215617171,0.213403979,0.570978849,0.570978849,1.414427107,contradiction,TRUE,1
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,3469609037.jpg#1,0.215021233,0.569793721,0.215185046,0.569793721,0.569793721,1.416105024,neutral,TRUE,1
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,87938334.jpg#1,0.25203363,0.259760371,0.488206,0.488206,0.488206,1.511308459,entailment,TRUE,1
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,3309042087.jpg#4,0.296912781,0.476427951,0.226659268,0.476427951,0.476427951,1.515147733,neutral,TRUE,1
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,7060264119.jpg#2,0.300298858,0.263259591,0.436441551,0.436441551,0.300298858,1.550113521,entailment,FALSE,0
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,3386694897.jpg#3,0.221685115,0.239505878,0.538809007,0.538809007,0.538809007,1.456343971,entailment,TRUE,1
30,4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,4291704682.jpg#3,0.341912927,0.422425387,0.235661685,0.422425387,0.422425387,1.545960366,neutral,TRUE,1
31,2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,2178095150.jpg#2,0.316141285,0.448443305,0.235415411,0.448443305,0.316141285,1.535319967,neutral,FALSE,0
32,3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,3543378438.jpg#1,0.529177295,0.238431651,0.232391054,0.529177295,0.529177295,1.468309028,contradiction,TRUE,1
33,2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,2858757067.jpg#3,0.222266072,0.251438173,0.526295754,0.526295754,0.526295754,1.47041145,entailment,TRUE,1
34,4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,4573386995.jpg#1,0.471039391,0.299094492,0.229866117,0.471039391,0.471039391,1.519984781,contradiction,TRUE,1
35,4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,4829253619.jpg#4,0.461175388,0.30898023,0.229844382,0.461175388,0.461175388,1.526056681,contradiction,TRUE,1
36,3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,3163477256.jpg#4,0.215237331,0.220981643,0.563781026,0.563781026,0.563781026,1.424394542,entailment,TRUE,1
37,31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,31648340.jpg#1,0.259953863,0.349856482,0.390189655,0.390189655,0.349856482,1.565136433,entailment,FALSE,0
38,2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,2965189317.jpg#2,0.233226527,0.382431824,0.384341649,0.384341649,0.382431824,1.550363641,entailment,FALSE,0
39,3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,3600403707.jpg#2,0.345262793,0.397996465,0.256740742,0.397996465,0.397996465,1.562346302,neutral,TRUE,1
40,430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,430292291.jpg#2,0.559412856,0.224678983,0.215908161,0.559412856,0.559412856,1.430251981,contradiction,TRUE,1
41,2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,2983889345.jpg#4,0.388629365,0.305461321,0.305909314,0.388629365,0.305461321,1.575279729,contradiction,FALSE,0
42,2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,2760167.jpg#4,0.573313124,0.213861715,0.212825161,0.573313124,0.573313124,1.411120571,contradiction,TRUE,1
43,4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,4676792744.jpg#2,0.555139469,0.220393118,0.224467413,0.555139469,0.555139469,1.436043118,contradiction,TRUE,1
44,168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,168728234.jpg#2,0.231458607,0.340728813,0.42781258,0.42781258,0.42781258,1.541953516,entailment,TRUE,1
45,2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,2970162432.jpg#0,0.216297215,0.22387237,0.559830415,0.559830415,0.559830415,1.429721981,entailment,TRUE,1
46,218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,218854747.jpg#3,0.294395887,0.347999784,0.357604329,0.357604329,0.357604329,1.57984201,entailment,TRUE,1
47,2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,2979997455.jpg#0,0.218333213,0.55871093,0.222955856,0.55871093,0.55871093,1.431285294,neutral,TRUE,1
48,4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,4360937435.jpg#3,0.215574519,0.568005672,0.21641981,0.568005672,0.568005672,1.418607416,neutral,TRUE,1
49,2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,2959165388.jpg#4,0.243656165,0.293816056,0.462527779,0.462527779,0.293816056,1.530035159,entailment,FALSE,0
50,4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,4910374312.jpg#4,0.215032396,0.220353334,0.56461427,0.56461427,0.56461427,1.423258551,entailment,TRUE,1
51,4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,4520820052.jpg#1,0.248249039,0.25309249,0.498658472,0.498658472,0.248249039,1.501302581,entailment,FALSE,0
52,3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,3574847368.jpg#0,0.566039412,0.219053245,0.214907343,0.566039412,0.566039412,1.421311397,contradiction,TRUE,1
53,408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,408627152.jpg#3,0.573402136,0.213839845,0.212758019,0.573402136,0.573402136,1.410993441,contradiction,TRUE,1
54,3873342570.jpg#2r1c,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,3873342570.jpg#2,0.564877157,0.21783663,0.217286213,0.564877157,0.564877157,1.422943292,contradiction,TRUE,1
55,5975778602.jpg#1r1e,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,5975778602.jpg#1,0.216969419,0.22801701,0.555013571,0.555013571,0.555013571,1.436038242,entailment,TRUE,1
