sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,Unnamed: 10,confidence,gold_confidence,entropy,pred_label
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.76,0.84,78.75,6,19,101,1947351225.jpg#0,0.52,0.25,1.48,neutral
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.18,0.89,94.15,5,22,118,3626964430.jpg#0,0.54,0.54,1.46,entailment
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.14,0.95,81.29,3,14,76,4576144189.jpg#3,0.54,0.54,1.45,entailment
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98,0.87,83.32,3,10,58,507370108.jpg#3,0.57,0.22,1.42,contradiction
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.28,0.57,93.14,4,24,118,3361210233.jpg#0,0.57,0.57,1.42,neutral
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.41,0.79,79.77,4,17,93,3512127856.jpg#2,0.4,0.4,1.55,neutral
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.96,0.29,87.21,4,19,95,6775386430.jpg#1,0.41,0.34,1.55,neutral
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76,0.97,86.2,4,21,113,3433982387.jpg#1,0.57,0.57,1.42,entailment
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.18,0.75,103.12,2,21,99,358127240.jpg#4,0.46,0.46,1.53,neutral
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42,0.96,96.18,4,18,83,4919196839.jpg#0,0.56,0.56,1.43,entailment
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33,0.78,86.2,6,21,111,2550027486.jpg#3,0.51,0.51,1.49,neutral
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.33,0.43,78.75,6,19,108,5635975939.jpg#3,0.41,0.33,1.56,neutral
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.2,0.75,92.12,6,26,134,4900546628.jpg#2,0.54,0.54,1.45,neutral
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.91,0.7,84.17,5,25,130,7786624414.jpg#2,0.57,0.57,1.41,contradiction
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.13,0.47,99.06,3,29,134,2731171552.jpg#1,0.55,0.55,1.44,contradiction
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.62,0.82,83.15,6,27,140,2895548671.jpg#2,0.57,0.57,1.42,neutral
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98,0.98,88.74,3,16,76,4937760948.jpg#4,0.57,0.57,1.42,entailment
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.88,0.85,90.77,2,12,58,75204250.jpg#2,0.46,0.46,1.52,neutral
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.08,0.88,90.26,3,13,67,2916012955.jpg#4,0.56,0.56,1.43,neutral
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.04,0.49,82.31,3,12,64,2496713113.jpg#3,0.54,0.24,1.45,neutral
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.76,0.33,84.17,5,25,130,4351734575.jpg#0,0.57,0.57,1.42,entailment
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.94,0.86,85.69,6,22,104,7067778185.jpg#2,0.57,0.57,1.42,entailment
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.12,0.74,79.77,4,17,91,4923755473.jpg#1,0.48,0.48,1.52,entailment
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.52,0.62,88.23,6,17,78,956164675.jpg#2,0.38,0.38,1.57,entailment
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.62,0.36,90.26,3,13,73,3590653633.jpg#4,0.57,0.57,1.41,contradiction
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.62,0.82,87.55,6,35,179,3469609037.jpg#1,0.57,0.57,1.42,neutral
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.7,0.66,94.66,3,21,102,87938334.jpg#1,0.49,0.49,1.51,entailment
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.47,0.8,98.72,0,13,59,3309042087.jpg#4,0.48,0.48,1.52,neutral
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.05,0.49,94.15,5,22,113,7060264119.jpg#2,0.44,0.3,1.55,entailment
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.19,0.89,98.21,0,14,64,3386694897.jpg#3,0.54,0.54,1.46,entailment
30,4291704682.jpg#3r1n,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,-0.99,0.72,87.72,4,18,103,4291704682.jpg#3,0.42,0.42,1.55,neutral
31,2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,-0.9,0.7,90.77,2,12,68,2178095150.jpg#2,0.45,0.32,1.54,neutral
32,3543378438.jpg#1r1c,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,1.4,0.21,86.2,4,21,99,3543378438.jpg#1,0.53,0.53,1.47,contradiction
33,2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,0.26,0.44,102.61,5,22,111,2858757067.jpg#3,0.53,0.53,1.47,entailment
34,4573386995.jpg#1r1c,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,-0.07,0.52,77.74,5,21,115,4573386995.jpg#1,0.47,0.47,1.52,contradiction
35,4829253619.jpg#4r1c,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,0.82,0.32,88.23,4,17,79,4829253619.jpg#4,0.46,0.46,1.53,contradiction
36,3163477256.jpg#4r1n,Two soccer players are playing soccer.,Two people play a game.,entailment,-2.89,0.94,74.35,4,11,62,3163477256.jpg#4,0.56,0.56,1.42,entailment
37,31648340.jpg#1r1n,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,0,0.5,77.74,5,21,114,31648340.jpg#1,0.39,0.35,1.57,entailment
38,2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,-0.56,0.63,59.3,8,24,132,2965189317.jpg#2,0.38,0.38,1.55,entailment
39,3600403707.jpg#2r1c,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,-1.58,0.81,80.96,8,24,107,3600403707.jpg#2,0.4,0.4,1.56,neutral
40,430292291.jpg#2r1c,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,0.41,0.41,63.36,7,16,96,430292291.jpg#2,0.56,0.56,1.43,contradiction
41,2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,0.41,0.41,71.31,6,17,100,2983889345.jpg#4,0.39,0.31,1.58,contradiction
42,2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,0.06,0.49,74.86,2,10,63,2760167.jpg#4,0.57,0.57,1.41,contradiction
43,4676792744.jpg#2r1c,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,-0.18,0.54,87.21,4,19,99,4676792744.jpg#2,0.56,0.56,1.44,contradiction
44,168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,-1.12,0.74,88.23,4,17,85,168728234.jpg#2,0.43,0.43,1.54,entailment
45,2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,-1.96,0.86,84.68,6,24,120,2970162432.jpg#0,0.56,0.56,1.43,entailment
46,218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,0.62,0.36,96.69,5,17,96,218854747.jpg#3,0.36,0.36,1.58,entailment
47,2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,-1.73,0.84,98.21,3,14,74,2979997455.jpg#0,0.56,0.56,1.43,neutral
48,4360937435.jpg#3r1n,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,-0.16,0.54,103.12,1,21,93,4360937435.jpg#3,0.57,0.57,1.42,neutral
49,2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,-1.48,0.8,88.74,3,16,76,2959165388.jpg#4,0.46,0.29,1.53,entailment
50,4910374312.jpg#4r1e,A picture of two little boys holding books.,A picture of children with books.,entailment,-3.58,0.97,81.29,4,14,77,4910374312.jpg#4,0.56,0.56,1.42,entailment
51,4520820052.jpg#1r1c,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,1.27,0.23,72.66,6,31,158,4520820052.jpg#1,0.5,0.25,1.5,entailment
52,3574847368.jpg#0r1c,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,-0.31,0.57,88.57,7,33,154,3574847368.jpg#0,0.57,0.57,1.42,contradiction
53,408627152.jpg#3r1c,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,0.57,0.37,88.74,6,16,73,408627152.jpg#3,0.57,0.57,1.41,contradiction
