model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE
random_noisy,tfidf,0.3555783,0.22933074056704403,0.057657791699925666,0.16,0.22427568,0.16627280359425012,0.03249028641630147
random_noisy,lstm_calibrated,1.1703174,0.38261740183019627,0.12180566537176558,0.32,0.81561303,0.32600739359094877,0.08947889598564968
random_noisy,roberta_calibrated,1.3360895,0.41300654637028217,0.13321708769363474,0.2,1.0899054,0.3818460348476126,0.11425425653013137
random_noisy,davinci,4.308724,0.5226446325861918,0.1959229288146145,0.38,3.915491,0.4997688981787606,0.17338059043186452
random_noisy,human,0.79420686,0.34578349928614566,0.09115323716625011,0.34,0.600912,0.294389005198522,0.053697784524936676
random_noisy,lstm,1.5996945,0.42656888880978444,0.14531401889830187,0.32,1.1434951,0.378944390747442,0.1168059629532
random_noisy,roberta,1.7635711,0.4532846700028032,0.15729687031513948,0.2,1.4688221,0.43393382647428813,0.14431122507028332
tfidf,random_noisy,0.2624517,0.22933074056704403,0.057657791699925666,0.16,0.15710247,0.16627280359425012,0.03249028641630147
tfidf,lstm_calibrated,0.9656866,0.35673901325870505,0.12818430422507063,0.34,0.40294468,0.22888975387653063,0.03920522595564504
tfidf,roberta_calibrated,1.184092,0.3874617210511315,0.14678646343736965,0.4,0.5917004,0.27560406842977525,0.05547971563011017
tfidf,davinci,4.410703,0.5342531289935813,0.2504731817015541,0.28,2.5753872,0.38535507693917725,0.10168208645549572
tfidf,human,0.92622995,0.36829396161310707,0.12878804793688373,0.28,0.3111165,0.21436125614383258,0.03794901450456753
tfidf,lstm,1.3808653,0.396587321419621,0.15535522617217803,0.34,0.6067227,0.23637185250074721,0.042011880711790094
tfidf,roberta,1.599321,0.42326551728213,0.17157993016972437,0.42,0.82161456,0.2986482699752343,0.06475462016402193
lstm_calibrated,random_noisy,0.5802714,0.38261740183019627,0.12180566537176558,0.32,0.4288682,0.32600739359094877,0.08947889598564968
lstm_calibrated,tfidf,0.59441835,0.35673901325870505,0.12818430422507063,0.34,0.22186384,0.22888975387653063,0.03920522595564504
lstm_calibrated,roberta_calibrated,0.32418206,0.20333969446741892,0.06400985636974511,0.62,0.078689106,0.10958150592351917,0.010441672003128656
lstm_calibrated,davinci,3.9980915,0.5384807535373595,0.30928306170383957,0.26,1.4174902,0.27388043731753564,0.04352903532612071
lstm_calibrated,human,0.445026,0.2729313332681519,0.09499666313781675,0.6,0.16716605,0.17297123021094798,0.026282510207368364
lstm_calibrated,lstm,0.055005126,0.08689005255993659,0.0076742626215640835,0.9,0.0431546,0.07812432128586787,0.004304393421244587
lstm_calibrated,roberta,0.56327486,0.2477010426620537,0.09157018210424761,0.6,0.12723471,0.1273546484194017,0.012348294079388174
roberta_calibrated,random_noisy,0.64378387,0.41300654637028217,0.13321708769363474,0.2,0.546193,0.3818460348476126,0.11425425653013137
roberta_calibrated,tfidf,0.6853166,0.3874617210511315,0.14678646343736965,0.4,0.32121518,0.27560406842977525,0.05547971563011017
roberta_calibrated,lstm_calibrated,0.3004351,0.20333969446741892,0.06400985636974511,0.62,0.085664704,0.10958150592351917,0.010441672003128656
roberta_calibrated,davinci,3.482593,0.47693567139647897,0.2603760868740425,0.46,1.2761756,0.26795257205014716,0.04155701669725121
roberta_calibrated,human,0.4109882,0.26903004863861957,0.08889214646557941,0.58,0.1894812,0.18674205322181778,0.03342174922218393
roberta_calibrated,lstm,0.4282323,0.22368417612971037,0.07962857582710935,0.64,0.1309594,0.12240919203576724,0.01374424808878867
roberta_calibrated,roberta,0.04597286,0.07337409652569989,0.006970360306721531,0.98,0.03696712,0.0678191532398841,0.004227114595452421
davinci,random_noisy,0.96597,0.5226446325861918,0.1959229288146145,0.38,0.86711633,0.4997688981787606,0.17338059043186452
davinci,tfidf,1.2606552,0.5342531289935813,0.2504731817015541,0.28,0.5444447,0.38535507693917725,0.10168208645549572
davinci,lstm_calibrated,1.6325791,0.5384807535373595,0.30928306170383957,0.26,0.3104514,0.27388043731753564,0.04352903532612071
davinci,roberta_calibrated,1.4103879,0.47693567139647897,0.2603760868740425,0.46,0.27584752,0.26795257205014716,0.04155701669725121
davinci,human,0.7482576,0.4093076160709746,0.16330333493285595,0.58,0.3491852,0.3103272513388201,0.06476419363404251
davinci,lstm,1.9487675,0.5430050700950751,0.3312650192497275,0.3,0.34274045,0.25732089581522977,0.04493375854430329
