snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,e,c,n,pred_conf,gold_conf,entropy,pred_label
1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.839139344262295,78.75,6,19,101,0.00211599122230003,0.886620371759057,0.111263637018643,0.886620371759057,0.111263637018643,0.525204171581845,contradiction
3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.886270491803279,94.15,5,22,118,0.913627107583074,0.00148339515212147,0.0848894972648048,0.913627107583074,0.913627107583074,0.435065344856852,entailment
4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3,14,76,0.972121456973385,0.000742304919970638,0.0271362381066443,0.972121456973385,0.972121456973385,0.188578181512873,entailment
507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.86577868852459,83.32,3,10,58,0.00578372903446647,0.0189797158642691,0.975236555101264,0.975236555101264,0.0189797158642691,0.186827590514697,neutral
3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.565573770491803,93.14,4,24,118,0.00318009080211274,0.00170740511359809,0.995112504084289,0.995112504084289,0.00170740511359809,0.0491160645312629,neutral
3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.788934426229508,79.77,4,17,93,0.0678057302328966,0.328855874763365,0.603338395003738,0.603338395003738,0.328855874763365,1.23070252499097,neutral
6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.289959016393443,87.21,4,19,95,0.00747847652070657,0.854726845965051,0.137794677514243,0.854726845965051,0.137794677514243,0.640397394980527,contradiction
3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.973360655737705,86.2,4,21,113,0.983401359400008,0.000440074655668921,0.016158565944323,0.983401359400008,0.983401359400008,0.124822368924149,entailment
358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2,21,99,0.00534365103671822,0.012327813367224,0.982328535596058,0.982328535596058,0.012327813367224,0.143783832256982,neutral
4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.963114754098361,96.18,4,18,83,0.974619492827437,0.000627744081691186,0.024752763090872,0.974619492827437,0.974619492827437,0.174912672836185,entailment
2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186925978517,0.776639344262295,86.2,6,21,111,0.0268526192483228,0.239511915048678,0.733635465703,0.733635465703,0.239511915048678,0.961807083234164,neutral
5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146263317,0.425204918032787,78.75,6,19,108,0.000107008567384232,0.999730932372506,0.000162059060109625,0.999730932372506,0.000162059060109625,0.00384008867169666,contradiction
4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076001311,0.754098360655738,92.12,6,26,134,0.0026243213538666,0.653372398392704,0.344003280253429,0.653372398392704,0.344003280253429,0.953280956189257,contradiction
7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779346956,0.700819672131147,84.17,5,25,130,0.000112814434550261,0.999723475433857,0.000163710131592884,0.999723475433857,0.000163710131592884,0.00393721868420129,contradiction
2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355265525,0.470286885245902,99.06,3,29,134,0.0147249285540208,0.649921304587524,0.335353766858455,0.649921304587524,0.335353766858455,1.0222414823396,contradiction
2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.61501394452806,0.819672131147541,83.15,6,27,140,0.00138422235437051,0.00119829309772014,0.997417484547909,0.997417484547909,0.00119829309772014,0.028495722443569,neutral
4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98274862480943,0.978483606557377,88.74,3,16,76,0.985524230896489,0.000408837004450049,0.0140669320990608,0.985524230896489,0.985524230896489,0.111867588974683,entailment
