sample id,Sentence 1,Sentence 2,Gold label,Machine_RANDOM_Label,Machine_RANDOM_Confidence,Machine_TF-IDF_Label,Machine_TF-IDF_Confidence,Machine_LSTM_Label,Machine_LSTM_Confidence,Machine_ROBERTA_Label,Machine_ROBERTA_Confidence,Machine_DAVINCI_Label,Machine_DAVINCI_Confidence,Human_Label,Human_Confidence
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,neutral,0.33,neutral,0.48,neutral,0.52,contradiction,0.89,contradiction,0.93,contradiction,0.84
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,contradiction,0.33,neutral,0.6,entailment,0.54,entailment,0.91,entailment,0.75,entailment,0.89
2,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,entailment,0.33,entailment,0.5,entailment,0.54,entailment,0.97,entailment,1,entailment,0.95
3,A group of dancers are performing.,The audience is silent.,neutral,entailment,0.33,contradiction,0.89,contradiction,0.57,neutral,0.98,neutral,1,neutral,0.86
4,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,contradiction,0.33,neutral,0.79,neutral,0.57,neutral,1,neutral,1,neutral,0.56
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,entailment,0.33,neutral,0.37,neutral,0.4,neutral,0.6,neutral,1,neutral,0.79
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,entailment,0.33,neutral,0.45,neutral,0.41,contradiction,0.85,neutral,1,neutral,0.69
7,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,neutral,0.33,entailment,0.55,entailment,0.57,entailment,0.98,entailment,0.99,entailment,0.97
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,0.33,contradiction,0.66,neutral,0.46,neutral,0.98,neutral,1,neutral,0.75
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,entailment,0.33,entailment,0.55,entailment,0.56,entailment,0.97,neutral,0.94,entailment,0.96
10,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,entailment,0.33,neutral,0.73,neutral,0.51,neutral,0.73,neutral,1,neutral,0.78
11,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,contradiction,0.33,contradiction,0.94,neutral,0.41,contradiction,1,neutral,0.69,neutral,0.56
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,contradiction,0.33,neutral,0.72,neutral,0.54,contradiction,0.65,neutral,1,neutral,0.75
13,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,entailment,0.33,entailment,0.46,contradiction,0.57,contradiction,1,neutral,1,contradiction,0.7
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.33,entailment,0.54,contradiction,0.55,contradiction,0.65,neutral,0.97,neutral,0.51
15,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,contradiction,0.33,entailment,0.44,neutral,0.57,neutral,1,neutral,1,neutral,0.82
16,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,entailment,0.33,entailment,0.64,entailment,0.57,entailment,0.99,entailment,0.77,entailment,0.98
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,entailment,0.33,contradiction,0.85,neutral,0.46,neutral,0.82,neutral,1,neutral,0.85
18,Five people standing by a gate.,Five fat people standing by a gate.,neutral,contradiction,0.33,neutral,0.6,neutral,0.56,neutral,1,neutral,0.57,neutral,0.88
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.33,neutral,0.93,neutral,0.54,neutral,0.97,neutral,1,neutral,0.5
20,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,contradiction,0.33,entailment,0.6,entailment,0.57,entailment,0.99,entailment,1,neutral,0.63
21,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,entailment,0.33,entailment,0.9,entailment,0.57,entailment,0.98,neutral,1,entailment,0.86
22,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,contradiction,0.33,neutral,0.55,entailment,0.48,entailment,0.8,neutral,0.79,entailment,0.74
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,neutral,0.33,contradiction,0.44,entailment,0.38,neutral,0.69,neutral,1,entailment,0.62
24,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,contradiction,0.33,contradiction,0.67,contradiction,0.57,contradiction,0.99,contradiction,0.73,neutral,0.6
25,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,neutral,0.33,neutral,0.7,neutral,0.57,neutral,1,neutral,0.87,neutral,0.82
26,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,entailment,0.33,entailment,0.53,entailment,0.49,entailment,0.68,neutral,1,entailment,0.66
27,A scene of snow and water.,a snow and water scene at sunset,neutral,entailment,0.33,neutral,0.56,neutral,0.48,neutral,1,neutral,1,neutral,0.8
28,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,neutral,0.33,entailment,0.5,entailment,0.44,contradiction,0.99,neutral,0.97,contradiction,0.49
29,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,neutral,0.33,neutral,0.48,entailment,0.54,entailment,0.96,neutral,0.93,entailment,0.89
30,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,contradiction,0.33,contradiction,0.5,neutral,0.42,contradiction,0.75,neutral,1,neutral,0.71
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.33,neutral,0.44,neutral,0.45,neutral,0.87,contradiction,0.93,contradiction,0.7
32,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.33,entailment,0.66,contradiction,0.53,contradiction,1,neutral,1,neutral,0.74
33,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,entailment,0.33,entailment,0.88,entailment,0.53,entailment,0.86,neutral,1,neutral,0.55
34,A person is standing next to a wooden fence with flowering trees nearby.,The bare tree branches rattle in the wind.,contradiction,neutral,0.33,contradiction,0.47,contradiction,0.47,contradiction,0.99,neutral,1,contradiction,0.52
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,entailment,0.33,neutral,0.81,contradiction,0.46,neutral,0.54,contradiction,0.98,neutral,0.67
36,Two soccer players are playing soccer.,Two people play a game.,entailment,neutral,0.33,entailment,0.72,entailment,0.56,entailment,0.96,entailment,0.99,entailment,0.94
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.33,entailment,0.49,entailment,0.39,entailment,0.79,neutral,1,neutral,0.5
38,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,neutral,0.33,contradiction,0.75,entailment,0.38,neutral,0.76,neutral,1,neutral,0.63
39,a man wearing a gray shirt waving in the middle of a plant nursery,The man does not have a way to get home.,neutral,neutral,0.33,neutral,0.88,neutral,0.4,neutral,0.81,neutral,1,neutral,0.81
40,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,contradiction,0.33,entailment,0.87,contradiction,0.56,contradiction,0.99,neutral,1,neutral,0.56
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,contradiction,0.33,neutral,0.43,contradiction,0.39,neutral,0.74,neutral,0.96,entailment,0.56
42,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,contradiction,0.33,entailment,0.42,contradiction,0.57,contradiction,1,neutral,0.99,neutral,0.49
43,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,entailment,0.33,entailment,0.7,contradiction,0.56,contradiction,1,neutral,1,contradiction,0.54
44,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,entailment,0.33,entailment,0.57,entailment,0.43,neutral,0.77,neutral,0.96,entailment,0.74
45,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.33,entailment,0.47,entailment,0.56,entailment,0.95,entailment,1,entailment,0.86
46,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,neutral,0.33,neutral,0.6,entailment,0.36,neutral,0.62,neutral,1,neutral,0.5
47,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,neutral,0.33,contradiction,0.41,neutral,0.56,neutral,0.79,neutral,0.88,neutral,0.83
48,People judge a gray and white dog in a show.,A dog is being judged for first place in a show.,neutral,contradiction,0.33,neutral,0.53,neutral,0.57,neutral,1,neutral,1,neutral,0.54
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,neutral,0.33,contradiction,0.53,entailment,0.46,neutral,0.9,neutral,1,neutral,0.8
50,A picture of two little boys holding books.,A picture of children with books.,entailment,entailment,0.33,entailment,0.44,entailment,0.56,entailment,0.98,neutral,0.94,entailment,0.97
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,contradiction,0.33,neutral,0.48,entailment,0.5,entailment,0.92,neutral,1,neutral,0.67
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,neutral,0.33,entailment,0.72,contradiction,0.57,contradiction,0.94,neutral,0.94,contradiction,0.57
53,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,contradiction,0.33,contradiction,0.64,contradiction,0.57,contradiction,1,contradiction,0.54,neutral,0.62
54,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,entailment,0.33,entailment,0.66,contradiction,0.56,contradiction,1,neutral,0.98,contradiction,0.69
55,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,neutral,0.33,entailment,0.54,entailment,0.56,entailment,0.97,entailment,0.99,entailment,0.94
56,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,entailment,0.33,contradiction,0.62,contradiction,0.43,contradiction,1,contradiction,0.89,contradiction,0.69
57,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,neutral,0.33,contradiction,0.97,contradiction,0.57,contradiction,1,contradiction,0.98,contradiction,0.86
58,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,contradiction,0.33,contradiction,0.39,contradiction,0.47,contradiction,1,neutral,1,contradiction,0.61
59,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,neutral,0.33,neutral,0.97,neutral,0.54,neutral,0.82,contradiction,0.72,neutral,0.92
60,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,contradiction,0.33,neutral,0.41,neutral,0.46,neutral,0.89,neutral,1,entailment,0.58
61,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,contradiction,0.33,neutral,0.59,neutral,0.56,neutral,0.96,neutral,1,neutral,0.67
62,A ballerina in a black dress and tights dances in front of a concrete wall.,a man dancing,contradiction,entailment,0.33,entailment,0.45,entailment,0.38,contradiction,0.83,contradiction,0.82,contradiction,0.5
63,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,contradiction,0.33,contradiction,0.4,entailment,0.49,entailment,0.96,neutral,0.99,entailment,0.79
64,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,neutral,0.33,contradiction,0.48,entailment,0.43,entailment,0.93,entailment,0.58,entailment,0.88
65,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,entailment,0.33,entailment,0.84,entailment,0.56,entailment,0.97,entailment,0.95,entailment,0.93
66,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,neutral,0.33,entailment,0.98,entailment,0.57,entailment,0.98,neutral,0.92,entailment,0.49
67,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,contradiction,0.33,contradiction,0.67,neutral,0.42,neutral,1,neutral,1,neutral,0.75
