sample_id,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs
0.0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,neutral,contradiction,"Premise: A little boy is opening gifts surrounded by a group of children and adults.

Hypothesis: The boy is being punished

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.6685431613845202,"{
  "" Maybe"": -0.40265432,
  "" No"": -1.1067522,
  "" maybe"": -7.9477186
}"
1.0,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",neutral,entailment,"Premise: People playing cricket in the park, pine trees in the back.

Hypothesis: People are playing sports in the park, near the pine trees

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9939801278778548,"{
  "" Maybe"": -0.0060380646,
  "" No"": -6.2513175,
  "" Yes"": -5.688085
}"
2.0,Some people hanging out on a large backyard deck.,people hanging out on deck,neutral,entailment,"Premise: Some people hanging out on a large backyard deck.

Hypothesis: people hanging out on deck

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9507493726704169,"{
  "" Maybe"": -0.050504792,
  "" No"": -6.9393706,
  "" Yes"": -3.0459936
}"
3.0,A group of dancers are performing.,The audience is silent.,neutral,neutral,"Premise: A group of dancers are performing.

Hypothesis: The audience is silent.

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9625233195594303,"{
  "" Maybe"": -0.038196985,
  "" No"": -3.2996087,
  "" maybe"": -8.097517
}"
4.0,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,"Premise: A large brown and white dog is carrying a stick through a white and snowy area.

Hypothesis: A puppy is playing fetch with a stick.

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9954889668130769,"{
  "" Maybe"": -0.0045212386,
  "" No"": -5.615498,
  "" Yes"": -7.701397
}"
5.0,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,"Premise: A little girl in pink stands in a yellow hallway.

Hypothesis: The girl is standing outside her apartment.

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9985086783269909,"{
  "" Maybe"": -0.0014924348,
  "" No"": -6.768509,
  ""Maybe"": -8.576206
}"
6.0,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,neutral,contradiction,"Premise: A young boy in a sweatshirt is doodling on a piece of paper.

Hypothesis: The class pictures are on display.

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.8650051917890536,"{
  "" Maybe"": -0.14501977,
  "" No"": -2.008608,
  "" maybe"": -7.70356
}"
7.0,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,neutral,entailment,"Premise: A young girl in a white dress watches bubbles while a woman and girl toddler observe.

Hypothesis: A girl is watching bubbles.

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.981366667635329,"{
  "" Maybe"": -0.01880912,
  "" No"": -4.248236,
  "" Yes"": -5.5825715
}"
8.0,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,"Premise: a toddler playing with a toy car next to a dog.

Hypothesis: A toddler plays with toy cars while his dog sleeps.

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9010924359650934,"{
  "" Maybe"": -0.104147434,
  "" No"": -2.3229833,
  "" maybe"": -7.4184723
}"
9.0,A man in and a woman are holding their towels at the beach.,People are at the beach,neutral,entailment,"Premise: A man in and a woman are holding their towels at the beach.

Hypothesis: People are at the beach

Is the sentence a premise for the hypothesis? Answer as yes, no or maybe.

Answer:",0.9908299834160241,"{
  "" Maybe"": -0.00921232,
  "" No"": -4.9174953,
  "" Yes"": -6.8741736
}"
