sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence,diff_score,diff_rank
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.3333333333333333,neutral,0.9319464664552076,neutral,0.540013113941414,neutral,0.973951177425102,neutral,0.9979889828101433,neutral,0.5015353121801432,241.0,2
13,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,entailment,0.3333333333333333,entailment,0.4639413544231348,contradiction,0.572120128178249,contradiction,0.999723475433857,neutral,0.9988544459485746,contradiction,0.7001023541453428,184.0,23
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,neutral,0.3333333333333333,contradiction,0.4392694971570496,entailment,0.38344982634935,neutral,0.685270882318269,neutral,0.9995303035419344,entailment,0.6192425793244627,192.0,20
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.3333333333333333,neutral,0.4414516247272341,neutral,0.44844330463986,neutral,0.874641512823065,contradiction,0.9330173848767288,contradiction,0.6980552712384852,227.0,3
32,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.3333333333333333,entailment,0.6648163042327481,contradiction,0.529177295212782,contradiction,0.999171150807776,neutral,0.9977477609051364,neutral,0.7379733879222109,192.0,19
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,entailment,0.3333333333333333,neutral,0.8096989096906817,contradiction,0.461175388088878,neutral,0.541163235830135,contradiction,0.9818967929302254,neutral,0.6653019447287615,220.0,8
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.3333333333333333,entailment,0.4873475612660072,entailment,0.390189655339647,entailment,0.78995088747597,neutral,0.9993752726234596,neutral,0.5005117707267144,217.0,10
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,contradiction,0.3333333333333333,neutral,0.4327643727554425,contradiction,0.388629365375602,neutral,0.741396481138377,neutral,0.9588572194606346,entailment,0.5568065506653019,224.0,5
42,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,contradiction,0.3333333333333333,entailment,0.4155646644101849,contradiction,0.573313123739592,contradiction,0.999734221322118,neutral,0.9944567866202146,neutral,0.4882292732855681,145.0,40
43,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,entailment,0.3333333333333333,entailment,0.6973276187501578,contradiction,0.555139469158166,contradiction,0.998077722965512,neutral,0.9989242452394592,contradiction,0.5414534288638689,222.0,6
45,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.3333333333333333,entailment,0.4746595830373818,entailment,0.559830415090258,entailment,0.946422729947762,entailment,0.9953264237046562,entailment,0.8628454452405322,95.0,49
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,neutral,0.3333333333333333,contradiction,0.5306918606222765,entailment,0.462527778889723,neutral,0.895158476871392,neutral,0.9995080719363058,neutral,0.7993858751279427,208.0,12
50,A picture of two little boys holding books.,A picture of children with books.,entailment,entailment,0.3333333333333333,entailment,0.4407331359874586,entailment,0.564614269846712,entailment,0.983341454493439,neutral,0.9351794387544976,entailment,0.9672466734902764,145.0,39
