movie_qa_id,flesch_score_textstat,mean_grade_level_textstat,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_trts,max_of_trts,min_of_trts,mean_of_omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupil_diameter,max_of_pupil_diameter,min_of_pupil_diameter,median_of_pupil_diameter,mean_of_average_fixation_duration,max_of_average_fixation_duration,min_of_average_fixation_duration,median_of_average_fixation_duration,average_question_accuracy,number_of_words,number_of_characters
tt0087892_66,70.84,10.0,182.66666666666666,323,28,174.0,42098.0,71602.0,6193.0,0.4500805152979066,0.8743961352657005,0.21739130434782608,0.4106280193236715,1042.7799044467174,1845.8101516916272,149.7460469512963,1087.7817095719734,232.43183515931517,278.82781456953643,217.14110429447854,224.60387415279055,1.0,207,1223
tt0412019_317,83.7,8.0,207.33333333333334,322,132,202.0,42715.5,70571.0,31497.0,0.37198067632850235,0.4975845410628019,0.17391304347826086,0.4106280193236715,1028.0765785778638,1366.1086800718786,659.0454650251402,1043.576084607218,226.22294489930357,276.6515151515151,205.0923913043478,218.9468814699793,0.8333333333333334,234,1214
tt0120684_848,80.11,8.0,200.83333333333334,285,142,178.5,42588.0,70557.0,28237.0,0.3824476650563607,0.5120772946859904,0.25120772946859904,0.4057971014492754,1048.989064708339,1585.9281425421275,762.254980810595,923.8865677403164,227.2538336705792,250.3294117647059,198.85211267605635,225.3132798573975,0.8333333333333334,198,1098
tt1409024_1108,68.1,10.0,208.66666666666666,290,171,197.5,45699.0,69702.0,35185.0,0.35426731078904994,0.4444444444444444,0.178743961352657,0.3913043478260869,1167.5206063090352,1667.9641472849016,909.4176368553201,1046.3503205479597,230.17310601608267,263.67836257309943,205.76023391812865,232.1009618573798,1.0,220,1220
tt3316960_1381,70.84,8.0,233.66666666666666,427,155,205.5,46827.5,94049.0,29046.0,0.2640901771336554,0.40096618357487923,0.05314009661835749,0.29227053140096615,986.453908843062,1265.087934649689,823.7621829964004,870.5116088830968,227.24761608551896,275.7625,187.39354838709679,221.18817277701348,1.0,260,1431
tt0758774_244,50.77,12.0,164.0,271,64,169.5,35796.0,72828.0,12831.0,0.5106209150326797,0.7892156862745098,0.3088235294117647,0.49754901960784315,878.8118337459267,1137.5218697210157,298.1341058206454,1017.5875914157023,227.94099098598963,268.7380073800738,184.41758241758242,227.0203172918141,1.0,204,1212
tt1371111_583,73.17,9.0,201.5,299,63,216.5,53870.0,78218.0,12060.0,0.47794117647058826,0.7598039215686274,0.2107843137254902,0.4950980392156863,1057.8493241281212,1767.2656530598279,376.6143950048842,1074.2857555396463,238.2065452390162,262.7593984962406,191.42857142857142,249.9843267684014,1.0,240,1376
tt0105414_1362,71.95,9.0,149.83333333333334,194,63,162.0,36532.0,47349.0,14244.0,0.5065359477124183,0.7745098039215687,0.3235294117647059,0.4926470588235294,695.6980202923112,821.2227792781255,380.3426498986716,790.613325996224,219.68682686812852,264.5195530726257,168.07194244604315,218.6247619047619,1.0,243,1359
tt0108399_1738,71.34,10.0,168.5,211,136,159.0,35074.5,60031.0,30094.0,0.49264705882352944,0.5784313725490197,0.37745098039215685,0.5147058823529411,897.4794904136746,964.1979884210843,820.6437208244947,888.2139832894497,227.91271237216975,284.50710900473933,178.2780487804878,231.83463704630788,1.0,204,1181
tt0816436_182,83.25,7.0,97.5,168,39,98.0,18202.0,33019.0,7395.0,0.62106135986733,0.845771144278607,0.373134328358209,0.5945273631840796,562.515807690597,1021.7801553478305,190.40205933861674,543.409538055745,199.47998873516664,242.65853658536585,145.58333333333334,202.79502688172045,0.8333333333333334,201,1118
