sample_id,sentence_1,sentence_2,gold_label,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,confidence_diff
80.0,Two men fight in a ring while spectators look on.,Boxers fight as the crowd screams.,neutral,neutral,0.4,neutral,0.980938818043959,0.580938818043959
67.0,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,neutral,0.42,neutral,0.996243648389569,0.576243648389569
56.0,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,contradiction,0.43,contradiction,0.999735944637668,0.569735944637668
58.0,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,contradiction,0.47,contradiction,0.998343854426634,0.528343854426634
64.0,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,entailment,0.43,entailment,0.93248306657664,0.50248306657664
63.0,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,entailment,0.49,entailment,0.963695034082212,0.47369503408221203
32.0,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,contradiction,0.53,contradiction,0.999171150807776,0.46917115080777594
76.0,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,contradiction,0.54,contradiction,0.999737854725078,0.459737854725078
77.0,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,entailment,0.51,entailment,0.969700393957279,0.459700393957279
86.0,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,neutral,0.55,neutral,0.996399872075114,0.446399872075114
79.0,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,neutral,0.55,neutral,0.995535771730066,0.445535771730066
54.0,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,contradiction,0.56,contradiction,0.999584257227656,0.43958425722765593
43.0,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,contradiction,0.56,contradiction,0.998077722965512,0.43807772296551195
87.0,a group of people on a dock lowering into the water a boat with teal and purple decorations.,The group was getting ready to go fishing on the boat.,neutral,neutral,0.56,neutral,0.997242479021475,0.43724247902147495
89.0,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,neutral,0.56,neutral,0.996426645373965,0.4364266453739649
78.0,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,neutral,0.56,neutral,0.994152575170166,0.4341525751701659
74.0,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,neutral,0.56,neutral,0.990395735695488,0.43039573569548795
57.0,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,contradiction,0.57,contradiction,0.999734761175086,0.429734761175086
42.0,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,contradiction,0.57,contradiction,0.999734221322118,0.429734221322118
85.0,"A group of asian women in sports attire, and one woman in the center is wearing a baseball cap.",Men are playing with a dog,contradiction,contradiction,0.57,contradiction,0.99972777318503,0.4297277731850301
81.0,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,contradiction,0.57,contradiction,0.999724431813576,0.429724431813576
53.0,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,contradiction,0.57,contradiction,0.999650557056595,0.42965055705659505
