sample_id,domain,source,CoLA_label,source_annotation,annotator1,annotator2,annotator3,annotator4,annotator5,sentence
0,out,clc95,1,,1,1,0,1,1,"If Sam was going, Sally would know where."
1,out,clc95,0,*,0,0,0,0,0,"She mailed John a letter, but I don't know to whom."
2,out,clc95,1,,1,1,1,1,1,I served my guests.
3,out,clc95,0,*,0,0,0,0,0,"She was bathing, but I couldn't make out who."
4,out,clc95,0,*,0,0,0,0,0,"John was tall, but I don't know on what occasions."
5,out,clc95,0,*,0,0,0,0,0,"I know that Meg's attracted to Harry, but they don't know who."
6,out,clc95,1,,1,0,0,1,1,Everyone relies on someone. It's unclear who.
7,out,clc95,1,,0,1,1,1,1,"The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint."
8,out,clc95,1,,1,1,1,1,0,"Everybody gets on well with a certain relative, but often only his therapist knows which one."
9,out,clc95,0,*,0,0,0,0,0,"He announced he had eaten the asparagus, but we didn't know what."
10,out,clc95,1,,1,1,1,1,1,She talked to John or Mary but I don't know which.
11,out,clc95,1,,1,1,1,1,1,She talked to John or Mary but I don't know which one.
12,out,clc95,1,,1,0,0,1,0,"Meg is attracted to Harry, but they don't know who she is attracted to."
13,out,clc95,0,*,0,0,0,0,0,What did you leave before they started playing?
14,out,clc95,1,,1,1,1,1,1,"I think Agnes said that Bill would speak, but I don't remember what about."
15,out,clc95,0,*,1,1,0,1,1,"Tony sent Mo a picture that he painted, but it's not clear with what."
16,out,clc95,0,*,0,0,0,0,0,Who did they see someone?
17,out,c-05,0,*,0,0,0,0,0,The book was by John written.
18,out,c-05,1,,1,1,1,1,1,The book was seen by Mary.
19,out,c-05,0,*,0,0,0,0,0,Mary was given by John the book.
20,out,c-05,1,,1,1,0,1,1,John was believed to be telling the truth by Mary.
21,out,c-05,1,,1,1,1,1,1,John was believed by Mary to be telling the truth.
22,out,c-05,1,,1,1,1,1,1,The car was driven by John to Maine.
23,out,c-05,0,*,1,0,0,0,0,Chocolate eggs were hidden from each other by the children.
24,out,c-05,1,,0,0,0,0,0,Books were taken from no student and given to Mary.
25,out,j_71,0,*,1,0,1,1,1,"Bill ate the peaches, but Harry the grapes."
26,out,j_71,0,*,1,0,0,0,0,Bill ate the peaches and Harry did the grapes.
27,out,j_71,0,*,0,0,0,0,0,"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang."
28,out,j_71,1,,1,1,1,1,1,Jerry attempted to blow up the Pentagon.
29,out,j_71,1,,1,1,1,1,1,"Bill bought a red house, and Max bought one too."
30,out,s_97,1,,1,1,1,1,1,I know the person whose mother died.
31,out,s_97,0,*,0,0,0,0,0,Bother you that Kim left!
32,out,s_97,0,*,0,0,0,1,1,"Mary arranged for, in St. Louis, John to rent a house cheap."
33,out,s_97,0,*,0,0,0,0,0,I wonder in whom them to place their trust.
34,out,s_97,0,*,0,0,0,0,0,I wonder whom us to trust.
35,out,s_97,0,*,0,0,0,0,1,"Jones, that we were talking to last night, always watches football games alone."
36,out,s_97,1,,1,1,1,1,1,A letter was received that Jones would be upset by.
37,out,s_97,0,*,0,0,0,0,0,The only person whose kids Dana is willing to put up with was written by John.
38,out,s_97,0,*,1,0,1,1,1,The book that I like - everyone else in the class hates.
39,out,s_97,0,*,0,1,0,0,1,"Which book's, author did you meet who you liked?"
40,out,s_97,1,,1,1,1,1,1,All who lost money in the scam are eligible for the program.
41,out,s_97,0,*,0,0,0,0,0,Who for Sandy to talk to is still enrolled in the class?
42,out,s_97,1,,1,1,1,1,1,The only people being added to our group who were at Harvard were students.
43,out,swb04,0,*,0,0,0,0,0,Leslie told ourselves about us.
44,out,swb04,1,,1,1,1,1,1,Those pictures of us offended us.
45,out,swb04,1,,1,1,1,1,1,We admired the pictures of us in the album.
