sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label,pred_label,prob_entropy,confidence
0,13788,65,"A pleasant enough movie , held together by skilled ensemble actors .",4,1,0.8928928928928929,61.33,8.0,10,68,2,0,1.526855294218026,0.446581992017106
1,13813,22,"A thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14.0,6,58,2,2,1.5422492625918975,0.3941670370998816
2,14082,121,"Hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.4084084084084084,92.12,4.0,14,66,1,0,1.4518172752260323,0.5417453191012649
3,14371,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.4214214214214214,69.11,8.0,19,108,2,2,1.4961297776480629,0.5035726500582683
4,14493,79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.9049049049049048,66.07,12.0,22,128,2,0,1.44851873959572,0.5143121678640099
5,14548,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.8088088088088088,48.81,10.0,41,220,2,2,1.4975933216226438,0.4368089361740678
6,14633,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.8528528528528528,54.9,10.0,33,188,2,2,1.4876905979562094,0.4890898254340268
7,14635,223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.4934934934934935,46.1,13.0,25,143,2,2,1.5235412258505934,0.4704849436882337
8,18575,415,"A deceivingly simple film , one that grows in power in retrospect .",4,1,0.8868868868868869,60.31,8.0,11,67,2,0,1.5146497308202445,0.4688405945390936
9,18675,226,An unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12.0,8,62,2,0,1.458902245265009,0.4446526991050342
10,18959,386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.6266266266266266,65.05,9.0,24,131,2,2,1.4870313931819277,0.4458844452760354
11,19365,291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998998999,61.67,9.0,19,103,2,0,1.497731675488778,0.479247488418924
12,24277,556,"A bowel-curdling , heart-stopping recipe for terror .",4,1,0.7437437437437437,31.55,0.0,8,53,2,0,1.4694409022956478,0.4967554908609481
13,24441,933,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,5,1,0.918918918918919,27.83,15.0,18,120,2,0,1.4756491312752245,0.506452829907525
14,24480,970,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",5,1,0.94994994994995,53.55,10.0,26,150,2,0,1.5721587312534613,0.3967962941719397
15,24617,998,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",5,1,0.951951951951952,62.68,10.0,17,100,2,2,1.499045203322305,0.499670329844002
16,24626,1038,An excellent romp that boasts both a heart and a mind .,5,1,0.95995995995996,94.15,3.0,11,55,2,0,1.3882376723689325,0.5075306397789799
17,24638,764,An incredibly clever and superbly paced caper filled with scams within scams within scams .,4,1,0.8348348348348348,65.73,8.0,14,91,2,2,1.5498581263898212,0.406753228542559
18,24868,662,Both deeply weird and charmingly dear .,4,1,0.8508508508508509,90.77,0.0,6,39,2,0,1.5412428490688006,0.4156023752664035
19,25019,650,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",5,1,0.9039039039039038,61.67,12.0,18,113,2,0,1.5406748987190524,0.4335861649936648
20,25083,975,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",5,1,0.8158158158158159,41.7,13.0,22,137,2,2,1.4377183327142835,0.5072837254659701
21,25110,952,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",5,1,0.9109109109109108,64.2,9.0,31,186,2,1,1.5360968624920823,0.4278116671313065
22,25152,676,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,1,-1,0.937937937937938,62.01,9.0,32,147,0,2,1.5728916989806163,0.3900863663984457
23,25257,1097,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",4,1,0.7907907907907908,53.37,8.0,19,129,2,2,1.410884181223023,0.5348536710785416
24,25296,761,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,3,0,0.2502502502502503,56.59,11.0,24,137,1,2,1.545197236913244,0.396550833823506
25,25372,758,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",4,1,0.934934934934935,57.61,11.0,22,138,2,2,1.445413175864566,0.5005382335496344
26,25454,563,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",5,1,0.9129129129129128,36.28,15.0,20,132,2,2,1.5572979054821054,0.4268444615809477
27,25812,908,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",4,1,0.4264264264264264,47.46,17.0,32,185,2,2,1.4532279833416772,0.4892199471721183
28,26302,522,One scarcely needs the subtitles to enjoy this colorful action farce .,4,1,0.7977977977977978,60.31,8.0,11,70,2,0,1.4212959519578872,0.4397666540211048
29,26419,475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",5,1,0.9209209209209208,24.78,15.0,21,136,2,2,1.3664707530499318,0.6002374856769539
30,26559,585,Several degrees shy of the gross-out contests one expects from current teen fare .,3,0,0.2882882882882883,66.74,12.0,14,82,1,0,1.4542334216252877,0.5242604949373539
31,26591,655,Skip work to see it at the first opportunity .,4,1,0.907907907907908,79.26,5.0,9,46,2,0,1.3629041621180111,0.5944078213498689
32,26620,512,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",4,1,0.8158158158158159,70.13,11.0,19,111,2,0,1.4424410075759455,0.4892938621019139
33,26650,1074,"Still , it gets the job done -- a sleepy afternoon rental .",2,-1,0.2442442442442442,95.17,7.0,10,59,0,2,1.5336230750213768,0.4507418083235379
34,26707,818,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",5,1,0.6686686686686687,30.54,17.0,35,209,2,2,1.413022064856504,0.5554474701200477
35,26771,596,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",4,1,0.8408408408408409,80.96,8.0,24,126,2,2,1.4349948868439686,0.4811086471595268
36,26811,510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.7937937937937938,57.95,10.0,30,168,2,0,1.5228885763445856,0.4259349975480637
37,26929,990,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,5,1,0.905905905905906,31.21,15.0,23,151,2,0,1.3395871331926277,0.5667744904191422
38,27092,490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996996997,31.89,12.0,16,106,2,0,1.484894508684181,0.4980445831214549
39,27137,566,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,4,1,0.8338338338338338,68.77,5.0,13,74,2,0,1.4006230933375197,0.463667013591748
40,27204,511,What might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.3933933933933934,59.3,8.0,12,82,2,0,1.4919738009596015,0.4806219719516518
41,27306,544,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",3,0,0.1501501501501501,69.45,10.0,28,129,1,2,1.4797524145389502,0.4276164940591768
