sample_id,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs,c,n,e
0.0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,contradiction,"A little boy is opening gifts surrounded by a group of children and adults.

Can we infer that the boy is being punished? Answer as yes, no or maybe.

Answer:",0.9343312558318897,"{
  "" "": -9.068783,
  "" Maybe"": -2.7449548,
  "" No"": -0.06792424,
  "" maybe"": -9.06137,
  ""No"": -6.8586593
}",0.9353815769865474,0.06436726889346485,0.00025115411998766213
1.0,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,"People playing cricket in the park, pine trees in the back.

Can we infer that people are playing sports in the park, near the pine trees? Answer as yes, no or maybe.

Answer:",0.7341382254833804,"{
  "" Maybe"": -1.3401496,
  "" Yes"": -0.30905795,
  "" maybe"": -8.531983,
  "" yes"": -7.9501996,
  ""Yes"": -5.723234
}",0.00023649808375292292,0.2620035632029222,0.7377599387133249
2.0,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,entailment,"Some people hanging out on a large backyard deck.

Can we infer that people hanging out on deck? Answer as yes, no or maybe.

Answer:",0.9949463817141622,"{
  "" Maybe"": -6.094809,
  "" YES"": -10.204222,
  "" Yes"": -0.005066431,
  "" yes"": -8.455399,
  ""Yes"": -5.9851265
}",3.341973603876447e-05,0.0022545407168701936,0.9977120395470911
3.0,A group of dancers are performing.,The audience is silent.,neutral,neutral,"A group of dancers are performing.

Can we infer that the audience is silent? Answer as yes, no or maybe.

Answer:",0.9993030302363397,"{
  "" Maybe"": -0.00069721276,
  "" No"": -9.796519,
  "" maybe"": -8.1856365,
  ""Maybe"": -7.957291,
  ""maybe"": -11.910729
}",5.564496280349373e-05,0.9999384754564695,5.879580726952938e-06
4.0,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,"A large brown and white dog is carrying a stick through a white and snowy area.

Can we infer that a puppy is playing fetch with a stick? Answer as yes, no or maybe.

Answer:",0.9990736723066374,"{
  ""\n"": -11.543683,
  "" Maybe"": -0.000926757,
  "" maybe"": -8.228876,
  ""Maybe"": -7.3775454,
  ""maybe"": -11.695386
}",1.3012987846561241e-05,0.9999739740243069,6.506493923308376e-06
5.0,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,"A little girl in pink stands in a yellow hallway.

Can we infer that the girl is standing outside her apartment? Answer as yes, no or maybe.

Answer:",0.9991236797930197,"{
  ""\n"": -11.544705,
  "" "": -10.502509,
  "" Maybe"": -0.0008767044,
  "" maybe"": -8.071429,
  ""Maybe"": -7.5814357
}",2.7077418904564166e-05,0.9999458451621909,1.3538709452309838e-05
6.0,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,neutral,contradiction,"A young boy in a sweatshirt is doodling on a piece of paper.

Can we infer that the class pictures are on display? Answer as yes, no or maybe.

Answer:",0.9991100907642986,"{
  "" "": -10.231666,
  "" Maybe"": -0.00089030544,
  "" No"": -9.51407,
  "" maybe"": -8.187131,
  ""Maybe"": -7.6357965
}",7.380603903228175e-05,0.999871155560178,5.503840078968647e-05
7.0,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,entailment,"A young girl in a white dress watches bubbles while a woman and girl toddler observe.

Can we infer that a girl is watching bubbles? Answer as yes, no or maybe.

Answer:",0.9911249092026208,"{
  "" Maybe"": -5.0412326,
  "" YES"": -10.149871,
  "" Yes"": -0.008914709,
  "" yes"": -7.628229,
  ""Yes"": -6.3055496
}",5.757201177203353e-05,0.0064657736918841925,0.9934766542963438
8.0,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,"a toddler playing with a toy car next to a dog.

Can we infer that a toddler plays with toy cars while his dog sleeps? Answer as yes, no or maybe.

Answer:",0.9991554491739726,"{
  "" "": -10.973904,
  "" Maybe"": -0.00084490766,
  "" No"": -10.034523,
  "" maybe"": -8.352235,
  ""Maybe"": -7.5370197
}",4.385933398983967e-05,0.9999243016446334,3.1839021376711685e-05
9.0,A man in and a woman are holding their towels at the beach.,People are at the beach,neutral,entailment,"A man in and a woman are holding their towels at the beach.

Can we infer that people are at the beach? Answer as yes, no or maybe.

Answer:",0.9420192776674914,"{
  "" Maybe"": -0.05972954,
  "" Yes"": -2.8639057,
  "" maybe"": -8.050634,
  ""Maybe"": -8.12639,
  ""Yes"": -8.3281765
}",7.905501615423915e-05,0.9426338108572163,0.057287134126629405
10.0,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,neutral,"Man and woman crossing the street at dusk.

Can we infer that a husband and a wife are enjoying a leisurely stroll in the evening? Answer as yes, no or maybe.

Answer:",0.9994123465359728,"{
  "" "": -12.179785,
  "" Maybe"": -0.0005878262,
  "" maybe"": -9.321724,
  ""Maybe"": -7.6320267,
  ""maybe"": -12.621398
}",5.107860659381291e-06,0.9999897842786812,2.55393032966289e-06
11.0,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,neutral,contradiction,"A woman singing into a microphone while a man plays drums in the background.

Can we infer that they are playing a PlayStation? Answer as yes, no or maybe.

Answer:",0.7247120611860095,"{
  "" Maybe"": -0.32198086,
  "" No"": -1.3018489,
  "" maybe"": -6.4011292,
  ""Maybe"": -7.107396,
  ""No"": -7.5452714
}",0.27255697831308234,0.727190768246309,0.00025225344060864074
12.0,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,neutral,"Two men in front of a projector screen, one at a microphone.

Can we infer that three men about to present their best idea yet in front of their company? Answer as yes, no or maybe.

Answer:",0.9995645168803119,"{
  "" Maybe"": -0.00043557797,
  "" No"": -12.675265,
  "" maybe"": -9.025554,
  ""Maybe"": -8.106607,
  ""maybe"": -12.770306
}",3.127536262338441e-06,0.9999891972687155,7.675195022205372e-06
13.0,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,neutral,contradiction,"A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.

Can we infer that a snowboarder flies through the air? Answer as yes, no or maybe.

Answer:",0.9988688114766323,"{
  ""\n"": -11.361639,
  "" "": -10.561788,
  "" Maybe"": -0.0011318288,
  "" maybe"": -7.6525083,
  ""Maybe"": -7.4094286
}",2.541018583557264e-05,0.9999491796283289,1.270509291778632e-05
14.0,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,neutral,contradiction,"A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.

Can we infer that two boys puch each other on swings? Answer as yes, no or maybe.

Answer:",0.9640914053874179,"{
  "" Maybe"": -0.03656917,
  "" No"": -3.3960814,
  "" maybe"": -6.714148,
  ""Maybe"": -6.874704,
  ""No"": -9.261368
}",0.03359932826305418,0.9663386285028785,6.204323406722168e-05
15.0,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,neutral,"A group of people in dark clothing are crossing a crosswalk.

Can we infer that a group of people in dark clothing are crossing a crosswalk to get to the store? Answer as yes, no or maybe.

Answer:",0.9993637682413133,"{
  ""\n"": -10.67253,
  "" Maybe"": -0.00063643424,
  "" No"": -11.693987,
  "" maybe"": -8.575116,
  ""Maybe"": -7.813477
}",8.343840132709372e-06,0.9999567628237539,3.489333611339518e-05
