model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE
random_noisy,tfidf,0.38031387,0.23873144418246753,0.060253403616936256,0.29,0.21079138,0.18121829455428778,0.033132153037982955
random_noisy,lstm_calibrated,1.8387254,0.4424887575505749,0.15649013748308996,0.39,1.5571632,0.4114764038218572,0.1343239430438685
random_noisy,roberta_calibrated,1.9066653,0.4624891123268105,0.1645216189331488,0.32,1.8770727,0.46145730886188296,0.15964655879252418
random_noisy,davinci,4.363179,0.5210229674575781,0.19362819480946847,0.41,4.211919,0.5046620714786718,0.17604872167267815
random_noisy,human,0.91194206,0.36607962535663335,0.10412906797430964,0.38,0.73599803,0.3289996695122884,0.0782819208300854
random_noisy,lstm,2.3549438,0.4742065814049268,0.17343438560125293,0.39,2.0404215,0.44923104852352286,0.15443044478853693
random_noisy,roberta,2.3287363,0.48949511454186606,0.1799811392549242,0.32,2.297158,0.48812733787142937,0.17389946079982174
tfidf,random_noisy,0.27609763,0.23873144418246753,0.060253403616936256,0.29,0.15831645,0.18121829455428778,0.033132153037982955
tfidf,lstm_calibrated,1.2218572,0.3607901250691185,0.12057255903876167,0.54,0.79271877,0.28236076596612497,0.055126076880544515
tfidf,roberta_calibrated,1.3517419,0.38126866472792137,0.13286007403036598,0.58,0.8890342,0.3014307821460366,0.0625028174847412
tfidf,davinci,3.9391723,0.4860965314979474,0.20893916834101098,0.47,2.3144994,0.35113437611076204,0.07802976784221949
tfidf,human,0.8365198,0.3440829168293199,0.10681209368432336,0.48,0.4462306,0.2494593063804449,0.04486418592167727
tfidf,lstm,1.6523743,0.3917537621913991,0.1388133360903874,0.54,1.0734494,0.2977424548639647,0.05955613563227586
tfidf,roberta,1.7127978,0.4057404500553345,0.14805424408746218,0.59,1.1022587,0.31631404810641556,0.06756546381513125
lstm_calibrated,random_noisy,0.7481406,0.4424887575505749,0.15649013748308996,0.39,0.64439166,0.4114764038218572,0.1343239430438685
lstm_calibrated,tfidf,0.5813084,0.3607901250691185,0.12057255903876167,0.54,0.30869812,0.28236076596612497,0.055126076880544515
lstm_calibrated,roberta_calibrated,0.19273356,0.13231525769612457,0.036125538292019733,0.79,0.050370127,0.07237204440717407,0.005274612111148008
lstm_calibrated,davinci,2.9450195,0.42114533343139654,0.23377556691729895,0.5,0.56235564,0.18203929520639253,0.024542717980167203
lstm_calibrated,human,0.35562333,0.25217209678190194,0.07355421093117809,0.74,0.17904694,0.18936156710327504,0.028947790317207234
lstm_calibrated,lstm,0.037433427,0.06305729726868914,0.004675530384205886,0.94,0.03012599,0.05701468922410876,0.0027150859700744924
lstm_calibrated,roberta,0.3329984,0.15832684804331734,0.05149220375654858,0.78,0.08033081,0.08121433776254183,0.006089115075123393
roberta_calibrated,random_noisy,0.7923002,0.4624891123268105,0.1645216189331488,0.32,0.76820993,0.46145730886188296,0.15964655879252418
roberta_calibrated,tfidf,0.64156157,0.38126866472792137,0.13286007403036598,0.58,0.35307616,0.3014307821460366,0.0625028174847412
roberta_calibrated,lstm_calibrated,0.17432226,0.13231525769612457,0.036125538292019733,0.79,0.046800774,0.07237204440717407,0.005274612111148008
roberta_calibrated,davinci,2.65284,0.38560949750804185,0.206274157742853,0.61,0.6511143,0.1945936200365975,0.027114030717889
roberta_calibrated,human,0.3395906,0.2534666499256529,0.0706372021817333,0.73,0.19507638,0.20108320898976909,0.03308633854886329
roberta_calibrated,lstm,0.246799,0.14322555411989552,0.04449173122340409,0.8,0.06931938,0.07809979457568933,0.006425596633224149
roberta_calibrated,roberta,0.02688244,0.050262920479073644,0.003910147642211809,0.99,0.021709722,0.046944904781864666,0.002365436939777021
davinci,random_noisy,0.9578899,0.5210229674575781,0.19362819480946847,0.41,0.8812165,0.5046620714786718,0.17604872167267815
davinci,tfidf,1.0719565,0.4860965314979474,0.20893916834101098,0.47,0.4456328,0.35113437611076204,0.07802976784221949
davinci,lstm_calibrated,1.4674189,0.42114533343139654,0.23377556691729895,0.5,0.31901416,0.18203929520639253,0.024542717980167203
davinci,roberta_calibrated,1.3071858,0.38560949750804185,0.206274157742853,0.61,0.28114295,0.1945936200365975,0.027114030717889
davinci,human,0.64856946,0.36985154268735787,0.13493700917873058,0.67,0.32000723,0.28283794997154615,0.052171323288496545
davinci,lstm,1.7756222,0.41930768736837426,0.24640582557841317,0.52,0.38790447,0.17098607280166966,0.025395397533472492
davinci,roberta,1.593185,0.38361206724432806,0.22055936656768585,0.61,0.2937121,0.17125958241813774,0.022960784020244793
human,random_noisy,0.51119035,0.36607962535663335,0.10412906797430964,0.38,0.4006365,0.3289996695122884,0.0782819208300854
human,tfidf,0.561338,0.3440829168293199,0.10681209368432336,0.48,0.28281876,0.2494593063804449,0.04486418592167727
human,lstm_calibrated,0.6674382,0.25217209678190194,0.07355421093117809,0.74,0.39672688,0.18936156710327504,0.028947790317207234
human,roberta_calibrated,0.6363332,0.2534666499256529,0.0706372021817333,0.73,0.43415052,0.20108320898976909,0.03308633854886329
human,davinci,2.1945775,0.36985154268735787,0.13493700917873058,0.67,1.4297634,0.28283794997154615,0.052171323288496545
human,lstm,0.8593812,0.2706870023964111,0.08179154937007793,0.73,0.5245793,0.20860623657875538,0.034236509743519876
human,roberta,0.8696759,0.28253025654458913,0.08532801037189224,0.72,0.5740837,0.21838126475418948,0.036380670483644774
lstm,random_noisy,0.8348064,0.4742065814049268,0.17343438560125293,0.39,0.74327576,0.44923104852352286,0.15443044478853693
lstm,tfidf,0.6734159,0.3917537621913991,0.1388133360903874,0.54,0.3376621,0.2977424548639647,0.05955613563227586
lstm,lstm_calibrated,0.027214723,0.06305729726868914,0.004675530384205886,0.94,0.020143772,0.05701468922410876,0.0027150859700744924
lstm,roberta_calibrated,0.22517954,0.14322555411989552,0.04449173122340409,0.8,0.044032738,0.07809979457568933,0.006425596633224149
lstm,davinci,2.9808075,0.41930768736837426,0.24640582557841317,0.52,0.5298409,0.17098607280166966,0.025395397533472492
lstm,human,0.38308886,0.2706870023964111,0.08179154937007793,0.73,0.20025954,0.20860623657875538,0.034236509743519876
lstm,roberta,0.34617183,0.15318201840421763,0.058912164220188495,0.79,0.059934966,0.06882669523215461,0.00607932281903766
roberta,random_noisy,0.87044036,0.48949511454186606,0.1799811392549242,0.32,0.8397439,0.48812733787142937,0.17389946079982174
roberta,tfidf,0.7142155,0.4057404500553345,0.14805424408746218,0.59,0.3817525,0.31631404810641556,0.06756546381513125
roberta,lstm_calibrated,0.26146948,0.15832684804331734,0.05149220375654858,0.78,0.04497027,0.08121433776254183,0.006089115075123393
roberta,roberta_calibrated,0.020522982,0.050262920479073644,0.003910147642211809,0.99,0.014998736,0.046944904781864666,0.002365436939777021
roberta,davinci,2.7582266,0.38361206724432806,0.22055936656768585,0.61,0.5149158,0.17125958241813774,0.022960784020244793
roberta,human,0.41694844,0.28253025654458913,0.08532801037189224,0.72,0.21066697,0.21838126475418948,0.036380670483644774
roberta,lstm,0.33144316,0.15318201840421763,0.058912164220188495,0.79,0.049767673,0.06882669523215461,0.00607932281903766
