snli_id,sentence1_snli,sentence2_snli,gold_label_snli,difficulty_lalor,avg_item_accuracy_lalor
2498700986.jpg#4r1n,A woman in a dress at a crosswalk.,Women walking to work,neutral,-2.162450517,0.871820956
2229737667.jpg#4r1e,Man in uniform waiting on a wall.,"Near a wall, a man in uniform is waiting.",entailment,-1.091851967,0.723296033
7017792809.jpg#1r1c,"A basketball player wearing white dribbles the ball, while being guarded by another player in a black uniform.",People don't play ball.,contradiction,-2.953571236,0.93387589
6275746867.jpg#3r1c,A person in SCUBA gear poses in front of a vast expanse of water.,A person is diving under water.,contradiction,0.157354614,0.467955239
3139393607.jpg#4r1n,The snowboarder is ready to jump.,The snowboarder is competing in a snowboarding competition.,neutral,-2.113204763,0.866734486
241347243.jpg#3r1n,Football players stand at the line of scrimmage.,The players are in uniform,neutral,-0.732475412,0.656154629
4852920753.jpg#4r1c,A man looks over a food selection at a counter.,The man is looking at pet kittens.,contradiction,-2.365413242,0.891149542
4937650592.jpg#3r1n,A motocross biker rides mid-turn in the middle of a race.,A motocross racer turns his gsxr during a race.,neutral,-0.753196594,0.660223805
374104006.jpg#0r1e,A man with a beer in his hand and people behind him.,A man holds a beer.,entailment,-3.918791771,0.972533062
3506096155.jpg#1r1e,a motorcycle rider is slightly airborne on a motocross circuit,The motorcyclist is riding.,entailment,-2.509592785,0.90335707
218442982.jpg#0r1e,A man standing in a suit wearing glasses while holding a piece of paper inside a tent.,The man is inside.,entailment,-1.679798397,0.814852492
7471071992.jpg#0r1c,Concertgoers enjoy standing in front of the stage at a musical performance.,Concertgoers are at the back of the crowd.,contradiction,-0.114059021,0.526958291
3052435954.jpg#1r1c,A just married Asian couple are wearing wedding attire and leaning against a lamp post on a boardwalk.,An Asian couple are wearing funeral attire.,contradiction,-2.009920231,0.855544252
4369593809.jpg#0r1e,Two men are pushing a small boat with fishing poles out into the water from the beach.,Two men push a boat out into the water.,entailment,-3.737017216,0.967446592
3671957239.jpg#3r1n,A street with many vendors selling products including melon.,A woman sell melons at a street stall.,neutral,-0.826647146,0.674465921
3261666285.jpg#4r1n,Guy in black uniform dribbling basketball away from guy in white uniform,Basketball player in black moments away from winning 3-point shot,neutral,-2.472171182,0.900305188
4078158395.jpg#2r1n,A man with white shorts plays in a skateboard.,Tony Hawk riding his skateboard.,neutral,-2.484536111,0.901322482
7436121372.jpg#2r1c,a beautiful sailboat out in the ocean.,The sailboat is parked in a garage.,contradiction,-3.271738029,0.950152594
4692725862.jpg#0r1e,Two young child are swimming side by side with kickboards in a pool.,Children swimming.,entailment,-3.842560786,0.970498474
2248974479.jpg#1r1c,An older man with glasses lies on the floor playing with a toddler and her toy firetruck.,The guy who is wearing glasses is a monkey and is playing with a toddler monkey.,contradiction,-1.649873024,0.810783316
2166278644.jpg#4r1c,A person is shoveling snow.,It rained today.,contradiction,-0.30303771,0.567650051
1160441615.jpg#2r1e,Three women walk through a plant covered atrium hallway.,People stroll through the atrium.,entailment,-2.836019078,0.926754832
4444360528.jpg#1r1n,A boy is standing in a swimsuit on the beach underneath a pier.,A boy is at the beach in June.,neutral,-2.411894675,0.895218718
7754645524.jpg#4r1e,A group of people have gathered in a grassy field on a sunny day.,Some people are in a field,entailment,-4.000555456,0.97456765
3251669502.jpg#2r1c,A girl takes a picture in front of a blue background with her friend.,Nobody is holding a camera.,contradiction,-0.89626666,0.687690743
