sample_id,sentence_1,sentence_2,word,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
1,We do n't segregate in this county,This neighborhood is segregated,segregate,1.0,1.0,1.0,0.0,0.998674260270389,1.998674260270389
12,yesterday 's solutions are not good enough,Yesterday 's technology,yesterday,1.0,1.0,1.0,0.0,0.9983595467168342,1.9983595467168342
25,Convention center,they received messages from several centers,center,1.0,1.0,1.0,0.0,0.9980268342560856,1.9980268342560856
17,zap the enemy,"If it 's not warm in the middle , zap it some more .",zap,0.0,0.0,1.0,1.0,0.9971511733300504,1.9971511733300504
9,pump the gas pedal,I 've pumped over 1000 gallons of water in the last ten minutes .,pump,1.0,1.0,1.0,0.0,0.9968129150719784,1.9968129150719784
38,an agony of doubt,Being in an agony he prayed more earnestly . —Luke xxii . 44 .,agony,0.0,0.0,1.0,1.0,0.8865460934075384,1.8865460934075384
28,"I pride myself on being a good judge of character , but pride goes before the fall and I 'm not a good judge of my own character so I 'm often wrong without knowing it .",He prides himself on making it into law school,pride,1.0,1.0,1.0,0.0,0.7493661598254115,1.7493661598254115
21,harness natural forces and resources,harness the horse,harness,0.0,0.0,1.0,1.0,0.6329982762407762,1.6329982762407762
48,To start a stream of water ;   to start a rumour ;   to start a business,We simply could not start the engine,start,1.0,1.0,0.5,0.0,0.9988534924425756,1.4988534924425756
35,Both philosophers concord on this point,Their ideas concorded,concord,0.0,0.0,0.5,1.0,0.9971196437090089,1.4971196437090089
3,elaborate a plan,Could you elaborate on the plot for your novel for me ?,elaborate,1.0,1.0,0.5,0.0,0.9950362065431612,1.495036206543161
29,the magnetic effect was greater when the rod was lengthwise,The effect of the hurricane was a devastated landscape .,effect,1.0,1.0,0.5,0.0,0.9798416225702063,1.4798416225702065
18,moderate your alcohol intake,moderate your speed,moderate,0.0,0.0,0.5,1.0,0.8533738251113949,1.353373825111395
14,work equals force times distance,Work is done against friction to drag a bag along the ground .,work,1.0,1.0,0.5,0.0,0.6971136538757438,1.1971136538757436
46,I had a strange feeling in my leg,he had a queasy feeling,feeling,1.0,1.0,0.5,0.0,0.6909734075249029,1.1909734075249028
11,that salesman must have practiced his fast line of talk,` let me show you my etchings ' is a rather worn line,line,1.0,1.0,0.5,0.0,0.621475742104917,1.1214757421049169
