,sample_id,pred_label,gold_confidence,confidence
0,0,1,0.73,0.73
1,1,1,0.94,0.94
2,2,1,0.16,0.76
3,3,1,0.4,0.4
4,4,-1,0.3,0.41
5,5,1,0.91,0.91
6,6,1,0.85,0.85
7,7,1,0.47,0.47
8,8,1,0.81,0.81
9,9,1,0.9,0.9
10,10,1,0.45,0.45
11,11,1,0.61,0.61
12,12,-1,0.35,0.44
13,13,1,0.87,0.87
14,14,1,0.87,0.87
15,15,1,0.96,0.96
16,16,1,0.94,0.94
17,17,1,0.86,0.86
18,18,1,0.67,0.67
19,19,1,0.78,0.78
20,20,1,0.55,0.55
21,21,1,0.93,0.93
22,22,-1,0.79,0.79
23,23,1,0.57,0.57
24,24,1,0.17,0.73
25,25,1,0.8,0.8
26,26,1,0.89,0.89
27,27,1,0.5,0.5
28,28,1,0.7,0.7
29,29,1,0.89,0.89
30,30,-1,0.33,0.56
31,31,1,0.46,0.46
32,32,1,0.54,0.54
33,33,1,0.26,0.4
34,34,1,0.59,0.59
35,35,1,0.81,0.81
36,36,1,0.74,0.74
37,37,1,0.73,0.73
38,38,1,0.84,0.84
39,39,1,0.83,0.83
40,40,1,0.85,0.85
41,41,-1,0.32,0.34
42,42,-1,0.4,0.4
43,43,-1,0.7,0.7
44,44,-1,0.64,0.64
45,45,-1,0.61,0.61
46,46,-1,0.82,0.82
47,47,-1,0.57,0.57
48,48,-1,0.48,0.48
49,49,1,0.71,0.71
50,50,-1,0.51,0.51
51,51,-1,0.57,0.57
52,52,1,0.87,0.87
53,53,-1,0.64,0.64
54,54,1,0.35,0.38
55,55,-1,0.21,0.63
56,56,1,0.27,0.49
57,57,-1,0.91,0.91
58,58,1,0.21,0.45
59,59,-1,0.51,0.51
60,60,-1,0.38,0.38
61,61,-1,0.28,0.62
62,62,-1,0.59,0.59
63,63,-1,0.29,0.54
64,64,-1,0.64,0.64
65,65,-1,0.76,0.76
66,66,-1,0.75,0.75
67,67,-1,0.31,0.47
68,68,-1,0.83,0.83
69,69,-1,0.3,0.55
70,70,-1,0.82,0.82
71,71,-1,0.2,0.73
72,72,-1,0.73,0.73
73,73,-1,0.3,0.52
74,74,1,0.35,0.46
75,75,-1,0.8,0.8
76,76,-1,0.69,0.69
77,77,-1,0.36,0.36
78,78,-1,0.23,0.41
79,79,-1,0.72,0.72
80,80,-1,0.4,0.4
81,81,1,0.45,0.45
82,82,-1,0.53,0.53
83,83,-1,0.71,0.71
84,84,-1,0.58,0.58
85,85,-1,0.56,0.56
86,86,1,0.56,0.56
87,87,1,0.77,0.77
88,88,1,0.36,0.48
89,89,-1,0.36,0.36
90,90,0,0.38,0.38
91,91,-1,0.7,0.7
92,92,1,0.22,0.41
93,93,1,0.32,0.41
94,94,1,0.22,0.55
95,95,-1,0.2,0.73
96,96,-1,0.62,0.62
97,97,-1,0.33,0.34
98,98,1,0.47,0.47
