response_ID,model0_score,model1_score,model2_score,model3_score,model4_score,human_score,instead_of_you,cooperation,it_is_a_human,it_is_a_machine,opinions,user_accuracy
R_324lbjYTy6KMNVe,0.0,2.0,0.0,31.0,12.0,5.0,Probably not,Probably yes,Probably not,Probably yes,"The only place where I ""failed"" and the agent ""succeeded"" was the ""man and dog are on a boat"" task. There is no contradiction if the man is eating a carrot. Any human being would agree with this. That's why the agent is a machine.",0.9
R_2pWz7byNV7wJRob,0.0,2.0,0.0,29.0,16.0,3.0,Probably yes,Definitely yes,Might or might not,Might or might not,,0.78
R_2V2Q3CXzudrFBAr,2.0,6.0,0.0,23.0,12.0,7.0,Probably yes,Might or might not,Might or might not,Probably yes,Might be human because I think in some statements the agent gives very sharp probabilites where there might not be any conclusion from said statement,0.72
R_25QLJGcowoqrmtO,0.0,3.0,1.0,24.0,19.0,3.0,Probably yes,Definitely yes,Probably not,Probably yes,Because it did not overthink and seemed to be logical and consistent. ,0.8
R_2WYdHoGgrNwnoI5,4.0,3.0,9.0,24.0,7.0,3.0,Probably not,Probably yes,Definitely yes,Probably not,The errors made me believe that the agent is human.,0.8
R_2OV0AWKlyEyPtzA,0.0,3.0,0.0,30.0,12.0,5.0,Probably yes,Definitely yes,Probably not,Probably yes,"I believe that the agent is a machine. I am saying this due to our different answers. In some cases it seems that the agent eliminated some options extremely, however I believe a human would have some doubts and wouldn't pick such answers.",0.76
R_2f38uVLUbf0ItDs,0.0,4.0,1.0,24.0,11.0,10.0,Might or might not,Probably not,Might or might not,Probably yes,Someone might have found it funny to say hey dogs are humping each other.,0.88
R_21zxkYMVBYcaVwt,0.0,3.0,1.0,22.0,10.0,14.0,Probably yes,Definitely yes,Probably not,Probably yes,Because I believe that if it was a human I think agent would have more common answers with me.,0.84
R_30da7RZjnx8EvNq,1.0,5.0,2.0,29.0,9.0,4.0,Probably yes,Probably yes,Probably yes,Probably yes,"I think the agent is a machine because there were to many variables in some problems, and even though complicated the ultimate answer to it could be certain. Since the agrnt gave it probabilistic answers rather than straight forward, I think the agent is a machine",0.86
R_3g7rGX0NEuJvnkN,0.0,2.0,0.0,26.0,14.0,8.0,Might or might not,Definitely yes,Probably not,Probably yes,The questions I got wrong and the agent got right are all ones where it is 99% contradicting so I think it is a machine.,0.8
R_1r9tIaMptk9kokq,1.0,5.0,0.0,27.0,9.0,8.0,Probably yes,Probably yes,Probably yes,Probably yes,"In the same answers, the difference is most likely the ratio for each option. In different answers the approach is completely different in my side. Otherwise similar to me. Because of the ratio difference the model can be both human or machine. It is also related to the confidence of a human to choose the ratio. ",0.78
R_2aOAcW52U9IsWoX,2.0,2.0,0.0,33.0,7.0,6.0,Definitely yes,Probably yes,Might or might not,Might or might not,"I don't know, I am in the middle. It might be a machine or human.",0.88
R_3iIRtxpWmysrDU4,0.0,2.0,0.0,24.0,21.0,3.0,Probably not,Definitely yes,Probably not,Probably yes,I think the answers of this agent is too objective to be a human,0.86
R_3rMrr7Rj0IZxEUu,5.0,6.0,9.0,18.0,8.0,4.0,Probably yes,Probably yes,Probably not,Probably yes,This is probably a machine because way of thinking is too strict,0.74
R_21odWKQ4pmmcmkk,0.0,4.0,3.0,26.0,12.0,5.0,Probably yes,Probably yes,Might or might not,Probably yes,"I dont think it is a human, beacuse it gives very strict answers",0.82
