sample_id,sentence,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,agg_human_label,agg_human_confidence,domain
0,"If Sam was going, Sally would know where.",1.0,1.0,0.5,1.0,0.7893692564964294,1.0,0.9991081357002258,1.0,0.8,out
1,"She mailed John a letter, but I don't know to whom.",0.0,0.0,0.5,0.0,0.7464202752709389,0.0,0.9976814985275269,0.0,1.0,out
2,I served my guests.,1.0,1.0,0.5,1.0,0.9120778185129166,1.0,0.9991881251335144,1.0,1.0,out
3,"She was bathing, but I couldn't make out who.",0.0,1.0,0.5,0.0,0.554916478395462,0.0,0.9986180067062378,0.0,1.0,out
4,"John was tall, but I don't know on what occasions.",0.0,1.0,0.5,0.0,0.5802423971891403,1.0,0.997516393661499,0.0,1.0,out
5,"I know that Meg's attracted to Harry, but they don't know who.",0.0,0.0,0.5,0.0,0.5048615249991417,0.0,0.998306155204773,0.0,1.0,out
6,Everyone relies on someone. It's unclear who.,1.0,1.0,0.5,1.0,0.7853693512082099,1.0,0.999289870262146,1.0,0.6,out
7,"The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.",1.0,0.0,0.5,1.0,0.7913628053665162,1.0,0.9955910444259644,1.0,0.8,out
8,"Everybody gets on well with a certain relative, but often only his therapist knows which one.",1.0,1.0,0.5,1.0,0.7757225733995438,1.0,0.9978825449943542,1.0,0.8,out
9,"He announced he had eaten the asparagus, but we didn't know what.",0.0,1.0,0.5,1.0,0.8843035185337067,1.0,0.9793197512626648,0.0,1.0,out
10,She talked to John or Mary but I don't know which.,1.0,0.0,0.5,1.0,0.7736991661787033,1.0,0.9964654445648192,1.0,1.0,out
11,She talked to John or Mary but I don't know which one.,1.0,1.0,0.5,1.0,0.7288441026210785,1.0,0.9962081909179688,1.0,1.0,out
12,"Meg is attracted to Harry, but they don't know who she is attracted to.",1.0,1.0,0.5,1.0,0.9455337250232696,1.0,0.9130776524543762,0.0,0.6,out
13,What did you leave before they started playing?,0.0,0.0,0.5,0.0,0.6337805530428886,0.0,0.9963601231575012,0.0,1.0,out
14,"I think Agnes said that Bill would speak, but I don't remember what about.",1.0,0.0,0.5,0.0,0.7471857243776321,1.0,0.997865617275238,1.0,1.0,out
15,"Tony sent Mo a picture that he painted, but it's not clear with what.",0.0,0.0,0.5,0.0,0.7706352484226227,1.0,0.9929513335227966,1.0,0.8,out
16,Who did they see someone?,0.0,0.0,0.5,0.0,0.9025153648853302,0.0,0.9989977478981018,0.0,1.0,out
17,The book was by John written.,0.0,1.0,0.5,0.0,0.9482362723350524,0.0,0.9875292778015136,0.0,1.0,out
18,The book was seen by Mary.,1.0,1.0,0.5,1.0,0.7082078671455383,1.0,0.9990022778511048,1.0,1.0,out
19,Mary was given by John the book.,0.0,1.0,0.5,0.0,0.9110889077186584,0.0,0.999061405658722,0.0,1.0,out
20,John was believed to be telling the truth by Mary.,1.0,0.0,0.5,1.0,0.8655115246772767,1.0,0.9986984729766846,1.0,0.8,out
21,John was believed by Mary to be telling the truth.,1.0,1.0,0.5,1.0,0.9324105310440064,1.0,0.9985565543174744,1.0,1.0,out
22,The car was driven by John to Maine.,1.0,0.0,0.5,1.0,0.9744104027748108,1.0,0.9992456436157228,1.0,1.0,out
23,Chocolate eggs were hidden from each other by the children.,0.0,1.0,0.5,1.0,0.9345452058315276,1.0,0.9983912110328674,0.0,0.8,out
24,Books were taken from no student and given to Mary.,1.0,1.0,0.5,1.0,0.5981491535902024,0.0,0.9927022457122804,0.0,1.0,out
25,"Bill ate the peaches, but Harry the grapes.",0.0,1.0,0.5,1.0,0.5148153045773506,1.0,0.9962015748023988,1.0,0.8,out
26,Bill ate the peaches and Harry did the grapes.,0.0,1.0,0.5,1.0,0.9269220638275146,1.0,0.9953304529190063,0.0,0.8,out
27,"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",0.0,1.0,0.5,0.0,0.6911087590456009,1.0,0.9426060914993286,0.0,1.0,out
28,Jerry attempted to blow up the Pentagon.,1.0,1.0,0.5,1.0,0.9852299761772156,1.0,0.9993044137954712,1.0,1.0,out
29,"Bill bought a red house, and Max bought one too.",1.0,1.0,0.5,1.0,0.929824281334877,1.0,0.9980448484420776,1.0,1.0,out
30,I know the person whose mother died.,1.0,1.0,0.5,1.0,0.6240539392828941,1.0,0.99836927652359,1.0,1.0,out
31,Bother you that Kim left!,0.0,0.0,0.5,0.0,0.8481574553251267,1.0,0.6374722123146057,0.0,1.0,out
32,"Mary arranged for, in St. Louis, John to rent a house cheap.",0.0,1.0,0.5,0.0,0.8297113978862762,0.0,0.9991720914840698,0.0,0.6,out
33,I wonder in whom them to place their trust.,0.0,1.0,0.5,0.0,0.8949854362010956,0.0,0.9988977909088136,0.0,1.0,out
34,I wonder whom us to trust.,0.0,1.0,0.5,0.0,0.9156701278686524,0.0,0.9988645315170288,0.0,1.0,out
35,"Jones, that we were talking to last night, always watches football games alone.",0.0,0.0,0.5,0.0,0.6075174185633659,0.0,0.9763739705085754,0.0,0.8,out
36,A letter was received that Jones would be upset by.,1.0,1.0,0.5,1.0,0.7627543711662292,1.0,0.9985740184783936,1.0,1.0,out
37,The only person whose kids Dana is willing to put up with was written by John.,0.0,1.0,0.5,0.0,0.897771487236023,0.0,0.9929516911506652,0.0,1.0,out
38,The book that I like - everyone else in the class hates.,0.0,0.0,0.5,1.0,0.912551007270813,1.0,0.9979572296142578,1.0,0.8,out
39,"Which book's, author did you meet who you liked?",0.0,0.0,0.5,0.0,0.8035933065414429,0.0,0.9989492297172546,0.0,0.6,out
40,All who lost money in the scam are eligible for the program.,1.0,1.0,0.5,1.0,0.9421036124229432,1.0,0.9983024597167968,1.0,1.0,out
41,Who for Sandy to talk to is still enrolled in the class?,0.0,1.0,0.5,0.0,0.8808241093158722,0.0,0.998865246772766,0.0,1.0,out
42,The only people being added to our group who were at Harvard were students.,1.0,1.0,0.5,1.0,0.559518628641963,1.0,0.9969176054000854,1.0,1.0,out
43,Leslie told ourselves about us.,0.0,1.0,0.5,0.0,0.9284284818172456,0.0,0.9992077946662904,0.0,1.0,out
44,Those pictures of us offended us.,1.0,0.0,0.5,1.0,0.9403282356262208,1.0,0.999093532562256,1.0,1.0,out
45,We admired the pictures of us in the album.,1.0,1.0,0.5,1.0,0.802302887737751,1.0,0.9975645542144777,1.0,1.0,out
46,We admired the pictures of ourselves in the album.,1.0,1.0,0.5,1.0,0.8407651484012604,1.0,0.9973984956741332,1.0,1.0,out
47,Max is on the phone now.,1.0,1.0,0.5,1.0,0.9866927254199982,1.0,0.9990360736846924,1.0,1.0,out
48,They lost themselves' books.,0.0,1.0,0.5,0.0,0.8777524447441101,0.0,0.9993556141853333,0.0,1.0,out
49,I noticed the.,0.0,1.0,0.5,0.0,0.6802465659379959,1.0,0.9910552501678468,0.0,1.0,out
50,This is my favorite.,1.0,0.0,0.5,1.0,0.9506777119636536,1.0,0.9995248317718506,1.0,1.0,out
51,Some people yell at the dogs.,1.0,1.0,0.5,1.0,0.9840105772018432,1.0,0.9995757937431335,1.0,1.0,out
52,The teacher handed the student.,0.0,0.0,0.5,0.0,0.9097188234329224,0.0,0.9984769225120544,0.0,1.0,out
53,The bird sing.,0.0,0.0,0.5,0.0,0.6043982166051864,1.0,0.7994620203971863,0.0,1.0,out
54,I was already aware of fact.,0.0,1.0,0.5,0.0,0.5879393261671066,0.0,0.9957234859466552,0.0,1.0,out
55,The guests dined.,1.0,0.0,0.5,1.0,0.9663792383670808,1.0,0.9996293783187866,1.0,1.0,out
56,We relied on Leslie.,1.0,1.0,0.5,1.0,0.968799899816513,1.0,0.9993946552276612,1.0,1.0,out
57,Newsweek appeared on the newsstands.,1.0,1.0,0.5,1.0,0.9472644877433776,1.0,0.999478042125702,1.0,1.0,out
58,The book surprised many people.,1.0,1.0,0.5,1.0,0.9694834411144256,1.0,0.9993007183074952,1.0,1.0,out
59,The storm arrived while we ate lunch.,1.0,0.0,0.5,1.0,0.8623130792379379,1.0,0.9985415935516356,1.0,0.8,out
60,These dogs barked.,1.0,1.0,0.5,1.0,0.8701907539367676,1.0,0.9995111227035522,1.0,1.0,out
61,The cat slept soundly and furry.,0.0,0.0,0.5,1.0,0.5660645580291748,0.0,0.9945318698883056,0.0,1.0,out
62,"Chris walks, Pat eats broccoli, and Sandy plays squash.",1.0,1.0,0.5,1.0,0.9276316010951996,1.0,0.9978899359703064,1.0,1.0,out
63,Nobody told Susan about herself.,1.0,0.0,0.5,0.0,0.8119720900058747,1.0,0.9991680383682252,1.0,0.8,out
64,Protect yourself!,1.0,1.0,0.5,1.0,0.980706934928894,1.0,0.9996956586837769,1.0,1.0,out
65,the putter of books left.,0.0,0.0,0.5,0.0,0.6312978434562683,0.0,0.998974084854126,0.0,0.6,out
66,The cat was bitten the mouse.,0.0,1.0,0.5,0.0,0.8964509129524231,0.0,0.9991151690483092,0.0,0.8,out
67,Chris was handed Sandy a note by Pat.,0.0,0.0,0.5,0.0,0.8545974487066269,0.0,0.9992141723632812,0.0,1.0,out
68,The patient died.,1.0,1.0,0.5,1.0,0.9877631175518036,1.0,0.9994342923164368,1.0,1.0,out
69,TV puts dumb ideas.,0.0,0.0,0.5,0.0,0.8122391521930694,0.0,0.998969554901123,0.0,1.0,out
70,There is a monster in Loch Ness.,1.0,1.0,0.5,1.0,0.9768174397945404,1.0,0.999442994594574,1.0,1.0,out
71,People are looking through the window.,1.0,0.0,0.5,1.0,0.9848578715324402,1.0,0.999107301235199,1.0,1.0,out
72,It never occurred to Pat that Chris knew the answer.,1.0,0.0,0.5,1.0,0.9858181512355804,1.0,0.9992058873176576,1.0,1.0,out
73,It loved Sandy.,0.0,1.0,0.5,0.0,0.698333798199892,0.0,0.9987144470214844,1.0,1.0,out
74,We forgot our invitations.,1.0,0.0,0.5,1.0,0.9780780506134034,1.0,0.9993003606796264,1.0,1.0,out
75,Advantage is taken of every opportunity for improvement.,1.0,1.0,0.5,0.0,0.735194776058197,1.0,0.9993071556091307,0.0,0.8,out
76,The bucket was kicked by Pat.,1.0,0.0,0.5,1.0,0.92278963804245,1.0,0.9988962411880492,1.0,1.0,out
77,John is sad.,1.0,0.0,0.5,1.0,0.9698111867904664,1.0,0.9994144439697266,1.0,1.0,out
