sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label_1,label_2,label_3,pred_label,softmax_entropy,confidence
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,0.002023930661380291,0.9429366588592529,0.05503937602043152,contradiction,0.32829277770463555,0.9429366588592529
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.9258924722671509,0.0009161178604699671,0.07319138199090958,entailment,0.3881881582733254,0.9258924722671509
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9831142425537109,0.0003768097376450896,0.016509007662534714,entailment,0.12618329699499573,0.9831142425537109
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.002088247099891305,0.2527822256088257,0.7451295256614685,neutral,0.8363814247218131,0.7451295256614685
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.005250540096312761,0.005114634055644274,0.9896348118782043,neutral,0.09356829386555589,0.9896348118782043
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.03517507389187813,0.870911717414856,0.09391316771507263,contradiction,0.664013632263932,0.870911717414856
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,0.015453945845365524,0.19405753910541534,0.7904885411262512,neutral,0.8201219867591326,0.7904885411262512
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9818534255027771,0.00037653668550774455,0.017769990488886833,entailment,0.13354606675406167,0.9818534255027771
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.0076204645447432995,0.03691725432872772,0.9554622769355774,neutral,0.29212853600151084,0.9554622769355774
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9750165939331055,0.0005184225155971944,0.02446497604250908,entailment,0.17221163392203048,0.9750165939331055
10,2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,-1.33186925978517,0.7766393442622951,86.2,6.0,21,111,0.00397299462929368,0.15064333379268646,0.8453837037086487,neutral,0.6479172667112234,0.8453837037086487
11,5635975939.jpg#3r1c,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,0.327321146263317,0.4252049180327868,78.75,6.0,19,108,0.0006788898608647287,0.9949971437454224,0.004323972854763269,contradiction,0.04830252481131796,0.9949971437454224
12,4900546628.jpg#2r1n,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,-1.19853076001311,0.7540983606557377,92.12,6.0,26,134,0.0025537502951920033,0.8374032378196716,0.16004300117492676,contradiction,0.6594444194690718,0.8374032378196716
13,7786624414.jpg#2r1c,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,-0.911334779346956,0.7008196721311475,84.17,5.0,25,130,0.00026374045410193503,0.9992146492004395,0.0005216486169956625,contradiction,0.009956521828724623,0.9992146492004395
14,2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,0.131191355265525,0.4702868852459016,99.06,3.0,29,134,0.0015845183515921235,0.9803596138954163,0.0180558729916811,contradiction,0.14736234263085174,0.9803596138954163
15,2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,-1.61501394452806,0.819672131147541,83.15,6.0,27,140,0.0014032113831490278,0.0010153764160349965,0.9975813627243042,neutral,0.02688003911590628,0.9975813627243042
16,4937760948.jpg#4r1e,A girl is holding a camera and making a hand gesture.,A girl holds a camera.,entailment,-3.98274862480943,0.9784836065573772,88.74,3.0,16,76,0.9893386960029602,0.00040026698843576014,0.010260950773954391,entailment,0.0876072621908186,0.9893386960029602
17,75204250.jpg#2r1n,A man posing with a antique sewing machine.,He is a sewer.,neutral,-1.88410835880238,0.8545081967213115,90.77,2.0,12,58,0.1157904863357544,0.004979299381375313,0.8792302012443542,neutral,0.5615086369508162,0.8792302012443542
18,2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,-2.07720861227919,0.8760245901639344,90.26,3.0,13,67,0.0009375076042488217,0.0011987840989604592,0.9978637099266052,neutral,0.024142256930362756,0.9978637099266052
19,2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,0.0384307516550445,0.4918032786885246,82.31,3.0,12,64,0.0018389112083241343,0.33183449506759644,0.6663265824317932,neutral,0.9350793616563053,0.6663265824317932
20,4351734575.jpg#0r1e,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,0.763229378915494,0.3299180327868852,84.17,5.0,25,130,0.9848985075950623,0.002743192482739687,0.012358413077890873,entailment,0.123298132165617,0.9848985075950623
21,7067778185.jpg#2r1e,Two men and a woman are inspecting the front tire of a bicycle.,There are a group of people near a bike.,entailment,-1.93676687534496,0.860655737704918,85.69,6.0,22,104,0.9802582263946533,0.0005824707914143801,0.01915920339524746,entailment,0.1437761196997805,0.9802582263946533
22,4923755473.jpg#1r1n,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,-1.1234469428653,0.7407786885245902,79.77,4.0,17,91,0.9484458565711975,0.0027229641564190388,0.04883120208978653,entailment,0.30833849555186155,0.9484458565711975
23,956164675.jpg#2r1e,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,-0.523092234344364,0.6198770491803278,88.23,6.0,17,78,0.39270898699760437,0.007192469201982021,0.6000985503196716,neutral,1.022870421614155,0.6000985503196716
24,3590653633.jpg#4r1c,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,0.622663278953605,0.3596311475409836,90.26,3.0,13,73,0.0008666451903991401,0.9961013793945312,0.0030320442747324705,contradiction,0.03979393523138269,0.9961013793945312
25,3469609037.jpg#1r1n,A boy does a skateboarding trick in the air while holding the board with his left hand.,A sad boy does a skateboarding trick in the air while holding the board with his left hand.,neutral,-1.62233102085706,0.8206967213114754,87.55,6.0,35,179,0.0014248295919969678,0.0011865418637171388,0.9973886609077454,neutral,0.028766270646505148,0.9973886609077454
26,87938334.jpg#1r1e,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,-0.704480583986331,0.6588114754098361,94.66,3.0,21,102,0.807041585445404,0.006095777731388807,0.18686269223690033,entailment,0.7466568191498509,0.807041585445404
27,3309042087.jpg#4r1n,A scene of snow and water.,a snow and water scene at sunset,neutral,-1.46801469540934,0.798155737704918,98.72,0.0,13,59,0.0014227050123736262,0.0018862541764974594,0.9966909885406494,neutral,0.03529173624575176,0.9966909885406494
28,7060264119.jpg#2r1c,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,0.0516687497760844,0.4887295081967213,94.15,5.0,22,113,0.03201594948768616,0.9218747019767761,0.046109460294246674,contradiction,0.4718205937147632,0.9218747019767761
29,3386694897.jpg#3r1e,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,-2.18969460684385,0.8872950819672131,98.21,0.0,14,64,0.7535262107849121,0.001263543963432312,0.24521023035049438,entailment,0.8170722430374887,0.7535262107849121
