sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,num_trues,num_falses,true_machs,false_machs
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.5015353121801432,0.0,6.0,[],"[0, 1, 2, 3, 4, 5]"
20,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,neutral,0.6264073694984647,4.0,2.0,"[1, 2, 3, 4]","[0, 5]"
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,entailment,0.6192425793244627,2.0,4.0,"[2, 5]","[0, 1, 3, 4]"
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.6980552712384852,3.0,3.0,"[0, 4, 5]","[1, 2, 3]"
32,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.7379733879222109,2.0,4.0,"[2, 3]","[0, 1, 4, 5]"
35,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,neutral,0.6653019447287615,2.0,4.0,"[2, 4]","[0, 1, 3, 5]"
37,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.5005117707267144,3.0,3.0,"[0, 4, 5]","[1, 2, 3]"
41,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,entailment,0.5568065506653019,3.0,3.0,"[1, 3, 4]","[0, 2, 5]"
42,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,neutral,0.4882292732855681,3.0,3.0,"[0, 2, 3]","[1, 4, 5]"
43,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,contradiction,0.5414534288638689,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
45,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.8628454452405322,6.0,0.0,"[0, 1, 2, 3, 4, 5]",[]
49,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,neutral,0.7993858751279427,4.0,2.0,"[0, 3, 4, 5]","[1, 2]"
50,A picture of two little boys holding books.,A picture of children with books.,entailment,entailment,0.9672466734902764,5.0,1.0,"[0, 1, 2, 3, 5]",[4]
51,"A woman in her early fifties walks by herself in the subway, another woman is not far behind.",back in the fifties a woman could walk by herself in the subway.,contradiction,neutral,0.6704196519959058,1.0,5.0,[0],"[1, 2, 3, 4, 5]"
52,"A man is standing in what appears to be a parking lot and shaving his face, while his dog looks at the ground near his feet.",A women is walking with a man,contradiction,contradiction,0.5721596724667349,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
53,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,neutral,0.617195496417605,5.0,1.0,"[0, 1, 2, 3, 4]",[5]
54,A young girl in a pink shirt sitting on a dock viewing a body of water.,An old woman viewing a body of water.,contradiction,contradiction,0.6939611054247697,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
55,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,entailment,0.9437052200614124,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
56,"Two cyclists, in yellow, are competing in a race.",A Mustang and a Corvette are competing in a drag race.,contradiction,contradiction,0.6888433981576254,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
57,The backside of a woman leaning against the guard rail of a passenger boat looking out at the open ocean.,The woman is driving her car on the highway.,contradiction,contradiction,0.8607983623336745,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
58,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,contradiction,0.6141248720573184,5.0,1.0,"[0, 1, 2, 3, 5]",[4]
59,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,neutral,0.924257932446264,5.0,1.0,"[0, 1, 2, 3, 5]",[4]
60,This man is walking past a wall that has art on it.,A man walks past a wall mural.,entailment,entailment,0.5844421699078812,1.0,5.0,[5],"[0, 1, 2, 3, 4]"
61,A black dog has just jumped into a swimming pool.,A dog jumped into a pool to cool off.,neutral,neutral,0.6693961105424769,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
63,there is a lady standing and six people laying on a gym floor.,There are seven people in the gym.,entailment,entailment,0.7922210849539406,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
64,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,entailment,0.8781985670419652,4.0,2.0,"[2, 3, 4, 5]","[0, 1]"
65,A biker pops a wheelie along side the colorful wall.,A person is riding a bike near a wall.,entailment,entailment,0.9273285568065508,6.0,0.0,"[0, 1, 2, 3, 4, 5]",[]
66,A street vendor selling cupcakes.,There is a person outside in this picture,entailment,entailment,0.4923234390992835,4.0,2.0,"[1, 2, 3, 5]","[0, 4]"
67,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,neutral,0.7512794268167861,4.0,2.0,"[2, 3, 4, 5]","[0, 1]"
68,A couple kissing in front of a black Mercedes Benz limousine,A couple kissing in front of a car,entailment,entailment,0.9611054247697032,4.0,2.0,"[0, 2, 3, 5]","[1, 4]"
69,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,entailment,0.9355168884339816,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
70,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,contradiction,0.6008188331627431,5.0,1.0,"[0, 1, 2, 3, 5]",[4]
71,a poor looking person with white cream smeared around his eyes sitting on a backpack.,A dirty man with some product under his eyes is sitting on a pillow.,contradiction,contradiction,0.5670419651995906,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
72,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,neutral,0.8802456499488229,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
73,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,entailment,0.9795291709314228,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
74,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,neutral,0.6438075742067554,5.0,1.0,"[1, 2, 3, 4, 5]",[0]
75,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,entailment,entailment,0.8311156601842374,4.0,2.0,"[0, 3, 4, 5]","[1, 2]"
76,A football team wearing purple and white trying to stop the runner with the ball.,Lacrosse players celebrate a victory.,contradiction,contradiction,0.646878198567042,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
77,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,entailment,0.9119754350051176,3.0,3.0,"[2, 3, 5]","[0, 1, 4]"
