sample_id,snli_id,sentence_1,sentence_2,label,item_difficulty,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label_1,label_2,label_3,pred_label,softmax_entropy,confidence
0,1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,-1.75982247491244,0.8391393442622951,78.75,6.0,19,101,0.005680924281477928,0.2319573312997818,0.7623617649078369,neutral,0.8297880356695531,0.7623617649078369
1,3626964430.jpg#0r1e,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,-2.1790869834078,0.8862704918032787,94.15,5.0,22,118,0.93353670835495,0.0007798264850862324,0.06568346917629242,entailment,0.3587042047348237,0.93353670835495
2,4576144189.jpg#3r1e,Some people hanging out on a large backyard deck.,people hanging out on deck,entailment,-3.13717793250355,0.951844262295082,81.29,3.0,14,76,0.9373283386230469,0.0008307333919219673,0.06184088811278343,entailment,0.34433225638861564,0.9373283386230469
3,507370108.jpg#3r1n,A group of dancers are performing.,The audience is silent.,neutral,-1.98210490343004,0.8657786885245902,83.32,3.0,10,58,0.0008162052254192531,0.9895133376121521,0.009670481085777283,contradiction,0.08813951387650412,0.9895133376121521
4,3361210233.jpg#0r1n,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,-0.280871833963571,0.5655737704918032,93.14,4.0,24,118,0.014650166034698486,0.00155014474876225,0.9837996959686279,neutral,0.12691242155618254,0.9837996959686279
5,3512127856.jpg#2r1n,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,-1.40847862599424,0.7889344262295082,79.77,4.0,17,93,0.006595160812139511,0.8481274247169495,0.14527736604213715,contradiction,0.6536568515851655,0.8481274247169495
6,6775386430.jpg#1r1n,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,0.962349262458267,0.2899590163934426,87.21,4.0,19,95,0.011529048904776573,0.6917175650596619,0.2967534363269806,contradiction,0.9621569920841911,0.6917175650596619
7,3433982387.jpg#1r1n,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,-3.76147309861573,0.9733606557377048,86.2,4.0,21,113,0.9873722791671753,0.0006320860120467842,0.011995652690529823,entailment,0.10136840597601109,0.9873722791671753
8,358127240.jpg#4r1n,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,-1.17515875979249,0.75,103.12,2.0,21,99,0.015130910091102123,0.2384852021932602,0.7463839054107666,neutral,0.899662692401092,0.7463839054107666
9,4919196839.jpg#0r1e,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,-3.42068383007488,0.9631147540983608,96.18,4.0,18,83,0.9417433142662048,0.0004744518082588911,0.05778224766254425,entailment,0.3244598356755086,0.9417433142662048
