,paragraph_id,sentence_id,content,labels,binary_labels,flesch_score_manual,flesch_score_textstat,mean_grade_level_textstat,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_trts,max_of_trts,min_of_trts,median_of_trts,mean_of_omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupilSizes,max_of_pupilSizes,min_of_pupilSizes,median_of_pupilSizes,mean_of_average_fixation_duration,max_of_average_fixation_duration,min_of_average_fixation_duration,median_of_average_fixation_duration,number_of_words,number_of_characters,number_of_syllables,zab_item_accuracy,zdm_item_accuracy,zdn_item_accuracy,zjm_item_accuracy,zjn_item_accuracy,zjs_item_accuracy,zkh_item_accuracy,zkw_item_accuracy,zmg_item_accuracy,average_sentence_accuracy
0,38.0,1.0,"He won the Gold Medal of the Royal Astronomical Society in 1892, and also later served as president of that organization.",AWARD,1.0,40.4914285714286,41.7,11.0,26.11111111111111,44.0,9.0,24.0,2982.8888888888887,5356.0,898.0,2166.0,0.31746031746031744,0.6190476190476191,0.09523809523809523,0.3333333333333333,1055.9206214169578,1633.2307692307693,633.75,1078.9605263157894,110.76813807524405,134.46875,83.29166666666667,110.70967741935483,21.0,121.0,36.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
1,41.0,1.0,"Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.",AWARD,1.0,36.40785714285718,59.98,12.0,29.0,45.0,10.0,26.0,3378.5555555555557,6227.0,1082.0,2421.0,0.3134920634920635,0.6428571428571429,0.10714285714285714,0.32142857142857145,1067.447659088341,1784.6458333333333,686.3444444444444,1005.0253623188407,112.34164230830896,148.26190476190476,93.11538461538461,107.14285714285714,28.0,166.0,47.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
2,50.0,2.0,President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,AWARD,1.0,22.995909090909095,40.69,13.0,23.88888888888889,48.0,13.0,19.0,2680.222222222222,5688.0,1250.0,2215.0,0.3080808080808081,0.5454545454545454,0.045454545454545456,0.3181818181818182,1044.0669494289011,1783.4,622.2878787878788,1020.9166666666666,109.10052791046944,132.16666666666666,89.85714285714286,106.33333333333333,22.0,135.0,42.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
3,123.0,5.0,The book was awarded the 1957 Pulitzer Prize for Biography.,AWARD,1.0,52.86500000000001,78.25,5.0,11.444444444444445,18.0,6.0,11.0,1407.111111111111,2505.0,658.0,1240.0,0.2888888888888889,0.5,0.0,0.2,1033.0212757201646,1770.6666666666665,576.75,977.05,120.3165824915825,191.6153846153846,92.2,109.66666666666667,10.0,59.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
4,4.0,2.0,"The Foundation has grown immensely and, by 1950, had become national and international in scope.",CONTROL,2.0,28.05000000000001,47.79,12.0,16.0,28.0,8.0,16.0,1910.0,3350.0,679.0,1456.0,0.3037037037037037,0.5333333333333333,0.06666666666666667,0.26666666666666666,1093.3050915905085,1737.25,671.7142857142857,1029.7272727272727,115.34004729838063,145.22727272727272,80.88888888888889,118.625,15.0,96.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,124.0,1.0,"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.",AWARD,1.0,26.84136363636364,40.69,14.0,27.444444444444443,78.0,10.0,20.0,3114.3333333333335,9747.0,928.0,1879.0,0.292929292929293,0.5909090909090909,0.045454545454545456,0.36363636363636365,1045.051047148204,1662.0,657.5416666666666,1059.9710317460317,106.72274278585442,134.3939393939394,89.35,100.06666666666666,22.0,145.0,41.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
6,138.0,1.0,"Sir Andrew Fielding Huxley, OM, FRS (born 22 November 1917, Hampstead, London, England, UK) is a British physiologist and biophysicist, who won the 1963 Nobel Prize in Physiology or Medicine for his work with Alan Lloyd Hodgkin on the basis of nerve ""action potentials,"" the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system.",AWARD,1.0,-2.0982258064515804,8.55,28.0,46.888888888888886,86.0,19.0,29.0,5422.777777777777,12006.0,1669.0,2739.0,0.460573476702509,0.7419354838709677,0.1774193548387097,0.5806451612903226,973.2505331670634,1618.7619047619048,621.71875,910.6566666666668,106.74587178484457,142.92857142857142,83.45,105.34615384615384,62.0,381.0,107.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
7,147.0,1.0,"He was twice nominated for an Academy Award for Best Supporting Actor, the first for his role in the 1943 film, Sahara then for his performance in the 1945 film, A Medal for Benny for which he won the Golden Globe Award for Best Supporting Actor - Motion Picture.",AWARD,1.0,34.516326530612275,39.68,20.0,38.0,104.0,10.0,35.0,4466.555555555556,14562.0,995.0,2963.0,0.4784580498866213,0.8163265306122449,0.16326530612244897,0.4489795918367347,986.4866769167129,1603.8333333333333,603.8333333333334,953.3333333333335,106.91389799666022,140.01923076923077,84.65714285714286,99.5,49.0,263.0,71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,154.0,1.0,"In recognition of his work with electricity, Franklin was elected a Fellow of the Royal Society and received its Copley Medal in 1753.",AWARD,1.0,36.35956521739132,56.59,11.0,23.444444444444443,45.0,13.0,18.0,2844.222222222222,5377.0,1355.0,1933.0,0.33816425120772947,0.5217391304347826,0.13043478260869565,0.391304347826087,1028.6585584331199,1688.3030303030305,618.6969696969696,1002.5263157894736,117.74939174559694,154.76470588235293,96.29411764705883,119.4888888888889,23.0,134.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,180.0,3.0,"In 1991 he was awarded the Presidential Medal of Freedom for ""preserving America's defenses at a time of great change around the world.""",AWARD,1.0,43.716086956521764,56.59,11.0,22.555555555555557,40.0,9.0,21.0,2711.8888888888887,5735.0,915.0,2234.0,0.40096618357487923,0.6521739130434783,0.08695652173913043,0.391304347826087,1035.0790512501296,1785.5,633.2222222222222,978.7777777777778,115.53015676397318,147.05128205128204,90.81481481481481,115.94444444444444,23.0,136.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
