sample_id,domain,source,gold_label,source_annotation,annotator1,annotator2,annotator3,annotator4,annotator5,sentence,confidence,gold_conf,entropy,pred_label
0,out,clc95,1,,1,1,0,1,1,"If Sam was going, Sally would know where.",0.9991081357002258,0.9991081357002258,0.0103214334139894,1
1,out,clc95,0,*,0,0,0,0,0,"She mailed John a letter, but I don't know to whom.",0.9976814985275269,0.9976814985275269,0.023633256259004,0
2,out,clc95,1,,1,1,1,1,1,I served my guests.,0.9991881251335144,0.9991881251335144,0.0095061433602617,1
3,out,clc95,0,*,0,0,0,0,0,"She was bathing, but I couldn't make out who.",0.9986180067062378,0.9986180067062378,0.0151201884906738,0
4,out,clc95,0,*,0,0,0,0,0,"John was tall, but I don't know on what occasions.",0.997516393661499,0.0024835839867591,0.025069949875117,1
5,out,clc95,0,*,0,0,0,0,0,"I know that Meg's attracted to Harry, but they don't know who.",0.998306155204773,0.998306155204773,0.0180341001618999,0
6,out,clc95,1,,1,0,0,1,1,Everyone relies on someone. It's unclear who.,0.999289870262146,0.999289870262146,0.0084512864718744,1
7,out,clc95,1,,0,1,1,1,1,"The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.",0.9955910444259644,0.9955910444259644,0.0408486052838046,1
8,out,clc95,1,,1,1,1,1,0,"Everybody gets on well with a certain relative, but often only his therapist knows which one.",0.9978825449943542,0.9978825449943542,0.0218616758659953,1
9,out,clc95,0,*,0,0,0,0,0,"He announced he had eaten the asparagus, but we didn't know what.",0.9793197512626648,0.0206802487373352,0.145243097445849,1
10,out,clc95,1,,1,1,1,1,1,She talked to John or Mary but I don't know which.,0.9964654445648192,0.9964654445648192,0.0338768632927069,1
11,out,clc95,1,,1,1,1,1,1,She talked to John or Mary but I don't know which one.,0.9962081909179688,0.9962081909179688,0.035956893508176,1
12,out,clc95,1,,1,0,0,1,0,"Meg is attracted to Harry, but they don't know who she is attracted to.",0.9130776524543762,0.9130776524543762,0.4261127397560807,1
13,out,clc95,0,*,0,0,0,0,0,What did you leave before they started playing?,0.9963601231575012,0.9963601231575012,0.034731832916004,0
14,out,clc95,1,,1,1,1,1,1,"I think Agnes said that Bill would speak, but I don't remember what about.",0.997865617275238,0.997865617275238,0.0220122661032095,1
15,out,clc95,0,*,1,1,0,1,1,"Tony sent Mo a picture that he painted, but it's not clear with what.",0.9929513335227966,0.0070485966280102,0.0605195840590288,1
16,out,clc95,0,*,0,0,0,0,0,Who did they see someone?,0.9989977478981018,0.9989977478981018,0.0114298009108196,0
17,out,c-05,0,*,0,0,0,0,0,The book was by John written.,0.9875292778015136,0.9875292778015136,0.0967600821014355,0
18,out,c-05,1,,1,1,1,1,1,The book was seen by Mary.,0.9990022778511048,0.9990022778511048,0.0113852920260209,1
19,out,c-05,0,*,0,0,0,0,0,Mary was given by John the book.,0.999061405658722,0.999061405658722,0.0107927241593285,0
20,out,c-05,1,,1,1,0,1,1,John was believed to be telling the truth by Mary.,0.9986984729766846,0.9986984729766846,0.014352486773,1
21,out,c-05,1,,1,1,1,1,1,John was believed by Mary to be telling the truth.,0.9985565543174744,0.9985565543174744,0.0157012940675791,1
22,out,c-05,1,,1,1,1,1,1,The car was driven by John to Maine.,0.9992456436157228,0.9992456436157228,0.0089130397217807,1
23,out,c-05,0,*,1,0,0,0,0,Chocolate eggs were hidden from each other by the children.,0.9983912110328674,0.0016087651019915,0.0172481574617659,1
24,out,c-05,1,,0,0,0,0,0,Books were taken from no student and given to Mary.,0.9927022457122804,0.0072976909577846,0.0622913582278589,0
25,out,j_71,0,*,1,0,1,1,1,"Bill ate the peaches, but Harry the grapes.",0.9962015748023988,0.0037983995862305,0.0360101362710141,1
26,out,j_71,0,*,1,0,0,0,0,Bill ate the peaches and Harry did the grapes.,0.9953304529190063,0.0046695666387677,0.0428751057511993,1
27,out,j_71,0,*,0,0,0,0,0,"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",0.9426060914993286,0.0573939308524131,0.3170117259981156,1
28,out,j_71,1,,1,1,1,1,1,Jerry attempted to blow up the Pentagon.,0.9993044137954712,0.9993044137954712,0.0082992293488441,1
29,out,j_71,1,,1,1,1,1,1,"Bill bought a red house, and Max bought one too.",0.9980448484420776,0.9980448484420776,0.020411247870738,1
30,out,s_97,1,,1,1,1,1,1,I know the person whose mother died.,0.99836927652359,0.99836927652359,0.0174516390049705,1
31,out,s_97,0,*,0,0,0,0,0,Bother you that Kim left!,0.6374722123146057,0.3625277280807495,0.944761426820562,1
