sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label,pred_label,uncertainty,confidence
1,13813,22,"A thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14.0,6,58,2,1,1.5422492625918975,0.3941670370998816
3,14371,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.4214214214214214,69.11,8.0,19,108,2,1,1.4961297776480629,0.5035726500582683
5,14548,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.8088088088088088,48.81,10.0,41,220,2,1,1.4975933216226438,0.4368089361740678
6,14633,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.8528528528528528,54.9,10.0,33,188,2,1,1.4876905979562094,0.4890898254340268
7,14635,223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.4934934934934935,46.1,13.0,25,143,2,1,1.5235412258505934,0.4704849436882337
10,18959,386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.6266266266266266,65.05,9.0,24,131,2,1,1.4870313931819277,0.4458844452760354
15,24617,998,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",5,1,0.951951951951952,62.68,10.0,17,100,2,1,1.499045203322305,0.499670329844002
17,24638,764,An incredibly clever and superbly paced caper filled with scams within scams within scams .,4,1,0.8348348348348348,65.73,8.0,14,91,2,1,1.5498581263898212,0.406753228542559
20,25083,975,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",5,1,0.8158158158158159,41.7,13.0,22,137,2,1,1.4377183327142835,0.5072837254659701
23,25257,1097,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",4,1,0.7907907907907908,53.37,8.0,19,129,2,1,1.410884181223023,0.5348536710785416
25,25372,758,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",4,1,0.934934934934935,57.61,11.0,22,138,2,1,1.445413175864566,0.5005382335496344
26,25454,563,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",5,1,0.9129129129129128,36.28,15.0,20,132,2,1,1.5572979054821054,0.4268444615809477
27,25812,908,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",4,1,0.4264264264264264,47.46,17.0,32,185,2,1,1.4532279833416772,0.4892199471721183
29,26419,475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",5,1,0.9209209209209208,24.78,15.0,21,136,2,1,1.3664707530499318,0.6002374856769539
34,26707,818,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",5,1,0.6686686686686687,30.54,17.0,35,209,2,1,1.413022064856504,0.5554474701200477
35,26771,596,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",4,1,0.8408408408408409,80.96,8.0,24,126,2,1,1.4349948868439686,0.4811086471595268
43,143103,9048,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",2,-1,0.8908908908908909,72.16,11.0,19,98,0,-1,1.521651885455405,0.445714101350299
44,143545,8695,"After seeing SWEPT AWAY , I feel sorry for Madonna .",2,-1,0.8168168168168168,79.26,5.0,9,52,0,-1,1.4628698696642803,0.5225299893397374
