sample_id,agg_human_conf,pred_label,gold_label
0,0.8,1,1
1,1.0,0,0
2,1.0,1,1
3,1.0,0,0
4,1.0,0,0
5,1.0,0,0
6,0.6,1,1
7,0.8,1,1
8,0.8,1,1
9,1.0,0,0
10,1.0,1,1
11,1.0,1,1
12,0.6,0,1
13,1.0,0,0
14,1.0,1,1
15,0.8,1,0
16,1.0,0,0
17,1.0,0,0
18,1.0,1,1
19,1.0,0,0
20,0.8,1,1
21,1.0,1,1
22,1.0,1,1
23,0.8,0,0
24,1.0,0,1
25,0.8,1,0
26,0.8,0,0
27,1.0,0,0
28,1.0,1,1
29,1.0,1,1
30,1.0,1,1
31,1.0,0,0
32,0.6,0,0
33,1.0,0,0
34,1.0,0,0
35,0.8,0,0
36,1.0,1,1
37,1.0,0,0
38,0.8,1,0
39,0.6,0,0
40,1.0,1,1
41,1.0,0,0
42,1.0,1,1
43,1.0,0,0
44,1.0,1,1
45,1.0,1,1
46,1.0,1,1
47,1.0,1,1
48,1.0,0,0
49,1.0,0,0
50,1.0,1,1
51,1.0,1,1
52,1.0,0,0
53,1.0,0,0
54,1.0,0,0
55,1.0,1,1
56,1.0,1,1
57,1.0,1,1
58,1.0,1,1
59,0.8,1,1
60,1.0,1,1
61,1.0,0,0
62,1.0,1,1
63,0.8,1,1
64,1.0,1,1
65,0.6,0,0
66,0.8,0,0
67,1.0,0,0
68,1.0,1,1
69,1.0,0,0
70,1.0,1,1
71,1.0,1,1
72,1.0,1,1
73,1.0,1,0
74,1.0,1,1
75,0.8,0,1
76,1.0,1,1
77,1.0,1,1
78,1.0,1,1
79,1.0,1,1
80,1.0,1,1
81,0.8,0,0
82,0.6,0,0
83,1.0,1,1
84,1.0,1,1
85,1.0,1,1
86,1.0,0,0
87,1.0,1,1
88,1.0,1,1
89,0.6,0,0
90,0.8,0,0
91,1.0,0,0
92,1.0,1,1
93,0.8,0,0
94,1.0,1,1
95,1.0,1,1
96,1.0,1,1
97,1.0,1,1
98,1.0,1,0
99,1.0,1,1
100,1.0,1,1
101,0.8,1,0
102,0.6,1,0
103,1.0,1,1
104,0.8,1,0
105,0.6,0,1
106,1.0,1,1
107,0.8,0,0
108,0.6,0,0
109,1.0,1,1
110,1.0,1,1
111,1.0,0,1
112,0.8,0,1
113,1.0,0,0
114,1.0,1,1
115,1.0,1,1
116,0.6,0,0
117,0.6,1,1
118,0.6,0,1
119,0.6,0,0
120,1.0,1,1
121,1.0,1,1
122,1.0,1,1
123,1.0,1,1
124,0.8,1,1
125,1.0,0,0
126,0.6,0,0
127,1.0,1,1
128,1.0,1,0
129,1.0,1,1
130,1.0,1,1
131,1.0,1,1
132,1.0,1,1
133,0.8,0,1
134,1.0,1,1
135,1.0,1,1
136,1.0,1,1
137,1.0,1,1
138,1.0,1,1
139,1.0,0,0
140,1.0,1,1
141,1.0,0,0
142,0.8,1,0
143,1.0,0,0
144,1.0,1,1
145,0.8,1,1
146,1.0,1,1
147,1.0,1,1
148,1.0,1,1
149,1.0,1,1
150,1.0,1,1
151,1.0,1,1
152,0.8,0,1
153,1.0,0,0
154,1.0,1,1
155,1.0,0,0
156,1.0,1,1
157,1.0,1,1
158,1.0,1,1
159,1.0,1,1
160,1.0,1,1
161,1.0,1,1
162,1.0,1,1
163,1.0,0,0
164,1.0,0,0
165,1.0,1,1
166,0.8,0,1
167,1.0,1,1
168,0.6,1,1
169,1.0,1,1
170,0.8,0,1
171,1.0,1,1
172,1.0,1,1
173,1.0,1,1
174,1.0,1,1
175,1.0,0,0
176,1.0,1,1
177,1.0,1,1
178,1.0,1,1
179,1.0,1,1
180,1.0,1,1
181,0.6,1,1
182,1.0,1,1
183,1.0,0,0
184,0.8,1,1
185,1.0,1,1
186,1.0,1,1
187,1.0,1,1
188,1.0,0,0
189,1.0,1,1
190,1.0,0,0
191,1.0,1,1
192,1.0,1,1
193,1.0,0,0
194,0.8,0,1
195,0.8,1,1
196,1.0,0,0
197,0.6,0,0
198,0.8,0,0
199,1.0,0,0
