sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,entailment,0.4196234949697167,neutral,0.4827390592870494,neutral,0.7623617649078369,contradiction,0.8160973352349222,contradiction,0.935590769670521,contradiction,0.8382804503582395
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,neutral,0.3789314105366744,neutral,0.5957040529415606,entailment,0.93353670835495,entailment,0.9001068286660795,entailment,0.7310358777992743,entailment,0.8853633572159673
3,A group of dancers are performing.,The audience is silent.,neutral,contradiction,0.3618866212723818,contradiction,0.8861769467734905,contradiction,0.989513337612152,neutral,0.636805640402527,neutral,0.9993030302363396,neutral,0.8648925281473899
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,contradiction,0.3791272259160728,neutral,0.3725748224791144,contradiction,0.8481274247169495,contradiction,0.5769181023457439,neutral,0.9991195083604524,neutral,0.7881269191402251
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,contradiction,0.433035912747264,neutral,0.4467343358754767,contradiction,0.6917175650596619,neutral,0.7706969278520771,neutral,0.9990945325832452,neutral,0.6908904810644831
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,entailment,0.3722826388508659,contradiction,0.6570734732660176,neutral,0.7463839054107666,neutral,0.9218872617904452,neutral,0.9991682651233657,neutral,0.7492323439099283
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,contradiction,0.4336268829723138,entailment,0.549809933520116,entailment,0.9417433142662048,entailment,0.9664324146509412,neutral,0.9405866712950384,entailment,0.962128966223132
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,entailment,0.3899258621208017,neutral,0.7208061808730675,neutral,0.9238505363464355,contradiction,0.6011217194828403,neutral,0.9995785812418398,neutral,0.7533265097236438
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.3375034397231642,entailment,0.5436117068568813,contradiction,0.9811890125274658,contradiction,0.9384673259123169,neutral,0.964091405387418,neutral,0.5087001023541453
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,entailment,0.3490103652053744,contradiction,0.8520685396218712,neutral,0.6207069754600525,neutral,0.7693063241933547,neutral,0.9988765608308188,neutral,0.8536335721596725
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,contradiction,0.3430981313053989,neutral,0.9317659439253856,neutral,0.8923214077949524,neutral,0.6808174480906496,neutral,0.998068077868568,neutral,0.5015353121801432
22,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,contradiction,0.3876831113846592,neutral,0.5487347005297211,entailment,0.9120252132415771,entailment,0.9304090013586084,neutral,0.795457037163213,entailment,0.7400204708290685
23,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,entailment,0.3514864123921047,contradiction,0.4395346570982256,entailment,0.5959866046905518,neutral,0.5164488606637474,neutral,0.9995293493507806,entailment,0.6192425793244627
26,A young boy in a beige jacket laughs as he reaches for a teal balloon.,The boy plays with the balloon.,entailment,contradiction,0.3589349064753322,entailment,0.5321943015804921,entailment,0.8978291153907776,entailment,0.7808739819148901,neutral,0.998821723213856,entailment,0.6581371545547595
28,"A group of people are gathered in a crowd, some of which are holding spears.",A crowd of people are holding swords,contradiction,neutral,0.4127210344722539,entailment,0.4947924310521684,entailment,0.5566606521606445,contradiction,0.8145582384078969,neutral,0.9697847852286466,contradiction,0.4882292732855681
29,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,entailment,0.3472148623725331,neutral,0.475717651473209,entailment,0.9067068696022034,entailment,0.7218954301489916,neutral,0.9331250379676274,entailment,0.8863868986693961
30,There are two people sweeping a sidewalk in this picture.,The man is clearing leaves from the sidewalk.,neutral,entailment,0.3684328269660594,contradiction,0.4982797035443739,neutral,0.6313246488571167,neutral,0.6657860578848555,neutral,0.9993436228098168,neutral,0.714431934493347
31,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.3924587564329792,neutral,0.441523529155553,neutral,0.7508919835090637,contradiction,0.7333624548723143,contradiction,0.9432991730340892,contradiction,0.6980552712384852
33,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,neutral,0.3385411366226419,entailment,0.878889682587619,entailment,0.9368374943733216,entailment,0.7974727979561348,neutral,0.9995942577356648,neutral,0.5475946775844421
