sample_id,paragraph,question,answer-option,gold_label,agg_human_label,agg_human_confidence,machine_2_pred,machine_2_confidence,confidence_diff
329,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",The tilt-rotor aircraft was assigned to what Wing in the Air Force?,1st Special Operations,1.0,0.0,0.5,,,
334,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",When was the Osprey operations halted and restarted?,Halted 2000 restarted 2000,1.0,0.0,0.75,,,
335,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",When was the Osprey operations halted and restarted?,Halted 2002 restarted 2002,1.0,0.0,1.0,,,
339,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",When was the Osprey operations halted and restarted?,1989 and 2002,1.0,0.0,1.0,,,
346,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",When was the CV-22 budget called into question and what is the overall development total?,1989 and $20 million,1.0,0.0,0.5,,,
357,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",What branches of the armed forces use Ospreys?,Army,1.0,0.0,1.0,,,
360,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",What branches of the armed forces use Ospreys?,Air Force,1.0,0.0,0.5,,,
361,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",What branches of the armed forces use Ospreys?,Marine Corps,1.0,0.0,0.5,,,
365,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",Was this the first accident an Osprey has had?,Another accident in 1992,1.0,0.0,0.75,,,
372,"<b>Sent 1: </b>Hurlburt Field, Florida (CNN) -- An Air Force CV-22 Osprey crashed Wednesday during a routine training mission north of Navarre, Florida, injuring five crew members aboard, a military official said.<br><b>Sent 2: </b>The crash occurred about 6:45 p.m.<br><b>Sent 3: </b>at Hurlburt Field's Eglin Range, said Amy Nicholson, chief of public affairs at the airfield.<br><b>Sent 4: </b>The five injured crew members were taken to an area hospital, Nicholson said.<br><b>Sent 5: </b>The extent of their injuries was not immediately known.<br><b>Sent 6: </b>The cause of the accident is under investigation, she said.<br><b>Sent 7: </b>The Osprey was assigned to the 1st Special Operations Wing, the Air Force said.<br><b>Sent 8: </b>The tilt-rotor aircraft can fly like an airplane and land like a helicopter.<br><b>Sent 9: </b>The Army began developing the Osprey in 1982, though the program was nearly scrapped in 1989 when then-Secretary of Defense Dick Cheney sought to cancel it because of ballooning costs.<br><b>Sent 10: </b>Questions were raised about the safety of the Osprey after two crashes, including one in 1992 at a Marine Corps air base in Virginia that killed the crew.<br><b>Sent 11: </b>In late 2000, the Marine Corps grounded the Osprey fleet after two crashes -- one in Arizona that killed four crew members and 15 passengers, and another in North Carolina that killed the crew.<br><b>Sent 12: </b>A redesign was ordered on the Osprey, and it resumed flights in 2002.<br><b>Sent 13: </b>The Air Force began using Ospreys in 2008 after testing the aircraft in 2006.<br><b>Sent 14: </b>They were first deployed by the Marines in Iraq in 2007 after 18 years and $20 billion in development.<br>",How many crashes was the CV-22 involved in?,4,1.0,0.0,0.5,,,
