sample_id,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs
0.0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,contradiction,"A little boy is opening gifts surrounded by a group of children and adults.

Can we infer that the boy is being punished by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.8744653132287217,"{
  "" Maybe"": -2.087977,
  "" No"": -0.13414265,
  ""No"": -6.8652954
}"
1.0,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,"People playing cricket in the park, pine trees in the back.

Can we infer that people are playing sports in the park, near the pine trees by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.5372956915414814,"{
  "" Maybe"": -0.7784887,
  "" Yes"": -0.6212067,
  ""Yes"": -5.940628
}"
2.0,Some people hanging out on a large backyard deck.,people hanging out on deck,neutral,entailment,"Some people hanging out on a large backyard deck.

Can we infer that people hanging out on deck by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.988215005012374,"{
  "" Maybe"": -0.0118549885,
  "" No"": -4.549109,
  "" Yes"": -7.74249
}"
3.0,A group of dancers are performing.,The audience is silent.,neutral,neutral,"A group of dancers are performing.

Can we infer that the audience is silent by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.9932983081739701,"{
  "" Maybe"": -0.006724249,
  "" No"": -5.3588915,
  "" maybe"": -6.66347
}"
4.0,A large brown and white dog is carrying a stick through a white and snowy area.,A puppy is playing fetch with a stick.,neutral,neutral,"A large brown and white dog is carrying a stick through a white and snowy area.

Can we infer that a puppy is playing fetch with a stick by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.9975632833256466,"{
  "" Maybe"": -0.0024396903,
  "" No"": -6.738239,
  ""Maybe"": -7.389364
}"
5.0,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,neutral,"A little girl in pink stands in a yellow hallway.

Can we infer that the girl is standing outside her apartment by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.998059494520007,"{
  "" Maybe"": -0.0019423907,
  "" No"": -7.1720924,
  ""Maybe"": -7.391476
}"
6.0,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,neutral,contradiction,"A young boy in a sweatshirt is doodling on a piece of paper.

Can we infer that the class pictures are on display by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.9802447878380617,"{
  "" Maybe"": -0.019952955,
  "" No"": -4.01556,
  "" maybe"": -7.0526576
}"
7.0,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,entailment,"A young girl in a white dress watches bubbles while a woman and girl toddler observe.

Can we infer that a girl is watching bubbles by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.7498019304977932,"{
  "" Maybe"": -1.3987573,
  "" Yes"": -0.2879462,
  ""Yes"": -5.9793158
}"
8.0,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,neutral,"a toddler playing with a toy car next to a dog.

Can we infer that a toddler plays with toy cars while his dog sleeps by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.957931311957367,"{
  "" Maybe"": -0.042979203,
  "" No"": -3.2025578,
  ""Maybe"": -7.302903
}"
9.0,A man in and a woman are holding their towels at the beach.,People are at the beach,neutral,entailment,"A man in and a woman are holding their towels at the beach.

Can we infer that people are at the beach by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.9983879781053261,"{
  "" Maybe"": -0.0016133226,
  "" No"": -7.275298,
  "" maybe"": -7.6774993
}"
10.0,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,neutral,"Man and woman crossing the street at dusk.

Can we infer that a husband and a wife are enjoying a leisurely stroll in the evening by evaluating the given sentence? Answer as yes, no or maybe.

Answer:",0.9986672849545106,"{
  "" Maybe"": -0.0013336039,
  "" No"": -7.3228474,
  ""Maybe"": -7.731699
}"
