,sstb_id,zuco_id,content,control_id,sstb_label,pred_confidence,gold_confidence,uncertainty
0,38,383.0,"cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate vincent's days",,1,0.6643111,0.306866,1.0624632416279531
1,81,359.0,gollum's `performance' is incredible!,,1,0.9715185,0.022527162,0.20778580563894591
2,86,206.0,"it's the best film of the year so far, the benchmark against which all other best picture contenders should be measured.",,1,0.9243463,0.067471,0.4240749924801644
3,94,255.0,"the movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",,1,0.8992243,0.08799317,0.5267471301970661
4,105,189.0,... a roller-coaster ride of a movie,25.0,1,0.9334415,0.9334415,0.405675858534234
5,139,396.0,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,,1,0.5998205,0.34711236,1.1969762043299326
6,155,93.0,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times.,,1,0.5515166,0.34084052,1.3489023244404459
7,219,299.0,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.,,0,0.55629826,0.319047,1.3709688164333749
8,252,347.0,remarkably accessible and affecting.,,1,0.8287166,0.12942256,0.798048515058928
9,262,50.0,i like the new footage and still love the old stuff.,,1,0.9578902,0.03426332,0.2810964632612709
10,290,381.0,it's solid and affecting and exactly as thought-provoking as it should be.,41.0,1,0.8533128,0.121462084,0.698621002033204
11,342,178.0,this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.,,1,0.798189,0.18124333,0.8214031571068193
12,344,336.0,girls gone wild and gone civil again,,0,0.7475719,0.21052563,0.9787951438357291
13,349,162.0,... always remains movingly genuine.,21.0,1,0.7676789,0.19623066,0.9267857843969817
14,371,69.0,an intriguing and entertaining introduction to johnson.,,1,0.973389,0.0221078,0.19455457836879203
15,384,121.0,"celebrated at sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",,1,0.49827045,0.49827045,1.4321815694590692
16,406,308.0,"often gruelling and heartbreaking to witness, but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",,1,0.4369522,0.40763825,1.4670701419957493
17,408,182.0,"the stunning, dreamlike visuals will impress even those viewers who have little patience for euro-film pretension.",24.0,1,0.71159154,0.23650308,1.0627786578096354
