sample_id,word,sentence_1,sentence_2,pred_label,gold_label,prompt_text,confidence,logprobs
0.0,tune,To tune a piano or a violin,My piano needs to be tuned,1.0,1.0,"Sentence: To tune a piano or a violin

Another sentence: My piano needs to be tuned

Does the word ""tune"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9864926629527389,"{
  "" No"": -4.5374255,
  "" Yes"": -0.013599391,
  ""Yes"": -6.1217647
}"
1.0,segregate,We do n't segregate in this county,This neighborhood is segregated,0.0,1.0,"Sentence: We do n't segregate in this county

Another sentence: This neighborhood is segregated

Does the word ""segregate"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9986144761257113,"{
  ""\n"": -9.931443,
  "" No"": -0.0013864846,
  ""No"": -6.6925197
}"
2.0,bank,he sat on the bank of the river and watched the currents,that bank holds the mortgage on my home,0.0,0.0,"Sentence: he sat on the bank of the river and watched the currents

Another sentence: that bank holds the mortgage on my home

Does the word ""bank"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9985410422152017,"{
  ""\n"": -9.276265,
  "" No"": -0.0014600231,
  ""No"": -6.71901
}"
3.0,elaborate,elaborate a plan,Could you elaborate on the plot for your novel for me ?,0.0,1.0,"Sentence: elaborate a plan

Another sentence: Could you elaborate on the plot for your novel for me ?

Does the word ""elaborate"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9927857108235107,"{
  "" No"": -0.007240438,
  "" Yes"": -5.2239857,
  ""No"": -6.394015
}"
4.0,girlfriend,his girlfriend kicked him out,Marc went to the park with his girlfriend and watched the sunset with her .,0.0,1.0,"Sentence: his girlfriend kicked him out

Another sentence: Marc went to the park with his girlfriend and watched the sunset with her .

Does the word ""girlfriend"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9873435807439289,"{
  "" No"": -0.012737194,
  "" Yes"": -4.5712657,
  ""No"": -6.2394576
}"
5.0,hand,Give me your hand .,hand the elderly lady into the taxi,0.0,0.0,"Sentence: Give me your hand .

Another sentence: hand the elderly lady into the taxi

Does the word ""hand"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9980029912806146,"{
  "" No"": -0.0019990054,
  "" Yes"": -8.304119,
  ""No"": -6.460833
}"
6.0,round,we enjoyed our round of the local bars,Hospital rounds,0.0,0.0,"Sentence: we enjoyed our round of the local bars

Another sentence: Hospital rounds

Does the word ""round"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9983028615709113,"{
  ""\n"": -9.365575,
  "" No"": -0.0016985802,
  ""No"": -6.538775
}"
7.0,divaricate,divaricate one 's fingers,The road divaricates here,0.0,0.0,"Sentence: divaricate one 's fingers

Another sentence: The road divaricates here

Does the word ""divaricate"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9921082020483072,"{
  "" No"": -0.007923103,
  "" Yes"": -5.0067267,
  ""No"": -6.823742
}"
8.0,marmalade,Thick cut marmalade,Lime marmalade,1.0,1.0,"Sentence: Thick cut marmalade

Another sentence: Lime marmalade

Does the word ""marmalade"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.8728114900191771,"{
  "" No"": -2.0809495,
  "" Yes"": -0.13603568,
  ""Yes"": -6.4461017
}"
9.0,pump,pump the gas pedal,I 've pumped over 1000 gallons of water in the last ten minutes .,0.0,1.0,"Sentence: pump the gas pedal

Another sentence: I 've pumped over 1000 gallons of water in the last ten minutes .

Does the word ""pump"" have the same lexical meaning in these sentences? Answer as yes or no. Explain your reasoning.

Answer:",0.9969697359463817,"{
  "" No"": -0.0030348646,
  "" Yes"": -7.9441986,
  ""No"": -6.0318775
}"
