sample_id,confidence,pred_label,gold_label
0,0.5,1,1
1,0.5,0,0
2,0.5,1,1
3,0.5,1,0
4,0.5,1,0
5,0.5,0,0
6,0.5,1,1
7,0.5,0,1
8,0.5,1,1
9,0.5,1,0
10,0.5,0,1
11,0.5,1,1
12,0.5,1,1
13,0.5,0,0
14,0.5,0,1
15,0.5,0,0
16,0.5,0,0
17,0.5,1,0
18,0.5,1,1
19,0.5,1,0
20,0.5,0,1
21,0.5,1,1
22,0.5,0,1
23,0.5,1,0
24,0.5,1,1
25,0.5,1,0
26,0.5,1,0
27,0.5,1,0
28,0.5,1,1
29,0.5,1,1
30,0.5,1,1
31,0.5,0,0
32,0.5,1,0
33,0.5,1,0
34,0.5,1,0
35,0.5,0,0
36,0.5,1,1
37,0.5,1,0
38,0.5,0,0
39,0.5,0,0
40,0.5,1,1
41,0.5,1,0
42,0.5,1,1
43,0.5,1,0
44,0.5,0,1
45,0.5,1,1
46,0.5,1,1
47,0.5,1,1
48,0.5,1,0
49,0.5,1,0
50,0.5,0,1
51,0.5,1,1
52,0.5,0,0
53,0.5,0,0
54,0.5,1,0
55,0.5,0,1
56,0.5,1,1
57,0.5,1,1
58,0.5,1,1
59,0.5,0,1
60,0.5,1,1
61,0.5,0,0
62,0.5,1,1
63,0.5,0,1
64,0.5,1,1
65,0.5,0,0
66,0.5,1,0
67,0.5,0,0
68,0.5,1,1
69,0.5,0,0
70,0.5,1,1
71,0.5,0,1
72,0.5,0,1
73,0.5,1,0
74,0.5,0,1
75,0.5,1,1
76,0.5,0,1
77,0.5,0,1
78,0.5,1,1
79,0.5,1,1
80,0.5,0,1
81,0.5,1,0
82,0.5,0,0
83,0.5,0,1
84,0.5,0,1
85,0.5,1,1
86,0.5,1,0
87,0.5,1,1
88,0.5,1,1
89,0.5,0,0
90,0.5,0,0
91,0.5,1,0
92,0.5,0,1
93,0.5,1,0
94,0.5,0,1
95,0.5,0,1
96,0.5,0,1
97,0.5,1,1
98,0.5,0,0
99,0.5,0,1
100,0.5,1,1
101,0.5,1,0
102,0.5,1,0
103,0.5,0,1
104,0.5,0,0
105,0.5,0,1
106,0.5,1,1
107,0.5,0,0
108,0.5,0,0
109,0.5,1,1
110,0.5,1,1
111,0.5,0,1
112,0.5,0,1
113,0.5,0,0
114,0.5,1,1
115,0.5,1,1
116,0.5,1,0
117,0.5,1,1
118,0.5,0,1
119,0.5,0,0
120,0.5,1,1
121,0.5,0,1
122,0.5,0,1
123,0.5,1,1
124,0.5,1,1
125,0.5,1,0
126,0.5,1,0
127,0.5,1,1
128,0.5,1,0
129,0.5,0,1
130,0.5,1,1
131,0.5,1,1
132,0.5,1,1
133,0.5,1,1
134,0.5,1,1
135,0.5,0,1
136,0.5,0,1
137,0.5,0,1
138,0.5,1,1
139,0.5,1,0
140,0.5,0,1
141,0.5,0,0
142,0.5,0,0
143,0.5,0,0
144,0.5,1,1
145,0.5,0,1
146,0.5,1,1
147,0.5,1,1
148,0.5,1,1
149,0.5,0,1
150,0.5,1,1
151,0.5,1,1
152,0.5,0,1
153,0.5,0,0
154,0.5,0,1
155,0.5,1,0
156,0.5,0,1
157,0.5,0,1
158,0.5,1,1
159,0.5,0,1
160,0.5,1,1
161,0.5,1,1
162,0.5,0,1
163,0.5,1,0
164,0.5,1,0
165,0.5,1,1
166,0.5,0,1
167,0.5,0,1
168,0.5,1,1
169,0.5,1,1
170,0.5,1,1
171,0.5,1,1
172,0.5,1,1
173,0.5,1,1
174,0.5,0,1
175,0.5,1,0
176,0.5,0,1
177,0.5,0,1
178,0.5,1,1
179,0.5,0,1
180,0.5,0,1
181,0.5,1,1
182,0.5,0,1
183,0.5,0,0
184,0.5,0,1
185,0.5,0,1
186,0.5,0,1
187,0.5,1,1
188,0.5,1,0
189,0.5,1,1
190,0.5,1,0
191,0.5,1,1
192,0.5,1,1
193,0.5,0,0
194,0.5,1,1
195,0.5,1,1
196,0.5,1,0
197,0.5,0,0
198,0.5,1,0
199,0.5,1,0
