sstb_id,zuco_id,content,sstb_label,control_id,flesch_score_manual,flesch_score_textstat,mean_grade_level_textstat,mean_of_fixations,max_of_fixations,min_of_fixations,median_of_fixations,mean_of_trts,max_of_trts,min_of_trts,median_of_trts,mean_of_omissionRates,max_of_omissionRates,min_of_omissionRates,median_of_omissionRates,mean_of_pupilSizes,max_of_pupilSizes,min_of_pupilSizes,median_of_pupilSizes,mean_of_average_fixation_duration,max_of_average_fixation_duration,min_of_average_fixation_duration,median_of_average_fixation_duration,number_of_words,number_of_characters,number_of_syllables,zab_item_accuracy,zdm_item_accuracy,zgw_item_accuracy,zjm_item_accuracy,zjn_item_accuracy,zjs_item_accuracy,zkb_item_accuracy,zkh_item_accuracy,zkw_item_accuracy,zmg_item_accuracy,zph_item_accuracy,average_sentence_accuracy
105,189.0,... a roller-coaster ride of a movie,1,25.0,66.7871428571429,90.77,5.0,7.363636363636363,18.0,4.0,6.0,1010.6363636363636,2556.0,539.0,860.0,0.4545454545454545,0.5714285714285714,0.2857142857142857,0.42857142857142855,760.8482323232324,1143.5,259.25,754.1,136.53358585858584,177.8,99.55555555555556,134.75,7.0,36.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6363636363636364
290,381.0,It's solid and affecting and exactly as thought-provoking as it should be.,1,41.0,53.655,50.84,10.0,13.454545454545455,31.0,4.0,12.0,1625.6363636363637,4331.0,489.0,1386.0,0.46969696969696967,0.9166666666666666,0.25,0.3333333333333333,943.2014039201539,1702.28125,359.3,969.6229166666667,117.60704254201322,152.75,88.75,115.5,12.0,74.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273
349,162.0,... always remains movingly genuine.,1,21.0,15.640000000000015,8.2,13.0,10.181818181818182,15.0,5.0,11.0,1388.090909090909,1960.0,644.0,1395.0,0.21818181818181823,0.4,0.2,0.2,797.7248737373737,1117.875,265.79166666666663,824.9583333333334,138.42551236642146,172.85714285714286,107.3076923076923,136.8181818181818,5.0,36.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8181818181818182
408,182.0,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",1,24.0,26.682500000000005,38.32,12.0,20.818181818181817,39.0,11.0,20.0,2511.7272727272725,5472.0,1156.0,2253.0,0.24431818181818182,0.4375,0.0625,0.25,751.6944999865456,1067.5555555555557,268.84090909090907,767.3821428571429,118.30796098274514,140.30769230769232,101.15384615384616,116.4375,16.0,114.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6363636363636364
478,109.0,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",1,14.0,54.5364285714286,68.44,9.0,30.272727272727273,42.0,18.0,31.0,3625.4545454545455,6596.0,1942.0,3252.0,0.2889610389610389,0.4642857142857143,0.10714285714285714,0.2857142857142857,789.4658885991815,1101.138888888889,262.5708333333333,859.2,118.10724041761273,169.12820512820514,100.8076923076923,109.1891891891892,28.0,149.0,41.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7272727272727273
726,18.0,A work of astonishing delicacy and force.,1,3.0,30.53000000000003,38.99,10.0,13.363636363636363,23.0,7.0,12.0,1734.2727272727273,3150.0,722.0,1701.0,0.2727272727272727,0.42857142857142855,0.14285714285714285,0.2857142857142857,889.3800468975468,1277.9583333333333,303.46999999999997,971.0416666666666,127.13982284733274,142.41666666666666,102.55555555555556,132.5,7.0,41.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
882,17.0,The film often achieves a mesmerizing poetry.,1,2.0,30.53000000000003,38.99,12.0,10.090909090909092,17.0,6.0,9.0,1280.8181818181818,1954.0,809.0,1230.0,0.2987012987012987,0.5714285714285714,0.0,0.2857142857142857,876.5968903318903,1238.125,309.33333333333337,912.9,127.46591725268196,149.76923076923077,114.94117647058823,123.8,7.0,45.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7272727272727273
884,324.0,It's neither as romantic nor as thrilling as it should be.,-1,38.0,80.30636363636367,85.69,6.0,8.818181818181818,13.0,6.0,8.0,1089.0,1475.0,701.0,1082.0,0.4462809917355371,0.6363636363636364,0.2727272727272727,0.45454545454545453,900.2041847041847,1770.3888888888887,361.0,978.5416666666667,123.75298716435078,140.4,102.1,126.5,11.0,58.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7272727272727273
1147,221.0,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",1,31.0,55.292580645161294,65.39,9.0,35.18181818181818,70.0,17.0,33.0,4077.090909090909,8818.0,1876.0,3787.0,0.31085043988269795,0.5161290322580645,0.12903225806451613,0.3225806451612903,738.9624445856401,1040.8761904761905,217.13636363636363,764.2173913043479,115.3244957341904,140.25925925925927,104.48717948717949,110.3529411764706,31.0,164.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8181818181818182
1465,84.0,But it's too long and too convoluted and it ends in a muddle.,-1,12.0,83.0092307692308,83.66,3.0,10.818181818181818,20.0,5.0,11.0,1279.2727272727273,2098.0,666.0,1247.0,0.4055944055944055,0.6153846153846154,0.3076923076923077,0.38461538461538464,791.554785954786,1051.0833333333333,270.27777777777777,880.9444444444445,120.09064672701037,133.55555555555554,98.45454545454545,122.0,13.0,61.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
