sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,num_trues,num_falses,false_machs,true_machs
19.0,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,neutral,0.5015353121801432,0.0,6.0,"[0, 1, 2, 3, 4, 5]",[]
13.0,A cyclist is optimistic as he rushes through the air while on his BMX bike at a bicycle event.,A snowboarder flies through the air,contradiction,contradiction,0.7001023541453428,3.0,3.0,"[0, 1, 4]","[2, 3, 5]"
23.0,A single runner is watched by onlookers in a race.,A man is running in a race.,entailment,entailment,0.6192425793244627,2.0,4.0,"[0, 1, 3, 4]","[2, 5]"
31.0,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,contradiction,0.6980552712384852,3.0,3.0,"[1, 2, 3]","[0, 4, 5]"
32.0,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.7379733879222109,2.0,4.0,"[0, 1, 4, 5]","[2, 3]"
35.0,An old woman in a cowboy hat smokes a cigarette.,The old lady is ten feet tall.,contradiction,neutral,0.6653019447287615,2.0,4.0,"[0, 1, 3, 5]","[2, 4]"
37.0,A wielder works on wielding a beam into place while other workers set beams.,The wielder is working on a building.,neutral,neutral,0.5005117707267144,3.0,3.0,"[1, 2, 3]","[0, 4, 5]"
41.0,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,entailment,0.5568065506653019,3.0,3.0,"[0, 2, 5]","[1, 3, 4]"
42.0,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,neutral,0.4882292732855681,3.0,3.0,"[1, 4, 5]","[0, 2, 3]"
43.0,A man and woman walking away from a crowded street fair.,There are a group of men walking together.,contradiction,contradiction,0.5414534288638689,3.0,3.0,"[0, 1, 4]","[2, 3, 5]"
45.0,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,entailment,0.8628454452405322,6.0,0.0,[],"[0, 1, 2, 3, 4, 5]"
49.0,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,neutral,0.7993858751279427,4.0,2.0,"[1, 2]","[0, 3, 4, 5]"
