sample_id,sentence_1,sentence_2,gold_label,machine_0_pred,machine_0_confidence,machine_1_pred,machine_1_confidence,machine_2_pred,machine_2_confidence,machine_3_pred,machine_3_confidence,machine_4_pred,machine_4_confidence,agg_human_label,agg_human_confidence
0,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,entailment,0.419623495,neutral,0.482739059,neutral,0.762361765,contradiction,0.816097335,contradiction,0.93559077,contradiction,0.83828045
1,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,neutral,0.378931411,neutral,0.595704053,entailment,0.933536708,entailment,0.900106829,entailment,0.731035878,entailment,0.885363357
3,A group of dancers are performing.,The audience is silent.,neutral,contradiction,0.361886621,contradiction,0.886176947,contradiction,0.989513338,neutral,0.63680564,neutral,0.99930303,neutral,0.864892528
5,A little girl in pink stands in a yellow hallway.,The girl is standing outside her apartment.,neutral,contradiction,0.379127226,neutral,0.372574822,contradiction,0.848127425,contradiction,0.576918102,neutral,0.999119508,neutral,0.788126919
6,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,contradiction,0.433035913,neutral,0.446734336,contradiction,0.691717565,neutral,0.770696928,neutral,0.999094533,neutral,0.690890481
8,a toddler playing with a toy car next to a dog.,A toddler plays with toy cars while his dog sleeps.,neutral,entailment,0.372282639,contradiction,0.657073473,neutral,0.746383905,neutral,0.921887262,neutral,0.999168265,neutral,0.749232344
9,A man in and a woman are holding their towels at the beach.,People are at the beach,entailment,contradiction,0.433626883,entailment,0.549809934,entailment,0.941743314,entailment,0.966432415,neutral,0.940586671,entailment,0.962128966
12,"Two men in front of a projector screen, one at a microphone.",Three men about to present their best idea yet in front of their company.,neutral,entailment,0.389925862,neutral,0.720806181,neutral,0.923850536,contradiction,0.601121719,neutral,0.999578581,neutral,0.75332651
14,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.33750344,entailment,0.543611707,contradiction,0.981189013,contradiction,0.938467326,neutral,0.964091405,neutral,0.508700102
17,A man posing with a antique sewing machine.,He is a sewer.,neutral,entailment,0.349010365,contradiction,0.85206854,neutral,0.620706975,neutral,0.769306324,neutral,0.998876561,neutral,0.853633572
19,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,contradiction,0.343098131,neutral,0.931765944,neutral,0.892321408,neutral,0.680817448,neutral,0.998068078,neutral,0.501535312
22,This path leads up to the apple market entrance.,This road goes up to apple market entrance,entailment,contradiction,0.387683111,neutral,0.548734701,entailment,0.912025213,entailment,0.930409001,neutral,0.795457037,entailment,0.740020471
