sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,machine_3_pred,machine_3_confidence,confidence_diff
42.0,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,neutral,0.4882292732855681,contradiction,0.999734221322118,0.5115049480365499
84.0,"A bride, a groom, 3 guys, and 3 women.",The unrelated people wander aimlessly.,contradiction,neutral,0.5312180143295804,contradiction,0.998897112663384,0.4676790983338036
11.0,A woman singing into a microphone while a man plays drums in the background.,They are playing a PlayStation.,contradiction,neutral,0.5578300921187308,contradiction,0.999730932372506,0.4419008402537752
88.0,A young girl in a bathing suit drinking a beverage in a green bottle.,The girl is drinking milk from a sippy cup.,contradiction,neutral,0.5547594677584442,contradiction,0.988366166911022,0.43360669915257777
40.0,People were watching the tournament in the stadium.,The people are sitting outside on the grass.,contradiction,neutral,0.5649948822927329,contradiction,0.98807199498147,0.42307711268873716
24.0,Two rodeo clowns are on the dirt.,Two circus clowns were riding bicycles.,contradiction,neutral,0.5987717502558854,contradiction,0.989388272660764,0.39061652240487865
53.0,A white dog with a life vest accompanies a man in a boat.,man eats carrot,contradiction,neutral,0.617195496417605,contradiction,0.999650557056595,0.38245506063899004
20.0,A man wearing an orange suit with his face painted white is holding a guitar above his shoulder.,There is one man in this picture.,entailment,neutral,0.6264073694984647,entailment,0.987425558480607,0.36101818898214233
33.0,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,neutral,0.5475946775844421,entailment,0.855147039910246,0.30755236232580385
32.0,"A man is sitting in front of a harpsichord, and a woman is preparing to sing.",a boy covers his ears,contradiction,neutral,0.7379733879222109,contradiction,0.999171150807776,0.26119776288556507
41.0,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,entailment,0.5568065506653019,neutral,0.741396481138377,0.18458993047307504
6.0,A young boy in a sweatshirt is doodling on a piece of paper.,The class pictures are on display.,contradiction,neutral,0.6908904810644831,contradiction,0.854726845965051,0.16383636490056785
14.0,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,neutral,0.5087001023541453,contradiction,0.649921304587524,0.14122120223337864
